merge_scale,split,metric,value
0.0,test,forecast/mse,1.0987509489059448
0.0,test,forecast/rmse,1.0482132172921428
0.0,test,forecast/mae,0.7581639885902405
0.05,test,forecast/mse,0.9189184904098511
0.05,test,forecast/rmse,0.9586023630316436
0.05,test,forecast/mae,0.6900657415390015
0.1,test,forecast/mse,0.7719504237174988
0.1,test,forecast/rmse,0.8786070929132651
0.1,test,forecast/mae,0.6304770708084106
0.15,test,forecast/mse,0.6638363003730774
0.15,test,forecast/rmse,0.8147614990738562
0.15,test,forecast/mae,0.5825895071029663
0.2,test,forecast/mse,0.5984717011451721
0.2,test,forecast/rmse,0.7736095275687678
0.2,test,forecast/mae,0.5518019795417786
0.25,test,forecast/mse,0.5749315619468689
0.25,test,forecast/rmse,0.7582424163464274
0.25,test,forecast/mae,0.5417469143867493
0.3,test,forecast/mse,0.5860856175422668
0.3,test,forecast/rmse,0.7655622884796944
0.3,test,forecast/mae,0.5518138408660889
0.35,test,forecast/mse,0.62457275390625
0.35,test,forecast/rmse,0.7902991546915953
0.35,test,forecast/mae,0.5775829553604126
0.4,test,forecast/mse,0.6885663866996765
0.4,test,forecast/rmse,0.8297990037953026
0.4,test,forecast/mae,0.6153097152709961
0.45,test,forecast/mse,0.7831532955169678
0.45,test,forecast/rmse,0.884959488065396
0.45,test,forecast/mae,0.664488673210144
0.5,test,forecast/mse,0.9097057580947876
0.5,test,forecast/rmse,0.9537849642842917
0.5,test,forecast/mae,0.7232732176780701
0.55,test,forecast/mse,1.0603421926498413
0.55,test,forecast/rmse,1.0297291841303913
0.55,test,forecast/mae,0.7873465418815613
0.6,test,forecast/mse,1.2241055965423584
0.6,test,forecast/rmse,1.1063930569839808
0.6,test,forecast/mae,0.8519737720489502
0.65,test,forecast/mse,1.3940651416778564
0.65,test,forecast/rmse,1.180705357689994
0.65,test,forecast/mae,0.9149253964424133
0.7,test,forecast/mse,1.5685807466506958
0.7,test,forecast/rmse,1.2524299368230927
0.7,test,forecast/mae,0.9749366641044617
0.75,test,forecast/mse,1.7441242933273315
0.75,test,forecast/rmse,1.3206529799032491
0.75,test,forecast/mae,1.0309900045394897
0.8,test,forecast/mse,1.914669156074524
0.8,test,forecast/rmse,1.3837157063770447
0.8,test,forecast/mae,1.082045555114746
0.85,test,forecast/mse,2.076465129852295
0.85,test,forecast/rmse,1.4409944933455836
0.85,test,forecast/mae,1.1279187202453613
0.9,test,forecast/mse,2.2293150424957275
0.9,test,forecast/rmse,1.4930890939578012
0.9,test,forecast/mae,1.1692925691604614
0.95,test,forecast/mse,2.3742780685424805
0.95,test,forecast/rmse,1.5408692574460952
0.95,test,forecast/mae,1.2068885564804077
1.0,test,forecast/mse,2.512021780014038
1.0,test,forecast/rmse,1.5849358914524077
1.0,test,forecast/mae,1.2411434650421143
1.05,test,forecast/mse,2.643483877182007
1.05,test,forecast/rmse,1.6258794165564698
1.05,test,forecast/mae,1.272748351097107
1.1,test,forecast/mse,2.770442008972168
1.1,test,forecast/rmse,1.6644644811386538
1.1,test,forecast/mae,1.3025777339935303
1.15,test,forecast/mse,2.893934726715088
1.15,test,forecast/rmse,1.7011568789253646
1.15,test,forecast/mae,1.3308607339859009
1.2,test,forecast/mse,3.014197587966919
1.2,test,forecast/rmse,1.7361444605697185
1.2,test,forecast/mae,1.3578838109970093
1.25,test,forecast/mse,3.131859540939331
1.25,test,forecast/rmse,1.7697060606042267
1.25,test,forecast/mae,1.3838669061660767
1.3,test,forecast/mse,3.247558355331421
1.3,test,forecast/rmse,1.8020983201067085
1.3,test,forecast/mae,1.4090800285339355
1.35,test,forecast/mse,3.3613014221191406
1.35,test,forecast/rmse,1.833385235600838
1.35,test,forecast/mae,1.4336470365524292
1.4,test,forecast/mse,3.473208427429199
1.4,test,forecast/rmse,1.8636545890881173
1.4,test,forecast/mae,1.4575210809707642
1.45,test,forecast/mse,3.583965301513672
1.45,test,forecast/rmse,1.8931363663280234
1.45,test,forecast/mae,1.4807698726654053
1.5,test,forecast/mse,3.69305419921875
1.5,test,forecast/rmse,1.9217320831007505
1.5,test,forecast/mae,1.503479242324829
0.0,val,forecast/mse,0.8283939361572266
0.0,val,forecast/rmse,0.9101614890541274
0.0,val,forecast/mae,0.6485496759414673
0.05,val,forecast/mse,0.6713133454322815
0.05,val,forecast/rmse,0.8193371378329445
0.05,val,forecast/mae,0.5851539373397827
0.1,val,forecast/mse,0.5456047058105469
0.1,val,forecast/rmse,0.7386505979220127
0.1,val,forecast/mae,0.5312414169311523
0.15,val,forecast/mse,0.46444568037986755
0.15,val,forecast/rmse,0.681502516781756
0.15,val,forecast/mae,0.491911381483078
0.2,val,forecast/mse,0.4277954697608948
0.2,val,forecast/rmse,0.6540607538760408
0.2,val,forecast/mae,0.47638630867004395
0.25,val,forecast/mse,0.42709770798683167
0.25,val,forecast/rmse,0.6535271287305766
0.25,val,forecast/mae,0.4837433695793152
0.3,val,forecast/mse,0.4545730948448181
0.3,val,forecast/rmse,0.6742203607462608
0.3,val,forecast/mae,0.505955159664154
0.35,val,forecast/mse,0.5055941939353943
0.35,val,forecast/rmse,0.7110514706653761
0.35,val,forecast/mae,0.5388370752334595
0.4,val,forecast/mse,0.5847049951553345
0.4,val,forecast/rmse,0.7646600520200689
0.4,val,forecast/mae,0.5850997567176819
0.45,val,forecast/mse,0.7087113261222839
0.45,val,forecast/rmse,0.8418499427583778
0.45,val,forecast/mae,0.6499424576759338
0.5,val,forecast/mse,0.8726697564125061
0.5,val,forecast/rmse,0.9341679487182731
0.5,val,forecast/mae,0.7240802049636841
0.55,val,forecast/mse,1.0454075336456299
0.55,val,forecast/rmse,1.0224517268045616
0.55,val,forecast/mae,0.7944258451461792
0.6,val,forecast/mse,1.2152564525604248
0.6,val,forecast/rmse,1.1023867073583684
0.6,val,forecast/mae,0.8596532344818115
0.65,val,forecast/mse,1.386035442352295
0.65,val,forecast/rmse,1.1773000647041072
0.65,val,forecast/mae,0.9214951395988464
0.7,val,forecast/mse,1.560921549797058
0.7,val,forecast/rmse,1.2493684603819075
0.7,val,forecast/mae,0.9813894629478455
0.75,val,forecast/mse,1.7412961721420288
0.75,val,forecast/rmse,1.3195818171458824
0.75,val,forecast/mae,1.0398117303848267
0.8,val,forecast/mse,1.9260263442993164
0.8,val,forecast/rmse,1.3878135120754937
0.8,val,forecast/mae,1.0967353582382202
0.85,val,forecast/mse,2.11361026763916
0.85,val,forecast/rmse,1.4538260788826014
0.85,val,forecast/mae,1.1521410942077637
0.9,val,forecast/mse,2.302300214767456
0.9,val,forecast/rmse,1.517333257648911
0.9,val,forecast/mae,1.2051447629928589
0.95,val,forecast/mse,2.486567258834839
0.95,val,forecast/rmse,1.576885303005529
0.95,val,forecast/mae,1.2544498443603516
1.0,val,forecast/mse,2.6636710166931152
1.0,val,forecast/rmse,1.6320756773793044
1.0,val,forecast/mae,1.300247311592102
1.05,val,forecast/mse,2.8336031436920166
1.05,val,forecast/rmse,1.6833309667715426
1.05,val,forecast/mae,1.3433153629302979
1.1,val,forecast/mse,2.996514320373535
1.1,val,forecast/rmse,1.7310442860809585
1.1,val,forecast/mae,1.3835034370422363
1.15,val,forecast/mse,3.1519646644592285
1.15,val,forecast/rmse,1.7753773301637115
1.15,val,forecast/mae,1.4206149578094482
1.2,val,forecast/mse,3.299201726913452
1.2,val,forecast/rmse,1.8163704817336832
1.2,val,forecast/mae,1.4546312093734741
1.25,val,forecast/mse,3.437906503677368
1.25,val,forecast/rmse,1.854159244422487
1.25,val,forecast/mae,1.48603355884552
1.3,val,forecast/mse,3.568923234939575
1.3,val,forecast/rmse,1.88915939902899
1.3,val,forecast/mae,1.5148159265518188
1.35,val,forecast/mse,3.6941704750061035
1.35,val,forecast/rmse,1.922022495967751
1.35,val,forecast/mae,1.5420578718185425
1.4,val,forecast/mse,3.8152379989624023
1.4,val,forecast/rmse,1.9532634228291899
1.4,val,forecast/mae,1.5680378675460815
1.45,val,forecast/mse,3.933410167694092
1.45,val,forecast/rmse,1.9832826746820766
1.45,val,forecast/mae,1.5929419994354248
1.5,val,forecast/mse,4.0496978759765625
1.5,val,forecast/rmse,2.0123861150327396
1.5,val,forecast/mae,1.6168795824050903
