merge_scale,metric,value,selected
0.0,forecast/mse,0.47947612404823303,0
0.05,forecast/mse,0.40626615285873413,0
0.1,forecast/mse,0.3372113108634949,0
0.15,forecast/mse,0.27422815561294556,0
0.2,forecast/mse,0.21891696751117706,0
0.25,forecast/mse,0.17266972362995148,0
0.3,forecast/mse,0.13668611645698547,0
0.35,forecast/mse,0.11169178038835526,0
0.4,forecast/mse,0.09777096658945084,0
0.45,forecast/mse,0.09447283297777176,1
0.5,forecast/mse,0.10115944594144821,0
0.55,forecast/mse,0.11706669628620148,0
0.6,forecast/mse,0.14135338366031647,0
0.65,forecast/mse,0.17306743562221527,0
0.7,forecast/mse,0.2112550139427185,0
0.75,forecast/mse,0.25503426790237427,0
0.8,forecast/mse,0.303411602973938,0
0.85,forecast/mse,0.3552604913711548,0
0.9,forecast/mse,0.40961045026779175,0
0.95,forecast/mse,0.46568772196769714,0
1.0,forecast/mse,0.5226579308509827,0
1.05,forecast/mse,0.5798216462135315,0
1.1,forecast/mse,0.6365782022476196,0
1.15,forecast/mse,0.6924608945846558,0
1.2,forecast/mse,0.74699866771698,0
1.25,forecast/mse,0.7998958826065063,0
1.3,forecast/mse,0.8511993885040283,0
1.35,forecast/mse,0.900972306728363,0
1.4,forecast/mse,0.949325680732727,0
1.45,forecast/mse,0.996295690536499,0
1.5,forecast/mse,1.0419635772705078,0
