merge_scale,split,metric,value
0.0,test,forecast/mse,1.645084023475647
0.0,test,forecast/rmse,1.2826082891809358
0.0,test,forecast/mae,1.0977259874343872
0.05,test,forecast/mse,1.4771016836166382
0.05,test,forecast/rmse,1.2153607216035238
0.05,test,forecast/mae,1.0457234382629395
0.1,test,forecast/mse,1.3001399040222168
0.1,test,forecast/rmse,1.1402367754208846
0.1,test,forecast/mae,0.9845388531684875
0.15,test,forecast/mse,1.124840497970581
0.15,test,forecast/rmse,1.060584979136788
0.15,test,forecast/mae,0.9175094962120056
0.2,test,forecast/mse,0.9614478349685669
0.2,test,forecast/rmse,0.9805344639371769
0.2,test,forecast/mae,0.8478361964225769
0.25,test,forecast/mse,0.8203506469726562
0.25,test,forecast/rmse,0.9057321055216362
0.25,test,forecast/mae,0.7818132638931274
0.3,test,forecast/mse,0.7078242301940918
0.3,test,forecast/rmse,0.8413229048314873
0.3,test,forecast/mae,0.7263590097427368
0.35,test,forecast/mse,0.6250603199005127
0.35,test,forecast/rmse,0.7906075637764368
0.35,test,forecast/mae,0.6834643483161926
0.4,test,forecast/mse,0.5697129368782043
0.4,test,forecast/rmse,0.7547933073883236
0.4,test,forecast/mae,0.6534769535064697
0.45,test,forecast/mse,0.5374894142150879
0.45,test,forecast/rmse,0.733136695449824
0.45,test,forecast/mae,0.6345327496528625
0.5,test,forecast/mse,0.5238527655601501
0.5,test,forecast/rmse,0.7237767373715116
0.5,test,forecast/mae,0.6255331039428711
0.55,test,forecast/mse,0.524485170841217
0.55,test,forecast/rmse,0.7242134842994965
0.55,test,forecast/mae,0.6243770122528076
0.6,test,forecast/mse,0.5350309610366821
0.6,test,forecast/rmse,0.731458106139157
0.6,test,forecast/mae,0.6280428171157837
0.65,test,forecast/mse,0.5519401431083679
0.65,test,forecast/rmse,0.7429267414142312
0.65,test,forecast/mae,0.6346051692962646
0.7,test,forecast/mse,0.5726586580276489
0.7,test,forecast/rmse,0.756742134433949
0.7,test,forecast/mae,0.6427253484725952
0.75,test,forecast/mse,0.5955663323402405
0.75,test,forecast/rmse,0.7717294424474425
0.75,test,forecast/mae,0.6516867280006409
0.8,test,forecast/mse,0.6196826100349426
0.8,test,forecast/rmse,0.7871992187718067
0.8,test,forecast/mae,0.6610495448112488
0.85,test,forecast/mse,0.6443462371826172
0.85,test,forecast/rmse,0.8027118020700936
0.85,test,forecast/mae,0.6705490946769714
0.9,test,forecast/mse,0.6691828966140747
0.9,test,forecast/rmse,0.8180359995831936
0.9,test,forecast/mae,0.680080235004425
0.95,test,forecast/mse,0.6940157413482666
0.95,test,forecast/rmse,0.833076071765518
0.95,test,forecast/mae,0.6895103454589844
1.0,test,forecast/mse,0.7187861204147339
1.0,test,forecast/rmse,0.8478125502814486
1.0,test,forecast/mae,0.6987117528915405
1.05,test,forecast/mse,0.7435027360916138
1.05,test,forecast/rmse,0.8622660471638749
1.05,test,forecast/mae,0.7077204585075378
1.1,test,forecast/mse,0.7681910991668701
1.1,test,forecast/rmse,0.8764651157729383
1.1,test,forecast/mae,0.7165932655334473
1.15,test,forecast/mse,0.7928573489189148
1.15,test,forecast/rmse,0.89042537526674
1.15,test,forecast/mae,0.7252568602561951
1.2,test,forecast/mse,0.817510187625885
1.2,test,forecast/rmse,0.904162699753692
1.2,test,forecast/mae,0.7337502241134644
1.25,test,forecast/mse,0.8421875834465027
1.25,test,forecast/rmse,0.9177077876135207
1.25,test,forecast/mae,0.7421867847442627
1.3,test,forecast/mse,0.8669766783714294
1.3,test,forecast/rmse,0.9311158243588331
1.3,test,forecast/mae,0.7505811452865601
1.35,test,forecast/mse,0.8919557332992554
1.35,test,forecast/rmse,0.9444340809708507
1.35,test,forecast/mae,0.7590267658233643
1.4,test,forecast/mse,0.9171469211578369
1.4,test,forecast/rmse,0.9576778796431694
1.4,test,forecast/mae,0.7675067782402039
1.45,test,forecast/mse,0.9426051378250122
1.45,test,forecast/rmse,0.9708785391721315
1.45,test,forecast/mae,0.7760705351829529
1.5,test,forecast/mse,0.9683896899223328
1.5,test,forecast/rmse,0.9840679295263781
1.5,test,forecast/mae,0.7847068309783936
0.0,val,forecast/mse,0.7966240048408508
0.0,val,forecast/rmse,0.8925379570868965
0.0,val,forecast/mae,0.6709819436073303
0.05,val,forecast/mse,0.692865788936615
