merge_scale,split,metric,value
0.0,test,forecast/mse,0.7023149728775024
0.0,test,forecast/rmse,0.8380423455157278
0.0,test,forecast/mae,0.6130709052085876
0.1,test,forecast/mse,0.5997939705848694
0.1,test,forecast/rmse,0.7744636664071913
0.1,test,forecast/mae,0.5592087507247925
0.2,test,forecast/mse,0.5305633544921875
0.2,test,forecast/rmse,0.7283977996206382
0.2,test,forecast/mae,0.5188384056091309
0.3,test,forecast/mse,0.4920373558998108
0.3,test,forecast/rmse,0.7014537446616211
0.3,test,forecast/mae,0.49524804949760437
0.4,test,forecast/mse,0.4770934581756592
0.4,test,forecast/rmse,0.6907195220751033
0.4,test,forecast/mae,0.48710763454437256
0.5,test,forecast/mse,0.47819438576698303
0.5,test,forecast/rmse,0.6915160054308093
0.5,test,forecast/mae,0.4901280999183655
0.6,test,forecast/mse,0.48972827196121216
0.6,test,forecast/rmse,0.6998058816280499
0.6,test,forecast/mae,0.5001091361045837
0.7,test,forecast/mse,0.5082426071166992
0.7,test,forecast/rmse,0.7129113599296193
0.7,test,forecast/mae,0.5139952898025513
0.8,test,forecast/mse,0.5319122076034546
0.8,test,forecast/rmse,0.7293231160490216
0.8,test,forecast/mae,0.5300390720367432
0.9,test,forecast/mse,0.5599095821380615
0.9,test,forecast/rmse,0.7482710619408327
0.9,test,forecast/mae,0.5475630760192871
1.0,test,forecast/mse,0.5918386578559875
1.0,test,forecast/rmse,0.7693105080888909
1.0,test,forecast/mae,0.5661000609397888
1.1,test,forecast/mse,0.6274881362915039
1.1,test,forecast/rmse,0.7921414875459458
1.1,test,forecast/mae,0.5855451226234436
1.2,test,forecast/mse,0.6669415235519409
1.2,test,forecast/rmse,0.8166648783631759
1.2,test,forecast/mae,0.6059696078300476
1.3,test,forecast/mse,0.710547149181366
1.3,test,forecast/rmse,0.842939588097134
1.3,test,forecast/mae,0.6275714635848999
1.4,test,forecast/mse,0.7586184740066528
1.4,test,forecast/rmse,0.8709870687941658
1.4,test,forecast/mae,0.6504300236701965
1.5,test,forecast/mse,0.8114945888519287
1.5,test,forecast/rmse,0.9008299444689485
1.5,test,forecast/mae,0.6745993494987488
0.0,val,forecast/mse,0.3855379819869995
0.0,val,forecast/rmse,0.6209170491998102
0.0,val,forecast/mae,0.44353145360946655
0.1,val,forecast/mse,0.34668031334877014
0.1,val,forecast/rmse,0.5887956465096954
0.1,val,forecast/mae,0.42007842659950256
0.2,val,forecast/mse,0.32568833231925964
0.2,val,forecast/rmse,0.570691100613335
0.2,val,forecast/mae,0.40666231513023376
0.3,val,forecast/mse,0.3198837339878082
0.3,val,forecast/rmse,0.5655826500059988
0.3,val,forecast/mae,0.40446919202804565
0.4,val,forecast/mse,0.3265988230705261
0.4,val,forecast/rmse,0.5714882527843649
0.4,val,forecast/mae,0.4122397303581238
0.5,val,forecast/mse,0.34392285346984863
0.5,val,forecast/rmse,0.5864493613858307
0.5,val,forecast/mae,0.4271395206451416
0.6,val,forecast/mse,0.37041017413139343
0.6,val,forecast/rmse,0.6086133206982849
0.6,val,forecast/mae,0.44690465927124023
0.7,val,forecast/mse,0.4048614799976349
0.7,val,forecast/rmse,0.6362872621683031
0.7,val,forecast/mae,0.47021257877349854
0.8,val,forecast/mse,0.44614729285240173
0.8,val,forecast/rmse,0.6679425820026761
0.8,val,forecast/mae,0.49578291177749634
0.9,val,forecast/mse,0.49327054619789124
0.9,val,forecast/rmse,0.7023322192508978
0.9,val,forecast/mae,0.5226490497589111
1.0,val,forecast/mse,0.5456444025039673
1.0,val,forecast/rmse,0.7386774685232841
1.0,val,forecast/mae,0.5503330826759338
1.1,val,forecast/mse,0.603395402431488
1.1,val,forecast/rmse,0.7767853000871529
1.1,val,forecast/mae,0.5788938403129578
1.2,val,forecast/mse,0.6670697331428528
1.2,val,forecast/rmse,0.8167433704309162
1.2,val,forecast/mae,0.6088283061981201
1.3,val,forecast/mse,0.7372850179672241
1.3,val,forecast/rmse,0.8586530253642761
1.3,val,forecast/mae,0.6403473615646362
1.4,val,forecast/mse,0.8143468499183655
1.4,val,forecast/rmse,0.9024116853844288
1.4,val,forecast/mae,0.6732997894287109
1.5,val,forecast/mse,0.8982881903648376
1.5,val,forecast/rmse,0.9477806657475334
1.5,val,forecast/mae,0.7073750495910645
