merge_scale,metric,value,selected
0.0,forecast/mse,0.3855379819869995,0
0.1,forecast/mse,0.34949421882629395,0
0.2,forecast/mse,0.32782667875289917,0
0.3,forecast/mse,0.3197322189807892,1
0.4,forecast/mse,0.32453688979148865,0
0.5,forecast/mse,0.342238187789917,0
0.6,forecast/mse,0.3733345866203308,0
0.7,forecast/mse,0.41824275255203247,0
0.8,forecast/mse,0.4767020344734192,0
0.9,forecast/mse,0.5480108857154846,0
1.0,forecast/mse,0.6318113803863525,0
1.1,forecast/mse,0.7285779714584351,0
1.2,forecast/mse,0.8394193649291992,0
1.3,forecast/mse,0.96565181016922,0
1.4,forecast/mse,1.108132243156433,0
1.5,forecast/mse,1.2671912908554077,0
