merge_scale,split,metric,value
0.0,test,forecast/mse,0.7829623818397522
0.0,test,forecast/rmse,0.8848516157185634
0.0,test,forecast/mae,0.6335263252258301
0.1,test,forecast/mse,0.6272052526473999
0.1,test,forecast/rmse,0.7919629111564505
0.1,test,forecast/mae,0.5546945929527283
0.2,test,forecast/mse,0.531186044216156
0.2,test,forecast/rmse,0.7288251122293715
0.2,test,forecast/mae,0.5030786991119385
0.3,test,forecast/mse,0.48686501383781433
0.3,test,forecast/rmse,0.697757130983134
0.3,test,forecast/mae,0.4817828834056854
0.4,test,forecast/mse,0.4769454598426819
0.4,test,forecast/rmse,0.6906123803137921
0.4,test,forecast/mae,0.482698529958725
0.5,test,forecast/mse,0.48837727308273315
0.5,test,forecast/rmse,0.698839948115971
0.5,test,forecast/mae,0.4969862103462219
0.6,test,forecast/mse,0.5135589241981506
0.6,test,forecast/rmse,0.7166302562675892
0.6,test,forecast/mae,0.5188018679618835
0.7,test,forecast/mse,0.5494704842567444
0.7,test,forecast/rmse,0.7412627633010742
0.7,test,forecast/mae,0.5453891158103943
0.8,test,forecast/mse,0.5960071086883545
0.8,test,forecast/rmse,0.7720149666219914
0.8,test,forecast/mae,0.5759607553482056
0.9,test,forecast/mse,0.654857337474823
0.9,test,forecast/rmse,0.8092325608098224
0.9,test,forecast/mae,0.6107243895530701
1.0,test,forecast/mse,0.7279451489448547
1.0,test,forecast/rmse,0.8531970164884866
1.0,test,forecast/mae,0.649684727191925
1.1,test,forecast/mse,0.8167939782142639
1.1,test,forecast/rmse,0.9037665507277108
1.1,test,forecast/mae,0.6928207874298096
1.2,test,forecast/mse,0.9227197766304016
1.2,test,forecast/rmse,0.9605830399452208
1.2,test,forecast/mae,0.7402019500732422
1.3,test,forecast/mse,1.0466784238815308
1.3,test,forecast/rmse,1.0230730295934551
1.3,test,forecast/mae,0.791652500629425
1.4,test,forecast/mse,1.1899267435073853
1.4,test,forecast/rmse,1.090837633888465
1.4,test,forecast/mae,0.8470351696014404
1.5,test,forecast/mse,1.3544070720672607
1.5,test,forecast/rmse,1.1637899604599022
1.5,test,forecast/mae,0.906392514705658
0.0,val,forecast/mse,0.4477657079696655
0.0,val,forecast/rmse,0.6691529780025384
0.0,val,forecast/mae,0.47430330514907837
0.1,val,forecast/mse,0.38551968336105347
0.1,val,forecast/rmse,0.6209023138635041
0.1,val,forecast/mae,0.44058290123939514
0.2,val,forecast/mse,0.34756797552108765
0.2,val,forecast/rmse,0.5895489593927612
0.2,val,forecast/mae,0.41968581080436707
0.3,val,forecast/mse,0.3356190025806427
0.3,val,forecast/rmse,0.5793263351347345
0.3,val,forecast/mae,0.41333210468292236
0.4,val,forecast/mse,0.3493901193141937
0.4,val,forecast/rmse,0.5910923103155663
0.4,val,forecast/mae,0.42287564277648926
0.5,val,forecast/mse,0.38685742020606995
0.5,val,forecast/rmse,0.6219786332391732
0.5,val,forecast/mae,0.4470635950565338
0.6,val,forecast/mse,0.44650986790657043
0.6,val,forecast/rmse,0.6682139387251439
0.6,val,forecast/mae,0.4828990697860718
0.7,val,forecast/mse,0.5276857614517212
0.7,val,forecast/rmse,0.7264198245172837
0.7,val,forecast/mae,0.5281943082809448
0.8,val,forecast/mse,0.6300216317176819
0.8,val,forecast/rmse,0.7937390199036972
0.8,val,forecast/mae,0.5810490846633911
0.9,val,forecast/mse,0.7525740265846252
0.9,val,forecast/rmse,0.8675102458095958
0.9,val,forecast/mae,0.6395807862281799
1.0,val,forecast/mse,0.8952171802520752
1.0,val,forecast/rmse,0.9461591727886356
1.0,val,forecast/mae,0.7027783989906311
1.1,val,forecast/mse,1.0589299201965332
1.1,val,forecast/rmse,1.0290432061855
1.1,val,forecast/mae,0.7701795101165771
1.2,val,forecast/mse,1.2448018789291382
1.2,val,forecast/rmse,1.1157068965141062
1.2,val,forecast/mae,0.8415490388870239
1.3,val,forecast/mse,1.4546754360198975
1.3,val,forecast/rmse,1.2060992645797848
1.3,val,forecast/mae,0.9169490933418274
1.4,val,forecast/mse,1.6911044120788574
1.4,val,forecast/rmse,1.3004247045019013
1.4,val,forecast/mae,0.9964730143547058
1.5,val,forecast/mse,1.9580339193344116
1.5,val,forecast/rmse,1.3992976521578286
1.5,val,forecast/mae,1.0804591178894043
