merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7358776926994324,3365,43
0.0,test,test,forecast/rmse,0.857833138028272,3365,43
0.0,test,test,forecast/mae,0.6292352080345154,3365,43
0.0,val_0,val,forecast/mse,0.5425259470939636,229,43
0.0,val_0,val,forecast/rmse,0.7365636069573107,229,43
0.0,val_0,val,forecast/mae,0.5649630427360535,229,43
0.0,val_1,val,forecast/mse,0.3336165249347687,229,43
0.0,val_1,val,forecast/rmse,0.5775954682429293,229,43
0.0,val_1,val,forecast/mae,0.3957991600036621,229,43
0.0,val_2,val,forecast/mse,0.5456115007400513,229,43
0.0,val_2,val,forecast/rmse,0.7386551974636415,229,43
0.0,val_2,val,forecast/mae,0.5603241324424744,229,43
0.0,val_base,val,forecast/mse,0.3239738941192627,926,43
0.0,val_base,val,forecast/rmse,0.5691870466896297,926,43
0.0,val_base,val,forecast/mae,0.3964425325393677,926,43
0.1,test,test,forecast/mse,0.6228590607643127,3365,43
0.1,test,test,forecast/rmse,0.7892142046138759,3365,43
0.1,test,test,forecast/mae,0.5703654289245605,3365,43
0.1,val_0,val,forecast/mse,0.44624805450439453,229,43
0.1,val_0,val,forecast/rmse,0.6680180046259191,229,43
0.1,val_0,val,forecast/mae,0.5009059906005859,229,43
0.1,val_1,val,forecast/mse,0.2795209586620331,229,43
0.1,val_1,val,forecast/rmse,0.5286974169239274,229,43
0.1,val_1,val,forecast/mae,0.362013041973114,229,43
0.1,val_2,val,forecast/mse,0.47651243209838867,229,43
0.1,val_2,val,forecast/rmse,0.6902987991430876,229,43
0.1,val_2,val,forecast/mae,0.5163983702659607,229,43
0.1,val_base,val,forecast/mse,0.3095942437648773,926,43
0.1,val_base,val,forecast/rmse,0.5564119371157284,926,43
0.1,val_base,val,forecast/mae,0.3884887397289276,926,43
0.2,test,test,forecast/mse,0.5464186668395996,3365,43
0.2,test,test,forecast/rmse,0.7392013709670725,3365,43
0.2,test,test,forecast/mae,0.5264132618904114,3365,43
0.2,val_0,val,forecast/mse,0.39521169662475586,229,43
0.2,val_0,val,forecast/rmse,0.628658648731373,229,43
0.2,val_0,val,forecast/mae,0.4621469974517822,229,43
0.2,val_1,val,forecast/mse,0.2427247166633606,229,43
0.2,val_1,val,forecast/rmse,0.49267100245839573,229,43
0.2,val_1,val,forecast/mae,0.3391887843608856,229,43
0.2,val_2,val,forecast/mse,0.4465690553188324,229,43
0.2,val_2,val,forecast/rmse,0.6682582250289423,229,43
0.2,val_2,val,forecast/mae,0.4955357611179352,229,43
0.2,val_base,val,forecast/mse,0.30283093452453613,926,43
0.2,val_base,val,forecast/rmse,0.5503007673304992,926,43
0.2,val_base,val,forecast/mae,0.38619768619537354,926,43
0.3,test,test,forecast/mse,0.5050932168960571,3365,43
0.3,test,test,forecast/rmse,0.7106991043304172,3365,43
0.3,test,test,forecast/mae,0.501578152179718,3365,43
0.3,val_0,val,forecast/mse,0.3831442594528198,229,43
0.3,val_0,val,forecast/rmse,0.6189864776009407,229,43
0.3,val_0,val,forecast/mae,0.45538416504859924,229,43
0.3,val_1,val,forecast/mse,0.22064357995986938,229,43
0.3,val_1,val,forecast/rmse,0.46972713351462825,229,43
0.3,val_1,val,forecast/mae,0.32713595032691956,229,43
0.3,val_2,val,forecast/mse,0.4471438229084015,229,43
0.3,val_2,val,forecast/rmse,0.668688135761658,229,43
0.3,val_2,val,forecast/mae,0.4976669251918793,229,43
0.3,val_base,val,forecast/mse,0.3022262156009674,926,43
0.3,val_base,val,forecast/rmse,0.5497510487493111,926,43
0.3,val_base,val,forecast/mae,0.3883054852485657,926,43
0.4,test,test,forecast/mse,0.49029287695884705,3365,43
0.4,test,test,forecast/rmse,0.7002091665772786,3365,43
0.4,test,test,forecast/mae,0.49387454986572266,3365,43
0.4,val_0,val,forecast/mse,0.40288329124450684,229,43
0.4,val_0,val,forecast/rmse,0.6347308809601963,229,43
0.4,val_0,val,forecast/mae,0.47491946816444397,229,43
0.4,val_1,val,forecast/mse,0.2100325971841812,229,43
0.4,val_1,val,forecast/rmse,0.4582931345592919,229,43
0.4,val_1,val,forecast/mae,0.323734849691391,229,43
0.4,val_2,val,forecast/mse,0.468121200799942,229,43
0.4,val_2,val,forecast/rmse,0.6841938327695902,229,43
0.4,val_2,val,forecast/mae,0.5165573358535767,229,43
0.4,val_base,val,forecast/mse,0.3071915805339813,926,43
0.4,val_base,val,forecast/rmse,0.5542486630872295,926,43
0.4,val_base,val,forecast/mae,0.3942769169807434,926,43
0.5,test,test,forecast/mse,0.4927326440811157,3365,43
0.5,test,test,forecast/rmse,0.7019491748560687,3365,43
0.5,test,test,forecast/mae,0.4978939890861511,3365,43
0.5,val_0,val,forecast/mse,0.44808652997016907,229,43
0.5,val_0,val,forecast/rmse,0.6693926575412738,229,43
0.5,val_0,val,forecast/mae,0.5121423602104187,229,43
0.5,val_1,val,forecast/mse,0.20792058110237122,229,43
0.5,val_1,val,forecast/rmse,0.4559830930005752,229,43
0.5,val_1,val,forecast/mae,0.3258212208747864,229,43
0.5,val_2,val,forecast/mse,0.5023025870323181,229,43
0.5,val_2,val,forecast/rmse,0.7087330858879936,229,43
0.5,val_2,val,forecast/mae,0.544179379940033,229,43
0.5,val_base,val,forecast/mse,0.31791117787361145,926,43
0.5,val_base,val,forecast/rmse,0.5638361267900555,926,43
0.5,val_base,val,forecast/mae,0.40395569801330566,926,43
0.6,test,test,forecast/mse,0.5060163736343384,3365,43
0.6,test,test,forecast/rmse,0.7113482787174917,3365,43
0.6,test,test,forecast/mae,0.5088664293289185,3365,43
0.6,val_0,val,forecast/mse,0.5126350522041321,229,43
0.6,val_0,val,forecast/rmse,0.7159853715014938,229,43
0.6,val_0,val,forecast/mae,0.5573959350585938,229,43
0.6,val_1,val,forecast/mse,0.2120867818593979,229,43
0.6,val_1,val,forecast/rmse,0.4605288067639177,229,43
0.6,val_1,val,forecast/mae,0.3319847881793976,229,43
0.6,val_2,val,forecast/mse,0.5453105568885803,229,43
0.6,val_2,val,forecast/rmse,0.7384514587219531,229,43
0.6,val_2,val,forecast/mae,0.5755637884140015,229,43
0.6,val_base,val,forecast/mse,0.3350026309490204,926,43
0.6,val_base,val,forecast/rmse,0.578794117928837,926,43
0.6,val_base,val,forecast/mae,0.41727492213249207,926,43
0.7,test,test,forecast/mse,0.5264369249343872,3365,43
0.7,test,test,forecast/rmse,0.7255597321615824,3365,43
0.7,test,test,forecast/mae,0.5234977006912231,3365,43
0.7,val_0,val,forecast/mse,0.5876094102859497,229,43
0.7,val_0,val,forecast/rmse,0.7665568539162309,229,43
0.7,val_0,val,forecast/mae,0.6037613749504089,229,43
0.7,val_1,val,forecast/mse,0.22091706097126007,229,43
0.7,val_1,val,forecast/rmse,0.47001814961899085,229,43
0.7,val_1,val,forecast/mae,0.34062233567237854,229,43
0.7,val_2,val,forecast/mse,0.5946951508522034,229,43
0.7,val_2,val,forecast/rmse,0.771164801357144,229,43
0.7,val_2,val,forecast/mae,0.6082547903060913,229,43
0.7,val_base,val,forecast/mse,0.3590189814567566,926,43
0.7,val_base,val,forecast/rmse,0.5991819268442237,926,43
0.7,val_base,val,forecast/mae,0.43403246998786926,926,43
0.8,test,test,forecast/mse,0.5517919659614563,3365,43
0.8,test,test,forecast/rmse,0.7428270094453057,3365,43
0.8,test,test,forecast/mae,0.5400295853614807,3365,43
0.8,val_0,val,forecast/mse,0.6601277589797974,229,43
0.8,val_0,val,forecast/rmse,0.812482466875315,229,43
0.8,val_0,val,forecast/mae,0.6439028978347778,229,43
0.8,val_1,val,forecast/mse,0.23326697945594788,229,43
0.8,val_1,val,forecast/rmse,0.4829772038677891,229,43
0.8,val_1,val,forecast/mae,0.35084059834480286,229,43
0.8,val_2,val,forecast/mse,0.6489607691764832,229,43
0.8,val_2,val,forecast/rmse,0.8055810134160829,229,43
0.8,val_2,val,forecast/mae,0.641241192817688,229,43
0.8,val_base,val,forecast/mse,0.3900810182094574,926,43
0.8,val_base,val,forecast/rmse,0.6245646629528903,926,43
0.8,val_base,val,forecast/mae,0.4538503587245941,926,43
0.9,test,test,forecast/mse,0.5806198716163635,3365,43
0.9,test,test,forecast/rmse,0.7619841675627936,3365,43
0.9,test,test,forecast/mae,0.5576000213623047,3365,43
0.9,val_0,val,forecast/mse,0.7184522747993469,229,43
0.9,val_0,val,forecast/rmse,0.8476156409595961,229,43
0.9,val_0,val,forecast/mae,0.6733246445655823,229,43
0.9,val_1,val,forecast/mse,0.24866144359111786,229,43
0.9,val_1,val,forecast/rmse,0.4986596470450741,229,43
0.9,val_1,val,forecast/mae,0.36246898770332336,229,43
0.9,val_2,val,forecast/mse,0.7074858546257019,229,43
0.9,val_2,val,forecast/rmse,0.8411217834687804,229,43
0.9,val_2,val,forecast/mae,0.67411869764328,229,43
0.9,val_base,val,forecast/mse,0.4277772605419159,926,43
0.9,val_base,val,forecast/rmse,0.6540468335997934,926,43
0.9,val_base,val,forecast/mae,0.47604337334632874,926,43
1.0,test,test,forecast/mse,0.6119112372398376,3365,43
1.0,test,test,forecast/rmse,0.7822475549593221,3365,43
1.0,test,test,forecast/mae,0.575832188129425,3365,43
1.0,val_0,val,forecast/mse,0.7619252800941467,229,43
1.0,val_0,val,forecast/rmse,0.8728833141343387,229,43
1.0,val_0,val,forecast/mae,0.6938180327415466,229,43
1.0,val_1,val,forecast/mse,0.2668781578540802,229,43
1.0,val_1,val,forecast/rmse,0.5166025143706525,229,43
1.0,val_1,val,forecast/mae,0.37536221742630005,229,43
1.0,val_2,val,forecast/mse,0.7702107429504395,229,43
1.0,val_2,val,forecast/rmse,0.8776165124645499,229,43
1.0,val_2,val,forecast/mae,0.7068037986755371,229,43
1.0,val_base,val,forecast/mse,0.4714767038822174,926,43
1.0,val_base,val,forecast/rmse,0.6866416124021449,926,43
1.0,val_base,val,forecast/mae,0.5001234412193298,926,43
1.1,test,test,forecast/mse,0.6451979875564575,3365,43
1.1,test,test,forecast/rmse,0.8032421724215292,3365,43
1.1,test,test,forecast/mae,0.5946100354194641,3365,43
1.1,val_0,val,forecast/mse,0.8001529574394226,229,43
1.1,val_0,val,forecast/rmse,0.8945126927212507,229,43
1.1,val_0,val,forecast/mae,0.7116564512252808,229,43
1.1,val_1,val,forecast/mse,0.28780946135520935,229,43
1.1,val_1,val,forecast/rmse,0.5364787613272396,229,43
1.1,val_1,val,forecast/mae,0.38953080773353577,229,43
1.1,val_2,val,forecast/mse,0.8370152711868286,229,43
1.1,val_2,val,forecast/rmse,0.9148853869129339,229,43
1.1,val_2,val,forecast/mae,0.739184558391571,229,43
1.1,val_base,val,forecast/mse,0.5204152464866638,926,43
1.1,val_base,val,forecast/rmse,0.7213981192702569,926,43
1.1,val_base,val,forecast/mae,0.5258172750473022,926,43
1.2,test,test,forecast/mse,0.6803140640258789,3365,43
1.2,test,test,forecast/rmse,0.8248115324277898,3365,43
1.2,test,test,forecast/mae,0.6138719320297241,3365,43
1.2,val_0,val,forecast/mse,0.841158926486969,229,43
1.2,val_0,val,forecast/rmse,0.9171471673003024,229,43
1.2,val_0,val,forecast/mae,0.7315665483474731,229,43
1.2,val_1,val,forecast/mse,0.31159013509750366,229,43
1.2,val_1,val,forecast/rmse,0.5582025932378886,229,43
1.2,val_1,val,forecast/mae,0.4049864113330841,229,43
1.2,val_2,val,forecast/mse,0.9076601266860962,229,43
1.2,val_2,val,forecast/rmse,0.9527119851697554,229,43
1.2,val_2,val,forecast/mae,0.7710312008857727,229,43
1.2,val_base,val,forecast/mse,0.5738236904144287,926,43
1.2,val_base,val,forecast/rmse,0.7575115117372334,926,43
1.2,val_base,val,forecast/mae,0.5526776909828186,926,43
1.3,test,test,forecast/mse,0.7172152400016785,3365,43
1.3,test,test,forecast/rmse,0.846885612111623,3365,43
1.3,test,test,forecast/mae,0.6335683465003967,3365,43
1.3,val_0,val,forecast/mse,0.8863478302955627,229,43
1.3,val_0,val,forecast/rmse,0.9414604772881137,229,43
1.3,val_0,val,forecast/mae,0.7542046904563904,229,43
1.3,val_1,val,forecast/mse,0.3384087085723877,229,43
1.3,val_1,val,forecast/rmse,0.5817290680139576,229,43
1.3,val_1,val,forecast/mae,0.42197978496551514,229,43
1.3,val_2,val,forecast/mse,0.9818360209465027,229,43
1.3,val_2,val,forecast/rmse,0.9908763903466984,229,43
1.3,val_2,val,forecast/mae,0.8021036386489868,229,43
1.3,val_base,val,forecast/mse,0.6310544610023499,926,43
1.3,val_base,val,forecast/rmse,0.7943893636009673,926,43
1.3,val_base,val,forecast/mae,0.5803688168525696,926,43
1.4,test,test,forecast/mse,0.7558228373527527,3365,43
1.4,test,test,forecast/rmse,0.8693807206010222,3365,43
1.4,test,test,forecast/mae,0.6536077857017517,3365,43
1.4,val_0,val,forecast/mse,0.9347723722457886,229,43
1.4,val_0,val,forecast/rmse,0.9668362696164168,229,43
1.4,val_0,val,forecast/mae,0.7785663604736328,229,43
1.4,val_1,val,forecast/mse,0.3685230016708374,229,43
1.4,val_1,val,forecast/rmse,0.6070609538348166,229,43
1.4,val_1,val,forecast/mae,0.4405486285686493,229,43
1.4,val_2,val,forecast/mse,1.0592366456985474,229,43
1.4,val_2,val,forecast/rmse,1.029192229711509,229,43
1.4,val_2,val,forecast/mae,0.8321564197540283,229,43
1.4,val_base,val,forecast/mse,0.6917134523391724,926,43
1.4,val_base,val,forecast/rmse,0.831693123897975,926,43
1.4,val_base,val,forecast/mae,0.6085782051086426,926,43
1.5,test,test,forecast/mse,0.7959837913513184,3365,43
1.5,test,test,forecast/rmse,0.8921792372339307,3365,43
1.5,test,test,forecast/mae,0.6738439202308655,3365,43
1.5,val_0,val,forecast/mse,0.9851188659667969,229,43
1.5,val_0,val,forecast/rmse,0.9925315440663822,229,43
1.5,val_0,val,forecast/mae,0.8038901090621948,229,43
1.5,val_1,val,forecast/mse,0.4019056558609009,229,43
1.5,val_1,val,forecast/rmse,0.6339602951769936,229,43
1.5,val_1,val,forecast/mae,0.4603356122970581,229,43
1.5,val_2,val,forecast/mse,1.1395450830459595,229,43
1.5,val_2,val,forecast/rmse,1.067494769563748,229,43
1.5,val_2,val,forecast/mae,0.8610345125198364,229,43
1.5,val_base,val,forecast/mse,0.7556723356246948,926,43
1.5,val_base,val,forecast/rmse,0.8692941594332121,926,43
1.5,val_base,val,forecast/mae,0.6372039318084717,926,43
