model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3964425325393677,1.0,926,43
ft_0,val_base,val,forecast/mae,0.42900505661964417,1.0821368077529445,926,43
ft_1,val_base,val,forecast/mae,0.40095585584640503,1.0113845587609578,926,43
ft_2,val_base,val,forecast/mae,0.4301403760910034,1.0850005758357661,926,43
merged,val_base,val,forecast/mae,0.5001234412193298,1.2615282170049864,926,43
base,val_base,val,forecast/mse,0.3239738941192627,1.0,926,43
ft_0,val_base,val,forecast/mse,0.3494415283203125,1.0786101431730624,926,43
ft_1,val_base,val,forecast/mse,0.32193222641944885,0.9936980487104857,926,43
ft_2,val_base,val,forecast/mse,0.35515227913856506,1.096237337591852,926,43
merged,val_base,val,forecast/mse,0.4714767038822174,1.4552922702736515,926,43
base,val_base,val,forecast/rmse,0.5691870466896297,1.0,926,43
ft_0,val_base,val,forecast/rmse,0.5911357951607333,1.038561574088442,926,43
ft_1,val_base,val,forecast/rmse,0.5673907176007101,0.9968440443271382,926,43
ft_2,val_base,val,forecast/rmse,0.5959465405038987,1.04701353266892,926,43
merged,val_base,val,forecast/rmse,0.6866416124021449,1.2063549520243415,926,43
base,val_0,val,forecast/mae,0.5649630427360535,1.0,229,43
ft_0,val_0,val,forecast/mae,0.5349094867706299,0.9468043859650048,229,43
ft_1,val_0,val,forecast/mae,0.4774481952190399,0.8450963321544205,229,43
ft_2,val_0,val,forecast/mae,0.5249499082565308,0.9291756602595747,229,43
merged,val_0,val,forecast/mae,0.6938180327415466,1.228076847967723,229,43
base,val_0,val,forecast/mse,0.5425259470939636,1.0,229,43
ft_0,val_0,val,forecast/mse,0.5153970718383789,0.9499952483362311,229,43
ft_1,val_0,val,forecast/mse,0.41972485184669495,0.773649360173367,229,43
ft_2,val_0,val,forecast/mse,0.4737352728843689,0.8732029784417289,229,43
merged,val_0,val,forecast/mse,0.7619252800941467,1.404403391534348,229,43
base,val_0,val,forecast/rmse,0.7365636069573107,1.0,229,43
ft_0,val_0,val,forecast/rmse,0.7179116044739623,0.9746769969257666,229,43
ft_1,val_0,val,forecast/rmse,0.6478617536532736,0.879573396694879,229,43
ft_2,val_0,val,forecast/rmse,0.6882842965551146,0.934453304580667,229,43
merged,val_0,val,forecast/rmse,0.8728833141343387,1.1850752682991692,229,43
base,val_1,val,forecast/mae,0.3957991600036621,1.0,229,43
ft_0,val_1,val,forecast/mae,0.40901830792427063,1.0333986255061436,229,43
ft_1,val_1,val,forecast/mae,0.34322410821914673,0.8671673487532694,229,43
ft_2,val_1,val,forecast/mae,0.35221612453460693,0.8898859829094838,229,43
merged,val_1,val,forecast/mae,0.37536221742630005,0.9483653715253642,229,43
base,val_1,val,forecast/mse,0.3336165249347687,1.0,229,43
ft_0,val_1,val,forecast/mse,0.28646320104599,0.8586601071454765,229,43
ft_1,val_1,val,forecast/mse,0.22915059328079224,0.6868682338969797,229,43
ft_2,val_1,val,forecast/mse,0.25373226404190063,0.7605506474582228,229,43
merged,val_1,val,forecast/mse,0.2668781578540802,0.799954852075335,229,43
base,val_1,val,forecast/rmse,0.5775954682429293,1.0,229,43
ft_0,val_1,val,forecast/rmse,0.5352225715027253,0.926639146132666,229,43
ft_1,val_1,val,forecast/rmse,0.47869676547976825,0.8287751407329853,229,43
ft_2,val_1,val,forecast/rmse,0.503718437266198,0.8720955495002958,229,43
merged,val_1,val,forecast/rmse,0.5166025143706525,0.8944019521866748,229,43
base,val_2,val,forecast/mae,0.5603241324424744,1.0,229,43
ft_0,val_2,val,forecast/mae,0.7920079827308655,1.4134818346632196,229,43
ft_1,val_2,val,forecast/mae,0.783303439617157,1.3979469993603653,229,43
ft_2,val_2,val,forecast/mae,0.3894745111465454,0.6950878760991627,229,43
merged,val_2,val,forecast/mae,0.7068037986755371,1.2614195208665246,229,43
base,val_2,val,forecast/mse,0.5456115007400513,1.0,229,43
ft_0,val_2,val,forecast/mse,0.9311354160308838,1.7065905223183884,229,43
ft_1,val_2,val,forecast/mse,0.8600553870201111,1.5763146228654592,229,43
ft_2,val_2,val,forecast/mse,0.27793043851852417,0.5093925588840184,229,43
merged,val_2,val,forecast/mse,0.7702107429504395,1.4116468254531813,229,43
base,val_2,val,forecast/rmse,0.7386551974636415,1.0,229,43
ft_0,val_2,val,forecast/rmse,0.9649535823193175,1.306365386221783,229,43
ft_1,val_2,val,forecast/rmse,0.9273917117486608,1.2555136888403324,229,43
ft_2,val_2,val,forecast/rmse,0.5271910834967946,0.7137174222926175,229,43
merged,val_2,val,forecast/rmse,0.8776165124645499,1.18812744495411,229,43
base,test,test,forecast/mae,0.6292352080345154,1.0,3365,43
ft_0,test,test,forecast/mae,0.6731871962547302,1.0698498552830564,3365,43
ft_1,test,test,forecast/mae,0.546655535697937,0.8687618377323084,3365,43
ft_2,test,test,forecast/mae,0.47827354073524475,0.7600870622436786,3365,43
