model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.16849756399142107,1.0,9837,124
ft_0,val_base,val,reconstruction/score_mean,0.18045029658784442,1.0709371240348133,9837,124
ft_1,val_base,val,reconstruction/score_mean,0.2049459543753606,1.2163140494173272,9837,124
ft_2,val_base,val,reconstruction/score_mean,0.1917134841334666,1.1377819334125658,9837,124
merged,val_base,val,reconstruction/score_mean,0.30812156675982744,1.828641076232504,9837,124
base,val_base,val,reconstruction/score_p50,0.09857594221830368,1.0,9837,124
ft_0,val_base,val,reconstruction/score_p50,0.11350306123495102,1.1514276067845248,9837,124
ft_1,val_base,val,reconstruction/score_p50,0.14136163890361786,1.434037917594154,9837,124
ft_2,val_base,val,reconstruction/score_p50,0.1262049525976181,1.2802814739333452,9837,124
merged,val_base,val,reconstruction/score_p50,0.24374933540821075,2.4727061179735914,9837,124
base,val_base,val,reconstruction/score_p95,0.38948888182640073,1.0,9837,124
ft_0,val_base,val,reconstruction/score_p95,0.4003225326538082,1.0278150451345518,9837,124
ft_1,val_base,val,reconstruction/score_p95,0.4239096820354459,1.0883742818219568,9837,124
ft_2,val_base,val,reconstruction/score_p95,0.4272162854671478,1.09686387828026,9837,124
merged,val_base,val,reconstruction/score_p95,0.5508902072906494,1.4143926386483785,9837,124
base,val_base,val,reconstruction/score_p99,1.634028177261344,1.0,9837,124
ft_0,val_base,val,reconstruction/score_p99,1.6542936706542966,1.0124021688701341,9837,124
ft_1,val_base,val,reconstruction/score_p99,1.6371600103378285,1.001916633458386,9837,124
ft_2,val_base,val,reconstruction/score_p99,1.6065553808212265,0.9831870730123135,9837,124
merged,val_base,val,reconstruction/score_p99,1.7286415719985961,1.057901935874708,9837,124
base,val_base,val,reconstruction/score_std,0.2609774102194131,1.0,9837,124
ft_0,val_base,val,reconstruction/score_std,0.2612436725701685,1.0010202505670185,9837,124
ft_1,val_base,val,reconstruction/score_std,0.25881828921609273,0.9917267896807423,9837,124
ft_2,val_base,val,reconstruction/score_std,0.2560017464246039,0.9809345039073458,9837,124
merged,val_base,val,reconstruction/score_std,0.2591663045090949,0.9930602970241924,9837,124
base,val_0,val,reconstruction/score_mean,0.28944486017413423,1.0,3213,124
ft_0,val_0,val,reconstruction/score_mean,0.22377400765055777,0.7731144630308242,3213,124
ft_1,val_0,val,reconstruction/score_mean,0.2241157585429767,0.7742951745909235,3213,124
ft_2,val_0,val,reconstruction/score_mean,0.27904780351212194,0.9640793184036598,3213,124
merged,val_0,val,reconstruction/score_mean,0.2709698491644867,0.9361708789766289,3213,124
base,val_0,val,reconstruction/score_p50,0.26538774371147156,1.0,3213,124
ft_0,val_0,val,reconstruction/score_p50,0.2012186050415039,0.7582060958333778,3213,124
ft_1,val_0,val,reconstruction/score_p50,0.19998273253440857,0.7535492398316215,3213,124
ft_2,val_0,val,reconstruction/score_p50,0.25104424357414246,0.9459526655725168,3213,124
merged,val_0,val,reconstruction/score_p50,0.2446608990430832,0.9218997668146932,3213,124
base,val_0,val,reconstruction/score_p95,0.6383895516395562,1.0,3213,124
ft_0,val_0,val,reconstruction/score_p95,0.520100963115692,0.814707824994837,3213,124
ft_1,val_0,val,reconstruction/score_p95,0.514564001560211,0.8060344976490798,3213,124
ft_2,val_0,val,reconstruction/score_p95,0.6313671946525572,0.9889998873431375,3213,124
merged,val_0,val,reconstruction/score_p95,0.5293231725692749,0.829153878239126,3213,124
