merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7994562837485432,449820,43
0.0,test,test,window_auprc,0.702650801927685,449820,43
0.0,test,test,window_f1,0.7488722449023326,449820,43
0.0,test,test,window_precision,0.989242745930644,449820,43
0.0,test,test,window_recall,0.6024792248543154,449820,43
0.0,test,test,point_auroc,0.8150638499771442,449820,43
0.0,test,test,point_auprc,0.7084317882016361,449820,43
0.0,test,test,point_f1,0.7654312750886791,449820,43
0.0,test,test,point_precision,0.9747380345511186,449820,43
0.0,test,test,point_recall,0.6301239450028377,449820,43
0.0,test,test,pa_f1,0.8260810097891713,449820,43
0.0,test,test,pa_precision,0.8856442591700359,449820,43
0.0,test,test,pa_recall,0.7740246425367533,449820,43
0.0,test,test,event_f1,0.16666666666666666,449820,43
0.0,test,test,event_precision,0.13114754098360656,449820,43
0.0,test,test,event_recall,0.22857142857142856,449820,43
0.0,test,test,event_tp,8.0,449820,43
0.0,test,test,event_fp,53.0,449820,43
0.0,test,test,event_fn,27.0,449820,43
0.0,val_0,val,reconstruction/score_mean,0.05204185853853674,12276,43
0.0,val_0,val,reconstruction/score_std,0.11124653931410108,12276,43
0.0,val_0,val,reconstruction/score_p50,0.019520648755133152,12276,43
0.0,val_0,val,reconstruction/score_p95,0.2499827817082405,12276,43
0.0,val_0,val,reconstruction/score_p99,0.6545758247375488,12276,43
0.0,val_1,val,reconstruction/score_mean,0.06093199167393922,12276,43
0.0,val_1,val,reconstruction/score_std,0.11408645129319873,12276,43
0.0,val_1,val,reconstruction/score_p50,0.025083609856665134,12276,43
0.0,val_1,val,reconstruction/score_p95,0.27431363612413406,12276,43
0.0,val_1,val,reconstruction/score_p99,0.6743509322404861,12276,43
0.0,val_2,val,reconstruction/score_mean,0.08341116526881194,12276,43
0.0,val_2,val,reconstruction/score_std,0.11791504231037846,12276,43
0.0,val_2,val,reconstruction/score_p50,0.04715084657073021,12276,43
0.0,val_2,val,reconstruction/score_p95,0.306905135512352,12276,43
0.0,val_2,val,reconstruction/score_p99,0.7313287109136581,12276,43
0.0,val_base,val,reconstruction/score_mean,0.041016123438869144,37026,43
0.0,val_base,val,reconstruction/score_std,0.10675526528298687,37026,43
0.0,val_base,val,reconstruction/score_p50,0.006664503598585725,37026,43
0.0,val_base,val,reconstruction/score_p95,0.2465810328722,37026,43
0.0,val_base,val,reconstruction/score_p99,0.6076904237270355,37026,43
0.1,test,test,window_auroc,0.7996567085648811,449820,43
0.1,test,test,window_auprc,0.7028456829680767,449820,43
0.1,test,test,window_f1,0.7492121342051666,449820,43
