model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.041016123438869144,1.0,37026,43
ft_0,val_base,val,reconstruction/score_mean,0.04397056243563095,1.0720311611399633,37026,43
ft_1,val_base,val,reconstruction/score_mean,0.04866554156867995,1.186497832765975,37026,43
ft_2,val_base,val,reconstruction/score_mean,0.05180290441112232,1.2629887972794382,37026,43
merged,val_base,val,reconstruction/score_mean,0.18058282377482368,4.402727723500399,37026,43
base,val_base,val,reconstruction/score_p50,0.006664503598585725,1.0,37026,43
ft_0,val_base,val,reconstruction/score_p50,0.012041058856993914,1.8067450454298124,37026,43
ft_1,val_base,val,reconstruction/score_p50,0.016457682475447655,2.4694536107595684,37026,43
ft_2,val_base,val,reconstruction/score_p50,0.01850582379847765,2.776774522622326,37026,43
merged,val_base,val,reconstruction/score_p50,0.14659789204597473,21.99682090007188,37026,43
base,val_base,val,reconstruction/score_p95,0.2465810328722,1.0,37026,43
ft_0,val_base,val,reconstruction/score_p95,0.2509308382868767,1.0176404704125444,37026,43
ft_1,val_base,val,reconstruction/score_p95,0.2551129087805748,1.0346006982329283,37026,43
ft_2,val_base,val,reconstruction/score_p95,0.2583605423569679,1.0477713526768828,37026,43
merged,val_base,val,reconstruction/score_p95,0.4066137298941612,1.6490065158616811,37026,43
base,val_base,val,reconstruction/score_p99,0.6076904237270355,1.0,37026,43
ft_0,val_base,val,reconstruction/score_p99,0.5902505815029144,0.9713014364828056,37026,43
ft_1,val_base,val,reconstruction/score_p99,0.5929199904203415,0.9756941483196242,37026,43
ft_2,val_base,val,reconstruction/score_p99,0.6332106292247772,1.041995405063689,37026,43
merged,val_base,val,reconstruction/score_p99,0.9450579285621643,1.55516343793278,37026,43
base,val_base,val,reconstruction/score_std,0.10675526528298687,1.0,37026,43
ft_0,val_base,val,reconstruction/score_std,0.10366965261260132,0.971096388902166,37026,43
ft_1,val_base,val,reconstruction/score_std,0.10402509318127513,0.9744258787191938,37026,43
ft_2,val_base,val,reconstruction/score_std,0.10788974663647151,1.0106269358281987,37026,43
merged,val_base,val,reconstruction/score_std,0.13509767723559857,1.2654895932063082,37026,43
base,val_0,val,reconstruction/score_mean,0.05204185853853674,1.0,12276,43
ft_0,val_0,val,reconstruction/score_mean,0.03804957014606412,0.7311339605192732,12276,43
ft_1,val_0,val,reconstruction/score_mean,0.04005446571283347,0.7696586332168236,12276,43
ft_2,val_0,val,reconstruction/score_mean,0.04422747241588035,0.8498442149818712,12276,43
merged,val_0,val,reconstruction/score_mean,0.1412864918894908,2.714862532914132,12276,43
base,val_0,val,reconstruction/score_p50,0.019520648755133152,1.0,12276,43
ft_0,val_0,val,reconstruction/score_p50,0.00629234709776938,0.322343134016729,12276,43
ft_1,val_0,val,reconstruction/score_p50,0.008318569045513868,0.4261420380983197,12276,43
ft_2,val_0,val,reconstruction/score_p50,0.011744268238544464,0.601633090470735,12276,43
merged,val_0,val,reconstruction/score_p50,0.10689031332731247,5.475756193769153,12276,43
base,val_0,val,reconstruction/score_p95,0.2499827817082405,1.0,12276,43
ft_0,val_0,val,reconstruction/score_p95,0.23423519358038902,0.9370053088447076,12276,43
ft_1,val_0,val,reconstruction/score_p95,0.23714463040232658,0.9486438577161783,12276,43
ft_2,val_0,val,reconstruction/score_p95,0.24182211235165596,0.9673550742142352,12276,43
merged,val_0,val,reconstruction/score_p95,0.35969826579093933,1.4388921642241335,12276,43
base,val_0,val,reconstruction/score_p99,0.6545758247375488,1.0,12276,43
ft_0,val_0,val,reconstruction/score_p99,0.6065333336591721,0.9266051551817708,12276,43
ft_1,val_0,val,reconstruction/score_p99,0.6048687398433685,0.9240621437339054,12276,43
ft_2,val_0,val,reconstruction/score_p99,0.6365648955106735,0.9724845792554334,12276,43
merged,val_0,val,reconstruction/score_p99,0.927355945110321,1.4167280703990908,12276,43
base,val_0,val,reconstruction/score_std,0.11124653931410108,1.0,12276,43
ft_0,val_0,val,reconstruction/score_std,0.10484297630375274,0.9424380924581565,12276,43
ft_1,val_0,val,reconstruction/score_std,0.10515761395584121,0.9452663840529189,12276,43
ft_2,val_0,val,reconstruction/score_std,0.10873885643239976,0.9774583290665703,12276,43
merged,val_0,val,reconstruction/score_std,0.13315051005593584,1.1968957495386854,12276,43
base,val_1,val,reconstruction/score_mean,0.06093199167393922,1.0,12276,43
ft_0,val_1,val,reconstruction/score_mean,0.04213088090632732,0.6914410599243027,12276,43
ft_1,val_1,val,reconstruction/score_mean,0.03839748355078033,0.6301695135168712,12276,43
ft_2,val_1,val,reconstruction/score_mean,0.04011688366389395,0.6583878609871874,12276,43
merged,val_1,val,reconstruction/score_mean,0.13491657942244598,2.2142158120222772,12276,43
base,val_1,val,reconstruction/score_p50,0.025083609856665134,1.0,12276,43
ft_0,val_1,val,reconstruction/score_p50,0.00873845862224698,0.3483732473986405,12276,43
ft_1,val_1,val,reconstruction/score_p50,0.00496475282125175,0.19792816303641128,12276,43
ft_2,val_1,val,reconstruction/score_p50,0.00658105849288404,0.26236488808788194,12276,43
merged,val_1,val,reconstruction/score_p50,0.09938989579677582,3.962344190677414,12276,43
base,val_1,val,reconstruction/score_p95,0.27431363612413406,1.0,12276,43
ft_0,val_1,val,reconstruction/score_p95,0.2513269856572151,0.9162030339005207,12276,43
ft_1,val_1,val,reconstruction/score_p95,0.24730543419718742,0.9015426199420697,12276,43
ft_2,val_1,val,reconstruction/score_p95,0.24877230823040009,0.9068900538281084,12276,43
merged,val_1,val,reconstruction/score_p95,0.35886189341545105,1.3082174786712268,12276,43
base,val_1,val,reconstruction/score_p99,0.6743509322404861,1.0,12276,43
ft_0,val_1,val,reconstruction/score_p99,0.5917835831642151,0.8775602655401594,12276,43
ft_1,val_1,val,reconstruction/score_p99,0.5804129540920258,0.8606986753375462,12276,43
ft_2,val_1,val,reconstruction/score_p99,0.5996943712234497,0.8892912318383027,12276,43
merged,val_1,val,reconstruction/score_p99,0.8517137169837952,1.263012589237525,12276,43
base,val_1,val,reconstruction/score_std,0.11408645129319873,1.0,12276,43
ft_0,val_1,val,reconstruction/score_std,0.10576587139578907,0.9270677648126154,12276,43
ft_1,val_1,val,reconstruction/score_std,0.10471004387189009,0.917813138063068,12276,43
ft_2,val_1,val,reconstruction/score_std,0.1054446436353862,0.9242521126754715,12276,43
merged,val_1,val,reconstruction/score_std,0.12601574908315538,1.104563667768916,12276,43
base,val_2,val,reconstruction/score_mean,0.08341116526881194,1.0,12276,43
ft_0,val_2,val,reconstruction/score_mean,0.062091426917953545,0.744401864161104,12276,43
ft_1,val_2,val,reconstruction/score_mean,0.04820624324047022,0.5779351371619658,12276,43
ft_2,val_2,val,reconstruction/score_mean,0.04463599510348268,0.5351321368024625,12276,43
merged,val_2,val,reconstruction/score_mean,0.1291658915609665,1.5485443842523874,12276,43
base,val_2,val,reconstruction/score_p50,0.04715084657073021,1.0,12276,43
ft_0,val_2,val,reconstruction/score_p50,0.027165531180799007,0.5761409000376789,12276,43
ft_1,val_2,val,reconstruction/score_p50,0.01431118045002222,0.3035190561966741,12276,43
ft_2,val_2,val,reconstruction/score_p50,0.010716984514147043,0.22729145484314203,12276,43
merged,val_2,val,reconstruction/score_p50,0.09305555000901222,1.9735711397974822,12276,43
base,val_2,val,reconstruction/score_p95,0.306905135512352,1.0,12276,43
ft_0,val_2,val,reconstruction/score_p95,0.27954545617103577,0.9108529764559281,12276,43
ft_1,val_2,val,reconstruction/score_p95,0.26272574067115784,0.8560486947621766,12276,43
ft_2,val_2,val,reconstruction/score_p95,0.2593865320086479,0.8451684315272998,12276,43
merged,val_2,val,reconstruction/score_p95,0.3530231714248657,1.1502680489054822,12276,43
base,val_2,val,reconstruction/score_p99,0.7313287109136581,1.0,12276,43
ft_0,val_2,val,reconstruction/score_p99,0.6556451171636581,0.8965122076836727,12276,43
ft_1,val_2,val,reconstruction/score_p99,0.6251572668552399,0.8548239082179928,12276,43
ft_2,val_2,val,reconstruction/score_p99,0.6167829185724258,0.8433730405604768,12276,43
merged,val_2,val,reconstruction/score_p99,0.7979795634746552,1.0911366551953487,12276,43
base,val_2,val,reconstruction/score_std,0.11791504231037846,1.0,12276,43
ft_0,val_2,val,reconstruction/score_std,0.11038454929074021,0.9361362819188385,12276,43
ft_1,val_2,val,reconstruction/score_std,0.10777957614496222,0.9140443325395462,12276,43
ft_2,val_2,val,reconstruction/score_std,0.10680033518617843,0.9057397011744807,12276,43
merged,val_2,val,reconstruction/score_std,0.12259279180771214,1.0396705068808847,12276,43
base,test,test,event_f1,0.16666666666666666,1.0,449820,43
ft_0,test,test,event_f1,0.1739130434782609,1.0434782608695654,449820,43
ft_1,test,test,event_f1,0.2077922077922078,1.246753246753247,449820,43
ft_2,test,test,event_f1,0.26666666666666666,1.6,449820,43
merged,test,test,event_f1,0.3636363636363636,2.1818181818181817,449820,43
standard,test,test,event_f1,0.3636363636363636,2.1818181818181817,449820,43
base,test,test,event_fn,27.0,1.0,449820,43
ft_0,test,test,event_fn,27.0,1.0,449820,43
