merge_scale,split,metric,value
0.0,test,forecast/mse,0.5552074909210205
0.0,test,forecast/rmse,0.7451224670623081
0.0,test,forecast/mae,0.43445688486099243
0.05,test,forecast/mse,0.5216758847236633
0.05,test,forecast/rmse,0.7222713373266748
0.05,test,forecast/mae,0.4208909273147583
0.1,test,forecast/mse,0.48995110392570496
0.1,test,forecast/rmse,0.6999650733613106
0.1,test,forecast/mae,0.40827271342277527
0.15,test,forecast/mse,0.46062198281288147
0.15,test,forecast/rmse,0.6786913752309525
0.15,test,forecast/mae,0.3971935212612152
0.2,test,forecast/mse,0.4343926012516022
0.2,test,forecast/rmse,0.6590846692585121
0.2,test,forecast/mae,0.3884783387184143
0.25,test,forecast/mse,0.41208523511886597
0.25,test,forecast/rmse,0.6419386537036588
0.25,test,forecast/mae,0.38273245096206665
0.3,test,forecast/mse,0.39454716444015503
0.3,test,forecast/rmse,0.6281298945601579
0.3,test,forecast/mae,0.3805204927921295
0.35,test,forecast/mse,0.3992137312889099
0.35,test,forecast/rmse,0.6318336262727
0.35,test,forecast/mae,0.3776783049106598
0.4,test,forecast/mse,0.37701088190078735
0.4,test,forecast/rmse,0.614012118692121
0.4,test,forecast/mae,0.388944149017334
0.45,test,forecast/mse,0.37824583053588867
0.45,test,forecast/rmse,0.615016935161861
0.45,test,forecast/mae,0.4001401364803314
0.5,test,forecast/mse,0.3866255283355713
0.5,test,forecast/rmse,0.621792190635723
0.5,test,forecast/mae,0.41551777720451355
0.55,test,forecast/mse,0.4022778570652008
0.55,test,forecast/rmse,0.6342537797011546
0.55,test,forecast/mae,0.43470442295074463
0.6,test,forecast/mse,0.42530614137649536
0.6,test,forecast/rmse,0.6521549979694209
0.6,test,forecast/mae,0.457354336977005
0.65,test,forecast/mse,0.4557894766330719
0.65,test,forecast/rmse,0.6751218235496997
0.65,test,forecast/mae,0.48316332697868347
0.7,test,forecast/mse,0.4937130808830261
0.7,test,forecast/rmse,0.7026471951719626
0.7,test,forecast/mae,0.5117474794387817
0.75,test,forecast/mse,0.5389396548271179
0.75,test,forecast/rmse,0.7341250948081791
0.75,test,forecast/mae,0.5425859689712524
0.8,test,forecast/mse,0.5912671685218811
0.8,test,forecast/rmse,0.7689389888163307
0.8,test,forecast/mae,0.5751233100891113
0.85,test,forecast/mse,0.6504181623458862
0.85,test,forecast/rmse,0.8064850664121973
0.85,test,forecast/mae,0.608957827091217
0.9,test,forecast/mse,0.7159891128540039
0.9,test,forecast/rmse,0.846161398820582
0.9,test,forecast/mae,0.6437095403671265
0.95,test,forecast/mse,0.787434995174408
0.95,test,forecast/rmse,0.8873753406391277
0.95,test,forecast/mae,0.6790037751197815
1.0,test,forecast/mse,0.8640833497047424
1.0,test,forecast/rmse,0.9295608370110815
1.0,test,forecast/mae,0.7145112752914429
1.05,test,forecast/mse,0.9451811909675598
1.05,test,forecast/rmse,0.9722042948719986
1.05,test,forecast/mae,0.749891459941864
1.1,test,forecast/mse,1.0299195051193237
1.1,test,forecast/rmse,1.0148494987530534
1.1,test,forecast/mae,0.7848415374755859
1.15,test,forecast/mse,1.11751127243042
1.15,test,forecast/rmse,1.0571240572564886
1.15,test,forecast/mae,0.8191391229629517
1.2,test,forecast/mse,1.2072256803512573
1.2,test,forecast/rmse,1.09873822193972
1.2,test,forecast/mae,0.8526318669319153
0.0,val,forecast/mse,0.42643749713897705
0.0,val,forecast/rmse,0.6530218198031189
0.0,val,forecast/mae,0.3486573398113251
0.05,val,forecast/mse,0.40411123633384705
0.05,val,forecast/rmse,0.6356974408740742
0.05,val,forecast/mae,0.33470457792282104
0.1,val,forecast/mse,0.3847430646419525
0.1,val,forecast/rmse,0.6202766033327007
0.1,val,forecast/mae,0.3229001760482788
0.15,val,forecast/mse,0.36852890253067017
0.15,val,forecast/rmse,0.6070658140026254
0.15,val,forecast/mae,0.313340425491333
0.2,val,forecast/mse,0.3556758761405945
0.2,val,forecast/rmse,0.5963856773436084
0.2,val,forecast/mae,0.30621156096458435
0.25,val,forecast/mse,0.3464253842830658
0.25,val,forecast/rmse,0.5885791232137493
0.25,val,forecast/mae,0.3022715747356415
0.3,val,forecast/mse,0.3410966098308563
0.3,val,forecast/rmse,0.5840347676558788
0.3,val,forecast/mae,0.30201002955436707
0.35,val,forecast/mse,0.34006819128990173
0.35,val,forecast/rmse,0.583153660101608
0.35,val,forecast/mae,0.30549633502960205
0.4,val,forecast/mse,0.3438492715358734
0.4,val,forecast/rmse,0.5863866229168887
0.4,val,forecast/mae,0.3127778172492981
0.45,val,forecast/mse,0.35296347737312317
