merge_scale,metric,value,selected
0.0,forecast/mse,0.30679187178611755,0
0.05,forecast/mse,0.29525741934776306,0
0.1,forecast/mse,0.2844040095806122,0
0.15,forecast/mse,0.2743265628814697,0
0.2,forecast/mse,0.2651135325431824,0
0.25,forecast/mse,0.2568773031234741,0
0.3,forecast/mse,0.24970600008964539,0
0.35,forecast/mse,0.24370472133159637,0
0.4,forecast/mse,0.23898230493068695,0
0.45,forecast/mse,0.23564529418945312,0
0.5,forecast/mse,0.2337992787361145,0
0.55,forecast/mse,0.2335370033979416,1
0.6,forecast/mse,0.23495472967624664,0
0.65,forecast/mse,0.23814813792705536,0
0.7,forecast/mse,0.2432287484407425,0
0.75,forecast/mse,0.25028252601623535,0
0.8,forecast/mse,0.2593790590763092,0
0.85,forecast/mse,0.27054157853126526,0
0.9,forecast/mse,0.283759206533432,0
0.95,forecast/mse,0.2989943325519562,0
1.0,forecast/mse,0.31618672609329224,0
1.05,forecast/mse,0.335228830575943,0
1.1,forecast/mse,0.3559686243534088,0
1.15,forecast/mse,0.3782308101654053,0
1.2,forecast/mse,0.40181270241737366,0
