merge_scale,split,metric,value
0.0,test,forecast/mse,0.5467190146446228
0.0,test,forecast/rmse,0.7394045000164814
0.0,test,forecast/mae,0.4222727119922638
0.05,test,forecast/mse,0.5059142708778381
0.05,test,forecast/rmse,0.7112765080317486
0.05,test,forecast/mae,0.40431657433509827
0.1,test,forecast/mse,0.46996477246284485
0.1,test,forecast/rmse,0.6855397672366241
0.1,test,forecast/mae,0.39036160707473755
0.15,test,forecast/mse,0.4401129484176636
0.15,test,forecast/rmse,0.6634100906812193
0.15,test,forecast/mae,0.3813857436180115
0.2,test,forecast/mse,0.42943933606147766
0.2,test,forecast/rmse,0.6553162107421712
0.2,test,forecast/mae,0.3765474557876587
0.25,test,forecast/mse,0.40604230761528015
0.25,test,forecast/rmse,0.6372144910587644
0.25,test,forecast/mae,0.3832421600818634
0.3,test,forecast/mse,0.4061451554298401
0.3,test,forecast/rmse,0.6372951870443084
0.3,test,forecast/mae,0.3968287408351898
0.35,test,forecast/mse,0.42038410902023315
0.35,test,forecast/rmse,0.6483703486590308
0.35,test,forecast/mae,0.4197082817554474
0.4,test,forecast/mse,0.4503428339958191
0.4,test,forecast/rmse,0.6710758779719467
0.4,test,forecast/mae,0.4504281282424927
0.45,test,forecast/mse,0.497180700302124
0.45,test,forecast/rmse,0.7051104170994242
0.45,test,forecast/mae,0.4879227876663208
0.5,test,forecast/mse,0.5615164637565613
0.5,test,forecast/rmse,0.7493440222998788
0.5,test,forecast/mae,0.5310957431793213
0.55,test,forecast/mse,0.6437703967094421
0.55,test,forecast/rmse,0.802353037452618
0.55,test,forecast/mae,0.5789121985435486
0.6,test,forecast/mse,0.7441104650497437
0.6,test,forecast/rmse,0.8626183774124823
0.6,test,forecast/mae,0.6304306983947754
0.65,test,forecast/mse,0.8626660704612732
0.65,test,forecast/rmse,0.9287981860777255
0.65,test,forecast/mae,0.6847150921821594
0.7,test,forecast/mse,0.9993724226951599
0.7,test,forecast/rmse,0.9996861621004663
0.7,test,forecast/mae,0.7408953309059143
0.75,test,forecast/mse,1.1536898612976074
0.75,test,forecast/rmse,1.0740995583732484
0.75,test,forecast/mae,0.7981911897659302
0.8,test,forecast/mse,1.3246630430221558
0.8,test,forecast/rmse,1.1509400692573684
0.8,test,forecast/mae,0.8558709621429443
0.85,test,forecast/mse,1.5112593173980713
0.85,test,forecast/rmse,1.2293328749358619
0.85,test,forecast/mae,0.913504421710968
0.9,test,forecast/mse,1.7123854160308838
0.9,test,forecast/rmse,1.3085814518137127
0.9,test,forecast/mae,0.9709938168525696
0.95,test,forecast/mse,1.9268471002578735
0.95,test,forecast/rmse,1.3881091816776783
0.95,test,forecast/mae,1.0281672477722168
1.0,test,forecast/mse,2.1536362171173096
1.0,test,forecast/rmse,1.4675272457836377
1.0,test,forecast/mae,1.0849689245224
1.05,test,forecast/mse,2.391711950302124
1.05,test,forecast/rmse,1.5465160685560704
1.05,test,forecast/mae,1.1414185762405396
1.1,test,forecast/mse,2.640077829360962
1.1,test,forecast/rmse,1.6248316310808828
1.1,test,forecast/mae,1.1975823640823364
1.15,test,forecast/mse,2.897730827331543
1.15,test,forecast/rmse,1.7022722541742679
1.15,test,forecast/mae,1.2535382509231567
1.2,test,forecast/mse,3.1638922691345215
1.2,test,forecast/rmse,1.7787333327777162
1.2,test,forecast/mae,1.309349536895752
0.0,val,forecast/mse,0.28518548607826233
0.0,val,forecast/rmse,0.534027607973841
0.0,val,forecast/mae,0.32752418518066406
0.05,val,forecast/mse,0.2639393210411072
0.05,val,forecast/rmse,0.5137502516214539
0.05,val,forecast/mae,0.3150380551815033
0.1,val,forecast/mse,0.24731199443340302
0.1,val,forecast/rmse,0.4973047299527755
0.1,val,forecast/mae,0.3074433207511902
0.15,val,forecast/mse,0.23580266535282135
0.15,val,forecast/rmse,0.4855951661135244
0.15,val,forecast/mae,0.30437299609184265
0.2,val,forecast/mse,0.23039846122264862
0.2,val,forecast/rmse,0.4799983971042493
0.2,val,forecast/mae,0.3058653175830841
0.25,val,forecast/mse,0.23270945250988007
0.25,val,forecast/rmse,0.4823996812912298
0.25,val,forecast/mae,0.3123916983604431
0.3,val,forecast/mse,0.24467524886131287
0.3,val,forecast/rmse,0.49464658986119864
0.3,val,forecast/mae,0.3249722421169281
0.35,val,forecast/mse,0.2680332660675049
0.35,val,forecast/rmse,0.5177192927325627
0.35,val,forecast/mae,0.3452276885509491
0.4,val,forecast/mse,0.3039667010307312
0.4,val,forecast/rmse,0.5513317522424508
0.4,val,forecast/mae,0.3743014335632324
0.45,val,forecast/mse,0.3530861735343933
0.45,val,forecast/rmse,0.5942105464684999
0.45,val,forecast/mae,0.4109707474708557
0.5,val,forecast/mse,0.4155246913433075
0.5,val,forecast/rmse,0.6446120471596133
0.5,val,forecast/mae,0.4527181386947632
0.55,val,forecast/mse,0.4910892844200134
0.55,val,forecast/rmse,0.7007776283672399
0.55,val,forecast/mae,0.49766987562179565
0.6,val,forecast/mse,0.5793160200119019
0.6,val,forecast/rmse,0.7611281232564606
0.6,val,forecast/mae,0.5448378920555115
0.65,val,forecast/mse,0.6797724366188049
0.65,val,forecast/rmse,0.824483133010497
0.65,val,forecast/mae,0.5933912992477417
0.7,val,forecast/mse,0.7921952605247498
0.7,val,forecast/rmse,0.890053515539796
0.7,val,forecast/mae,0.6428350806236267
0.75,val,forecast/mse,0.9166708588600159
0.75,val,forecast/rmse,0.9574292970554097
0.75,val,forecast/mae,0.6929895877838135
0.8,val,forecast/mse,1.0534600019454956
0.8,val,forecast/rmse,1.026381996113287
0.8,val,forecast/mae,0.7438663244247437
0.85,val,forecast/mse,1.2030067443847656
0.85,val,forecast/rmse,1.0968166411870153
0.85,val,forecast/mae,0.7955582737922668
0.9,val,forecast/mse,1.3657779693603516
0.9,val,forecast/rmse,1.1686650372798664
0.9,val,forecast/mae,0.8481166362762451
0.95,val,forecast/mse,1.5420622825622559
0.95,val,forecast/rmse,1.2417980039290835
0.95,val,forecast/mae,0.9014480113983154
1.0,val,forecast/mse,1.7319658994674683
1.0,val,forecast/rmse,1.31604175445442
1.0,val,forecast/mae,0.9554896354675293
1.05,val,forecast/mse,1.9355266094207764
1.05,val,forecast/rmse,1.3912320472950501
1.05,val,forecast/mae,1.0101531744003296
1.1,val,forecast/mse,2.1528613567352295
1.1,val,forecast/rmse,1.467263219989934
1.1,val,forecast/mae,1.065223217010498
1.15,val,forecast/mse,2.3842062950134277
1.15,val,forecast/rmse,1.544087528287638
1.15,val,forecast/mae,1.1206018924713135
1.2,val,forecast/mse,2.630049467086792
1.2,val,forecast/rmse,1.62174272530719
1.2,val,forecast/mae,1.1762638092041016
