merge_scale,metric,value,selected
0.0,forecast/mse,0.4054799973964691,0
0.05,forecast/mse,0.38688910007476807,0
0.1,forecast/mse,0.3708656430244446,0
0.15,forecast/mse,0.35760918259620667,0
0.2,forecast/mse,0.34735921025276184,0
0.25,forecast/mse,0.3404165506362915,0
0.3,forecast/mse,0.33710017800331116,1
0.35,forecast/mse,0.3378104865550995,0
0.4,forecast/mse,0.34300801157951355,0
0.45,forecast/mse,0.3532159924507141,0
0.5,forecast/mse,0.3690333962440491,0
0.55,forecast/mse,0.3911055028438568,0
0.6,forecast/mse,0.4200386106967926,0
0.65,forecast/mse,0.4563845694065094,0
0.7,forecast/mse,0.5005568861961365,0
0.75,forecast/mse,0.5528048872947693,0
0.8,forecast/mse,0.6132750511169434,0
0.85,forecast/mse,0.6818273663520813,0
0.9,forecast/mse,0.7581143975257874,0
0.95,forecast/mse,0.8416759371757507,0
1.0,forecast/mse,0.9319483637809753,0
1.05,forecast/mse,1.0283663272857666,0
1.1,forecast/mse,1.1304904222488403,0
1.15,forecast/mse,1.2380272150039673,0
1.2,forecast/mse,1.3506826162338257,0
