merge_scale,metric,value,selected
0.0,forecast/mse,0.32716742157936096,0
0.05,forecast/mse,0.3075794577598572,0
0.1,forecast/mse,0.2895399332046509,0
0.15,forecast/mse,0.27319127321243286,0
0.2,forecast/mse,0.25864821672439575,0
0.25,forecast/mse,0.24593466520309448,0
0.3,forecast/mse,0.23507237434387207,0
0.35,forecast/mse,0.22614870965480804,0
0.4,forecast/mse,0.2194374054670334,0
0.45,forecast/mse,0.21538160741329193,0
0.5,forecast/mse,0.2145920842885971,1
0.55,forecast/mse,0.21775740385055542,0
0.6,forecast/mse,0.2254430204629898,0
0.65,forecast/mse,0.2379615753889084,0
0.7,forecast/mse,0.25539669394493103,0
0.75,forecast/mse,0.2777564227581024,0
0.8,forecast/mse,0.3049817383289337,0
0.85,forecast/mse,0.33698928356170654,0
0.9,forecast/mse,0.3738406300544739,0
0.95,forecast/mse,0.4156472682952881,0
1.0,forecast/mse,0.4626903533935547,0
1.05,forecast/mse,0.5154569745063782,0
1.1,forecast/mse,0.5744802355766296,0
1.15,forecast/mse,0.6404185891151428,0
1.2,forecast/mse,0.7139338254928589,0
