merge_scale,split,metric,value
0.0,test,forecast/mse,0.5085787773132324
0.0,test,forecast/rmse,0.7131470937424007
0.0,test,forecast/mae,0.4105180501937866
0.05,test,forecast/mse,0.476183146238327
0.05,test,forecast/rmse,0.6900602482670096
0.05,test,forecast/mae,0.3966362178325653
0.1,test,forecast/mse,0.4487982988357544
0.1,test,forecast/rmse,0.6699240993095817
0.1,test,forecast/mae,0.38637036085128784
0.15,test,forecast/mse,0.42723342776298523
0.15,test,forecast/rmse,0.6536309568579086
0.15,test,forecast/mae,0.38010403513908386
0.2,test,forecast/mse,0.41240379214286804
0.2,test,forecast/rmse,0.6421867268504294
0.2,test,forecast/mae,0.37865445017814636
0.25,test,forecast/mse,0.405220091342926
0.25,test,forecast/rmse,0.6365689996716193
0.25,test,forecast/mae,0.3827279508113861
0.3,test,forecast/mse,0.4065198302268982
0.3,test,forecast/rmse,0.6375890763076938
0.3,test,forecast/mae,0.39273640513420105
0.35,test,forecast/mse,0.41701540350914
0.35,test,forecast/rmse,0.6457672982655129
0.35,test,forecast/mae,0.40888187289237976
0.4,test,forecast/mse,0.43727821111679077
0.4,test,forecast/rmse,0.661270149875821
0.4,test,forecast/mae,0.43097466230392456
0.45,test,forecast/mse,0.46769359707832336
0.45,test,forecast/rmse,0.6838812741100047
0.45,test,forecast/mae,0.45853090286254883
0.5,test,forecast/mse,0.5084673762321472
0.5,test,forecast/rmse,0.7130689842028941
0.5,test,forecast/mae,0.4905996322631836
0.55,test,forecast/mse,0.5596920847892761
0.55,test,forecast/rmse,0.7481257145622493
0.55,test,forecast/mae,0.5259077548980713
0.6,test,forecast/mse,0.6214879155158997
0.6,test,forecast/rmse,0.7883450485135932
0.6,test,forecast/mae,0.5634908080101013
0.65,test,forecast/mse,0.6937544941902161
0.65,test,forecast/rmse,0.8329192603069135
0.65,test,forecast/mae,0.6026949882507324
0.7,test,forecast/mse,0.7759575247764587
0.7,test,forecast/rmse,0.8808845127350456
0.7,test,forecast/mae,0.643053412437439
0.75,test,forecast/mse,0.8669516444206238
0.75,test,forecast/rmse,0.9311023812774961
0.75,test,forecast/mae,0.6839019060134888
0.8,test,forecast/mse,0.9649198651313782
0.8,test,forecast/rmse,0.9823033467984206
0.8,test,forecast/mae,0.7245588898658752
0.85,test,forecast/mse,1.0675522089004517
0.85,test,forecast/rmse,1.0332241813374539
0.85,test,forecast/mae,0.7648183107376099
0.9,test,forecast/mse,1.172195553779602
0.9,test,forecast/rmse,1.0826798020558073
0.9,test,forecast/mae,0.8045002818107605
0.95,test,forecast/mse,1.2763006687164307
0.95,test,forecast/rmse,1.1297347780414795
0.95,test,forecast/mae,0.8431013822555542
1.0,test,forecast/mse,1.3780560493469238
1.0,test,forecast/rmse,1.1739063205157914
1.0,test,forecast/mae,0.880020022392273
1.05,test,forecast/mse,1.476499319076538
1.05,test,forecast/rmse,1.2151128832649822
1.05,test,forecast/mae,0.9148781299591064
1.1,test,forecast/mse,1.5713660717010498
1.1,test,forecast/rmse,1.2535414120407231
1.1,test,forecast/mae,0.9476479291915894
1.15,test,forecast/mse,1.6627777814865112
1.15,test,forecast/rmse,1.2894874103637117
1.15,test,forecast/mae,0.9784536957740784
1.2,test,forecast/mse,1.7510088682174683
1.2,test,forecast/rmse,1.3232569169354333
1.2,test,forecast/mae,1.0074450969696045
0.0,val,forecast/mse,0.27795618772506714
0.0,val,forecast/rmse,0.5272155040636297
0.0,val,forecast/mae,0.32216623425483704
0.05,val,forecast/mse,0.25930652022361755
0.05,val,forecast/rmse,0.5092214844481894
0.05,val,forecast/mae,0.31189024448394775
0.1,val,forecast/mse,0.24469950795173645
0.1,val,forecast/rmse,0.49467111089261767
0.1,val,forecast/mae,0.3062744438648224
0.15,val,forecast/mse,0.23496833443641663
0.15,val,forecast/rmse,0.4847353241062762
0.15,val,forecast/mae,0.30522292852401733
0.2,val,forecast/mse,0.23123721778392792
0.2,val,forecast/rmse,0.4808713110427029
0.2,val,forecast/mae,0.30848798155784607
0.25,val,forecast/mse,0.23510794341564178
0.25,val,forecast/rmse,0.4848793080918609
0.25,val,forecast/mae,0.31668055057525635
0.3,val,forecast/mse,0.2487454116344452
0.3,val,forecast/rmse,0.49874383368062325
0.3,val,forecast/mae,0.3310425579547882
0.35,val,forecast/mse,0.2741767168045044
0.35,val,forecast/rmse,0.5236188659745793
0.35,val,forecast/mae,0.353704571723938
0.4,val,forecast/mse,0.312513142824173
0.4,val,forecast/rmse,0.5590287495506586
0.4,val,forecast/mae,0.38511714339256287
0.45,val,forecast/mse,0.3639157712459564
0.45,val,forecast/rmse,0.6032543172211504
0.45,val,forecast/mae,0.42394930124282837
0.5,val,forecast/mse,0.4278390109539032
0.5,val,forecast/rmse,0.6540940383109322
0.5,val,forecast/mae,0.46785786747932434
0.55,val,forecast/mse,0.5029286742210388
0.55,val,forecast/rmse,0.7091746429625349
0.55,val,forecast/mae,0.5146600604057312
0.6,val,forecast/mse,0.5873392820358276
0.6,val,forecast/rmse,0.7663806378268097
0.6,val,forecast/mae,0.5626865029335022
0.65,val,forecast/mse,0.679212749004364
0.65,val,forecast/rmse,0.8241436458557234
0.65,val,forecast/mae,0.6106638312339783
0.7,val,forecast/mse,0.7769037485122681
0.7,val,forecast/rmse,0.8814214363811831
0.7,val,forecast/mae,0.6576119065284729
0.75,val,forecast/mse,0.8790621161460876
0.75,val,forecast/rmse,0.937583124926045
