merge_scale,split,metric,value
0.0,test,forecast/mse,0.5237295627593994
0.0,test,forecast/rmse,0.7236916213135256
0.0,test,forecast/mae,0.410318523645401
0.05,test,forecast/mse,0.4914929270744324
0.05,test,forecast/rmse,0.701065565460487
0.05,test,forecast/mae,0.39577633142471313
0.1,test,forecast/mse,0.46216607093811035
0.1,test,forecast/rmse,0.6798279715767147
0.1,test,forecast/mae,0.38352176547050476
0.15,test,forecast/mse,0.4360889494419098
0.15,test,forecast/rmse,0.660370312356567
0.15,test,forecast/mae,0.3741273581981659
0.2,test,forecast/mse,0.41368743777275085
0.2,test,forecast/rmse,0.6431853836746843
0.2,test,forecast/mae,0.3680875599384308
0.25,test,forecast/mse,0.39544570446014404
0.25,test,forecast/rmse,0.6288447379601296
0.25,test,forecast/mae,0.3656042218208313
0.3,test,forecast/mse,0.38184183835983276
0.3,test,forecast/rmse,0.6179335226056544
0.3,test,forecast/mae,0.3665873408317566
0.35,test,forecast/mse,0.3863763213157654
0.35,test,forecast/rmse,0.6215917641955735
0.35,test,forecast/mae,0.3622187674045563
0.4,test,forecast/mse,0.3704712986946106
0.4,test,forecast/rmse,0.6086635348816377
0.4,test,forecast/mae,0.3787717819213867
0.45,test,forecast/mse,0.3735526502132416
0.45,test,forecast/rmse,0.611189537061329
0.45,test,forecast/mae,0.3897548317909241
0.5,test,forecast/mse,0.3828962445259094
0.5,test,forecast/rmse,0.6187861056341758
0.5,test,forecast/mae,0.4034481942653656
0.55,test,forecast/mse,0.39857354760169983
0.55,test,forecast/rmse,0.6313268152088107
0.55,test,forecast/mae,0.41942933201789856
0.6,test,forecast/mse,0.4207577109336853
0.6,test,forecast/rmse,0.6486583930958462
0.6,test,forecast/mae,0.437742680311203
0.65,test,forecast/mse,0.44951099157333374
0.65,test,forecast/rmse,0.6704558088146703
0.65,test,forecast/mae,0.4582374691963196
0.7,test,forecast/mse,0.4846974015235901
0.7,test,forecast/rmse,0.6962021269168819
0.7,test,forecast/mae,0.48050984740257263
0.75,test,forecast/mse,0.5258876085281372
0.75,test,forecast/rmse,0.7251810867143028
0.75,test,forecast/mae,0.5042878985404968
0.8,test,forecast/mse,0.5724199414253235
0.8,test,forecast/rmse,0.7565843914761416
0.8,test,forecast/mae,0.5292774438858032
0.85,test,forecast/mse,0.6235482692718506
0.85,test,forecast/rmse,0.7896507261263366
0.85,test,forecast/mae,0.5552061796188354
0.9,test,forecast/mse,0.6784805655479431
0.9,test,forecast/rmse,0.8236993174380705
0.9,test,forecast/mae,0.581748366355896
0.95,test,forecast/mse,0.7365522980690002
0.95,test,forecast/rmse,0.858226251095246
0.95,test,forecast/mae,0.6086140275001526
1.0,test,forecast/mse,0.7972696423530579
1.0,test,forecast/rmse,0.8928995701382423
1.0,test,forecast/mae,0.6356012225151062
1.05,test,forecast/mse,0.8602726459503174
1.05,test,forecast/rmse,0.927508838745118
1.05,test,forecast/mae,0.6625742316246033
1.1,test,forecast/mse,0.9253044724464417
1.1,test,forecast/rmse,0.9619274777479025
1.1,test,forecast/mae,0.6894449591636658
1.15,test,forecast/mse,0.9921751618385315
1.15,test,forecast/rmse,0.9960798973167421
1.15,test,forecast/mae,0.7161709070205688
1.2,test,forecast/mse,1.0607894659042358
1.2,test,forecast/rmse,1.0299463412742607
1.2,test,forecast/mae,0.7427340745925903
0.0,val,forecast/mse,0.42889222502708435
0.0,val,forecast/rmse,0.6548986372157789
0.0,val,forecast/mae,0.3480526804924011
0.05,val,forecast/mse,0.40390509366989136
0.05,val,forecast/rmse,0.6355352812156784
0.05,val,forecast/mae,0.33212780952453613
0.1,val,forecast/mse,0.38259074091911316
0.1,val,forecast/rmse,0.6185391991774759
0.1,val,forecast/mae,0.3185165822505951
0.15,val,forecast/mse,0.364888459444046
0.15,val,forecast/rmse,0.6040599800053352
0.15,val,forecast/mae,0.30753666162490845
0.2,val,forecast/mse,0.350748211145401
0.2,val,forecast/rmse,0.5922399945506898
0.2,val,forecast/mae,0.2994990050792694
0.25,val,forecast/mse,0.340223491191864
0.25,val,forecast/rmse,0.5832868001179728
0.25,val,forecast/mae,0.2946294844150543
0.3,val,forecast/mse,0.33343014121055603
0.3,val,forecast/rmse,0.5774341011843308
0.3,val,forecast/mae,0.292976975440979
0.35,val,forecast/mse,0.3305414915084839
0.35,val,forecast/rmse,0.5749273793345416
0.35,val,forecast/mae,0.29468774795532227
0.4,val,forecast/mse,0.3318047523498535
0.4,val,forecast/rmse,0.5760249580963082
0.4,val,forecast/mae,0.29983940720558167
0.45,val,forecast/mse,0.33748671412467957
0.45,val,forecast/rmse,0.5809360671577205
0.45,val,forecast/mae,0.30854809284210205
0.5,val,forecast/mse,0.3478904068470001
0.5,val,forecast/rmse,0.5898223519391242
0.5,val,forecast/mae,0.32091081142425537
0.55,val,forecast/mse,0.363281786441803
0.55,val,forecast/rmse,0.6027286175732848
0.55,val,forecast/mae,0.3365086317062378
0.6,val,forecast/mse,0.3839032053947449
0.6,val,forecast/rmse,0.6195992296595799
0.6,val,forecast/mae,0.35495978593826294
0.65,val,forecast/mse,0.4099986255168915
0.65,val,forecast/rmse,0.6403113504513968
0.65,val,forecast/mae,0.3759401738643646
0.7,val,forecast/mse,0.4415554702281952
0.7,val,forecast/rmse,0.6644964034727315
0.7,val,forecast/mae,0.39904850721359253
0.75,val,forecast/mse,0.4784402847290039
0.75,val,forecast/rmse,0.6916937795939789
0.75,val,forecast/mae,0.423990935087204
0.8,val,forecast/mse,0.5204913020133972
0.8,val,forecast/rmse,0.7214508313207472
0.8,val,forecast/mae,0.4504563510417938
0.85,val,forecast/mse,0.5675468444824219
0.85,val,forecast/rmse,0.7533570497993776
0.85,val,forecast/mae,0.4781842827796936
0.9,val,forecast/mse,0.6193908452987671
0.9,val,forecast/rmse,0.7870138787205516
0.9,val,forecast/mae,0.506942093372345
0.95,val,forecast/mse,0.6757970452308655
0.95,val,forecast/rmse,0.8220687594300524
0.95,val,forecast/mae,0.5366013050079346
1.0,val,forecast/mse,0.7364935874938965
