merge_scale,metric,value,selected
0.0,forecast/mse,0.4071790277957916,0
0.05,forecast/mse,0.3851703107357025,0
0.1,forecast/mse,0.3673241436481476,0
0.15,forecast/mse,0.35360094904899597,0
0.2,forecast/mse,0.3438119888305664,0
0.25,forecast/mse,0.33768874406814575,0
0.3,forecast/mse,0.3350048065185547,1
0.35,forecast/mse,0.3356629014015198,0
0.4,forecast/mse,0.33969950675964355,0
0.45,forecast/mse,0.3472508192062378,0
0.5,forecast/mse,0.358506977558136,0
0.55,forecast/mse,0.37362584471702576,0
0.6,forecast/mse,0.39269405603408813,0
0.65,forecast/mse,0.41572266817092896,0
0.7,forecast/mse,0.4426290690898895,0
0.75,forecast/mse,0.47322747111320496,0
0.8,forecast/mse,0.5072543025016785,0
0.85,forecast/mse,0.5444117188453674,0
0.9,forecast/mse,0.5844462513923645,0
0.95,forecast/mse,0.6271517276763916,0
1.0,forecast/mse,0.6723045706748962,0
1.05,forecast/mse,0.7197397351264954,0
1.1,forecast/mse,0.7693211436271667,0
1.15,forecast/mse,0.8209215998649597,0
1.2,forecast/mse,0.8744251132011414,0
