merge_scale,split,metric,value
0.0,test,forecast/mse,1.7911819219589233
0.0,test,forecast/rmse,1.3383504481110033
0.0,test,forecast/mae,1.0593485832214355
0.05,test,forecast/mse,1.6897530555725098
0.05,test,forecast/rmse,1.2999050179041967
0.05,test,forecast/mae,1.028236985206604
0.1,test,forecast/mse,1.5890295505523682
0.1,test,forecast/rmse,1.2605671543207717
0.1,test,forecast/mae,0.9964166879653931
0.15,test,forecast/mse,1.491101861000061
0.15,test,forecast/rmse,1.221106818013912
0.15,test,forecast/mae,0.9644274115562439
0.2,test,forecast/mse,1.3979333639144897
0.2,test,forecast/rmse,1.1823423209521384
0.2,test,forecast/mae,0.9333396553993225
0.25,test,forecast/mse,1.3112409114837646
0.25,test,forecast/rmse,1.1450942806091404
0.25,test,forecast/mae,0.9036604762077332
0.3,test,forecast/mse,1.2332532405853271
0.3,test,forecast/rmse,1.1105193562407307
0.3,test,forecast/mae,0.8755629658699036
0.35,test,forecast/mse,1.1662482023239136
0.35,test,forecast/rmse,1.0799297210114709
0.35,test,forecast/mae,0.8495663404464722
0.4,test,forecast/mse,1.112191081047058
0.4,test,forecast/rmse,1.0546047036909414
0.4,test,forecast/mae,0.8270608186721802
0.45,test,forecast/mse,1.072708010673523
0.45,test,forecast/rmse,1.0357161824908998
0.45,test,forecast/mae,0.8097595572471619
0.5,test,forecast/mse,1.048828125
0.5,test,forecast/rmse,1.0241231005108713
0.5,test,forecast/mae,0.7995193004608154
0.55,test,forecast/mse,1.0413048267364502
0.55,test,forecast/rmse,1.0204434461235223
0.55,test,forecast/mae,0.797644853591919
0.6,test,forecast/mse,1.050611138343811
0.6,test,forecast/rmse,1.0249932381941897
0.6,test,forecast/mae,0.8044965863227844
0.65,test,forecast/mse,1.0765714645385742
0.65,test,forecast/rmse,1.0375796184093895
0.65,test,forecast/mae,0.8197692036628723
0.7,test,forecast/mse,1.1185859441757202
0.7,test,forecast/rmse,1.0576322348414502
0.7,test,forecast/mae,0.8429537415504456
0.75,test,forecast/mse,1.175612449645996
0.75,test,forecast/rmse,1.0842566345870317
0.75,test,forecast/mae,0.8735775947570801
0.8,test,forecast/mse,1.2461910247802734
0.8,test,forecast/rmse,1.1163292636047275
0.8,test,forecast/mae,0.9102317094802856
0.85,test,forecast/mse,1.3285861015319824
0.85,test,forecast/rmse,1.1526430937336944
0.85,test,forecast/mae,0.950985848903656
0.9,test,forecast/mse,1.4205340147018433
0.9,test,forecast/rmse,1.1918615753105908
0.9,test,forecast/mae,0.9936772584915161
0.95,test,forecast/mse,1.519161581993103
0.95,test,forecast/rmse,1.2325427302909635
0.95,test,forecast/mae,1.0363414287567139
1.0,test,forecast/mse,1.6212892532348633
1.0,test,forecast/rmse,1.2732985719126773
1.0,test,forecast/mae,1.0775343179702759
1.05,test,forecast/mse,1.723878026008606
1.05,test,forecast/rmse,1.3129653559818728
1.05,test,forecast/mae,1.1163153648376465
1.1,test,forecast/mse,1.824241280555725
1.1,test,forecast/rmse,1.3506447647533844
