merge_scale,metric,value,selected
0.0,forecast/mse,0.6953319311141968,0
0.05,forecast/mse,0.6739227771759033,0
0.1,forecast/mse,0.6548140048980713,0
0.15,forecast/mse,0.6386001110076904,0
0.2,forecast/mse,0.6258954405784607,0
0.25,forecast/mse,0.6172654628753662,0
0.3,forecast/mse,0.6131719350814819,1
0.35,forecast/mse,0.6139152646064758,0
0.4,forecast/mse,0.6197566986083984,0
0.45,forecast/mse,0.6309057474136353,0
0.5,forecast/mse,0.6475777626037598,0
0.55,forecast/mse,0.6700567603111267,0
0.6,forecast/mse,0.6988452672958374,0
0.65,forecast/mse,0.7347410321235657,0
0.7,forecast/mse,0.7785443067550659,0
0.75,forecast/mse,0.8309076428413391,0
0.8,forecast/mse,0.8922423720359802,0
0.85,forecast/mse,0.9626209735870361,0
0.9,forecast/mse,1.0417314767837524,0
0.95,forecast/mse,1.1288992166519165,0
1.0,forecast/mse,1.2229299545288086,0
1.05,forecast/mse,1.322977900505066,0
1.1,forecast/mse,1.4277194738388062,0
1.15,forecast/mse,1.5357637405395508,0
1.2,forecast/mse,1.6464693546295166,0
