merge_scale,split,metric,value
0.0,test,forecast/mse,0.9838650226593018
0.0,test,forecast/rmse,0.9918997039314518
0.0,test,forecast/mae,0.7952790856361389
0.05,test,forecast/mse,0.7605915665626526
0.05,test,forecast/rmse,0.872119009403334
0.05,test,forecast/mae,0.690971851348877
0.1,test,forecast/mse,0.5489727854728699
0.1,test,forecast/rmse,0.7409269771528567
0.1,test,forecast/mae,0.577714204788208
0.15,test,forecast/mse,0.37304314970970154
0.15,test,forecast/rmse,0.6107725842813359
0.15,test,forecast/mae,0.4697115421295166
0.2,test,forecast/mse,0.2573571503162384
0.2,test,forecast/rmse,0.5073038047523776
0.2,test,forecast/mae,0.39257827401161194
0.25,test,forecast/mse,0.2189779132604599
0.25,test,forecast/rmse,0.46795075943998626
0.25,test,forecast/mae,0.36472123861312866
0.3,test,forecast/mse,0.2540336549282074
0.3,test,forecast/rmse,0.5040175145054062
0.3,test,forecast/mae,0.3868962526321411
0.35,test,forecast/mse,0.3381030857563019
0.35,test,forecast/rmse,0.5814663238368167
0.35,test,forecast/mae,0.4430650770664215
0.4,test,forecast/mse,0.44084781408309937
0.4,test,forecast/rmse,0.663963714432573
0.4,test,forecast/mae,0.5113738179206848
0.45,test,forecast/mse,0.5382075309753418
0.45,test,forecast/rmse,0.7336262883616848
0.45,test,forecast/mae,0.5739387273788452
0.5,test,forecast/mse,0.6156784296035767
0.5,test,forecast/rmse,0.7846517887595597
0.5,test,forecast/mae,0.6224422454833984
0.55,test,forecast/mse,0.6678560376167297
0.55,test,forecast/rmse,0.817224594353798
0.55,test,forecast/mae,0.6550430655479431
0.6,test,forecast/mse,0.6952263712882996
0.6,test,forecast/rmse,0.8338023574494735
0.6,test,forecast/mae,0.6721830368041992
0.65,test,forecast/mse,0.6985294222831726
0.65,test,forecast/rmse,0.8357807261974713
0.65,test,forecast/mae,0.6742673516273499
0.7,test,forecast/mse,0.6801566481590271
0.7,test,forecast/rmse,0.8247161015519383
0.7,test,forecast/mae,0.6633133888244629
0.75,test,forecast/mse,0.6446776986122131
0.75,test,forecast/rmse,0.802918239058133
0.75,test,forecast/mae,0.643450140953064
0.8,test,forecast/mse,0.598960280418396
0.8,test,forecast/rmse,0.773925242138022
0.8,test,forecast/mae,0.6197307705879211
0.85,test,forecast/mse,0.5510008931159973
0.85,test,forecast/rmse,0.7422943439876107
0.85,test,forecast/mae,0.5957902073860168
0.9,test,forecast/mse,0.5089569091796875
0.9,test,forecast/rmse,0.7134121593999415
0.9,test,forecast/mae,0.5741344690322876
0.95,test,forecast/mse,0.47881680727005005
0.95,test,forecast/rmse,0.691965900366521
0.95,test,forecast/mae,0.5573286414146423
1.0,test,forecast/mse,0.4637939929962158
1.0,test,forecast/rmse,0.6810242235017898
1.0,test,forecast/mae,0.5477368831634521
1.05,test,forecast/mse,0.4653075635433197
1.05,test,forecast/rmse,0.6821345641025088
1.05,test,forecast/mae,0.5469502210617065
1.1,test,forecast/mse,0.4840873181819916
1.1,test,forecast/rmse,0.695763837937839
1.1,test,forecast/mae,0.5558468699455261
1.15,test,forecast/mse,0.5201319456100464
1.15,test,forecast/rmse,0.7212017371096983
1.15,test,forecast/mae,0.5741388201713562
1.2,test,forecast/mse,0.5725537538528442
1.2,test,forecast/rmse,0.7566728182331147
1.2,test,forecast/mae,0.6004112958908081
0.0,val,forecast/mse,0.5852277874946594
0.0,val,forecast/rmse,0.7650018218897648
0.0,val,forecast/mae,0.46582216024398804
0.05,val,forecast/mse,0.505294919013977
0.05,val,forecast/rmse,0.7108409941850407
0.05,val,forecast/mae,0.4304391145706177
0.1,val,forecast/mse,0.4225907623767853
0.1,val,forecast/rmse,0.6500698134637427
0.1,val,forecast/mae,0.3911351263523102
0.15,val,forecast/mse,0.3438854515552521
0.15,val,forecast/rmse,0.586417472075357
0.15,val,forecast/mae,0.35162171721458435
0.2,val,forecast/mse,0.2759677767753601
0.2,val,forecast/rmse,0.525326352637444
0.2,val,forecast/mae,0.31728944182395935
0.25,val,forecast/mse,0.22557784616947174
0.25,val,forecast/rmse,0.4749503617952846
0.25,val,forecast/mae,0.29156729578971863
0.3,val,forecast/mse,0.1983238011598587
0.3,val,forecast/rmse,0.44533560508885733
0.3,val,forecast/mae,0.2833428382873535
0.35,val,forecast/mse,0.19475452601909637
0.35,val,forecast/rmse,0.441310011238241
0.35,val,forecast/mae,0.2969425320625305
0.4,val,forecast/mse,0.20731264352798462
0.4,val,forecast/rmse,0.45531598206957835
0.4,val,forecast/mae,0.3173859715461731
0.45,val,forecast/mse,0.22619295120239258
0.45,val,forecast/rmse,0.47559746761562194
0.45,val,forecast/mae,0.33743855357170105
0.5,val,forecast/mse,0.2445339858531952
0.5,val,forecast/rmse,0.49450377739021895
0.5,val,forecast/mae,0.35454800724983215
0.55,val,forecast/mse,0.2598645091056824
0.55,val,forecast/rmse,0.5097690742931376
0.55,val,forecast/mae,0.3687381446361542
0.6,val,forecast/mse,0.27201223373413086
0.6,val,forecast/rmse,0.5215479208415377
0.6,val,forecast/mae,0.3807123303413391
0.65,val,forecast/mse,0.2805224657058716
0.65,val,forecast/rmse,0.5296437158183523
0.65,val,forecast/mae,0.3905220031738281
0.7,val,forecast/mse,0.286233514547348
0.7,val,forecast/rmse,0.5350079574617073
0.7,val,forecast/mae,0.39875349402427673
0.75,val,forecast/mse,0.29111868143081665
0.75,val,forecast/rmse,0.5395541506010464
0.75,val,forecast/mae,0.40609195828437805
0.8,val,forecast/mse,0.2975253164768219
0.8,val,forecast/rmse,0.5454588128143333
0.8,val,forecast/mae,0.4137924313545227
0.85,val,forecast/mse,0.30760395526885986
0.85,val,forecast/rmse,0.554620550709095
0.85,val,forecast/mae,0.42334213852882385
0.9,val,forecast/mse,0.32279640436172485
0.9,val,forecast/rmse,0.5681517441333124
0.9,val,forecast/mae,0.4356890618801117
0.95,val,forecast/mse,0.3440716862678528
0.95,val,forecast/rmse,0.5865762407972666
0.95,val,forecast/mae,0.45169833302497864
1.0,val,forecast/mse,0.37226587533950806
1.0,val,forecast/rmse,0.6101359482439205
1.0,val,forecast/mae,0.4721645712852478
1.05,val,forecast/mse,0.4081203043460846
1.05,val,forecast/rmse,0.6388429418457127
1.05,val,forecast/mae,0.4972855746746063
1.1,val,forecast/mse,0.4521416127681732
1.1,val,forecast/rmse,0.6724147624555645
1.1,val,forecast/mae,0.5266990065574646
1.15,val,forecast/mse,0.5047126412391663
1.15,val,forecast/rmse,0.7104313064886473
1.15,val,forecast/mae,0.5598651170730591
1.2,val,forecast/mse,0.5661728978157043
1.2,val,forecast/rmse,0.7524446144505949
1.2,val,forecast/mae,0.5960136651992798
