merge_scale,metric,value,selected
0.0,forecast/mse,0.6400031447410583,0
0.05,forecast/mse,0.5964899659156799,0
0.1,forecast/mse,0.5499093532562256,0
0.15,forecast/mse,0.4999695420265198,0
0.2,forecast/mse,0.44657933712005615,0
0.25,forecast/mse,0.3903748393058777,0
0.3,forecast/mse,0.33437690138816833,0
0.35,forecast/mse,0.28455933928489685,0
0.4,forecast/mse,0.24745741486549377,0
0.45,forecast/mse,0.22727848589420319,0
0.5,forecast/mse,0.22419953346252441,1
0.55,forecast/mse,0.23544247448444366,0
0.6,forecast/mse,0.2568850517272949,0
0.65,forecast/mse,0.28481748700141907,0
0.7,forecast/mse,0.3166680932044983,0
0.75,forecast/mse,0.35099753737449646,0
0.8,forecast/mse,0.38716667890548706,0
0.85,forecast/mse,0.42505037784576416,0
0.9,forecast/mse,0.4651072323322296,0
0.95,forecast/mse,0.5083706974983215,0
1.0,forecast/mse,0.5565740466117859,0
1.05,forecast/mse,0.6121521592140198,0
1.1,forecast/mse,0.6783198714256287,0
1.15,forecast/mse,0.7589578628540039,0
1.2,forecast/mse,0.8585235476493835,0
