merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7574321627616882,3365,124
0.0,test,test,forecast/rmse,0.87030578692876,3365,124
0.0,test,test,forecast/mae,0.6144509315490723,3365,124
0.0,val_0,val,forecast/mse,0.2377217561006546,89,124
0.0,val_0,val,forecast/rmse,0.4875671811152332,89,124
0.0,val_0,val,forecast/mae,0.3791499733924866,89,124
0.0,val_1,val,forecast/mse,0.7487915754318237,89,124
0.0,val_1,val,forecast/rmse,0.8653274382751444,89,124
0.0,val_1,val,forecast/mae,0.6508042812347412,89,124
0.0,val_2,val,forecast/mse,0.6270244717597961,89,124
0.0,val_2,val,forecast/rmse,0.7918487682378473,89,124
0.0,val_2,val,forecast/mae,0.5572091341018677,89,124
0.0,val_3,val,forecast/mse,0.29308679699897766,89,124
0.0,val_3,val,forecast/rmse,0.5413749135294114,89,124
0.0,val_3,val,forecast/mae,0.40634235739707947,89,124
0.0,val_4,val,forecast/mse,0.3548731505870819,89,124
0.0,val_4,val,forecast/rmse,0.5957123052171089,89,124
0.0,val_4,val,forecast/mae,0.4796188771724701,89,124
0.0,val_base,val,forecast/mse,0.3304899334907532,926,124
0.0,val_base,val,forecast/rmse,0.5748825388640302,926,124
0.0,val_base,val,forecast/mae,0.3963450789451599,926,124
0.05,test,test,forecast/mse,0.6258787512779236,3365,124
0.05,test,test,forecast/rmse,0.7911249909324845,3365,124
0.05,test,test,forecast/mae,0.5544884204864502,3365,124
0.05,val_0,val,forecast/mse,0.22112035751342773,89,124
0.05,val_0,val,forecast/rmse,0.47023436445396855,89,124
0.05,val_0,val,forecast/mae,0.36482107639312744,89,124
0.05,val_1,val,forecast/mse,0.649707019329071,89,124
0.05,val_1,val,forecast/rmse,0.8060440554517296,89,124
0.05,val_1,val,forecast/mae,0.5972979664802551,89,124
0.05,val_2,val,forecast/mse,0.5872303247451782,89,124
0.05,val_2,val,forecast/rmse,0.7663095489064313,89,124
0.05,val_2,val,forecast/mae,0.5386634469032288,89,124
0.05,val_3,val,forecast/mse,0.26532045006752014,89,124
0.05,val_3,val,forecast/rmse,0.5150926616323709,89,124
0.05,val_3,val,forecast/mae,0.3817238211631775,89,124
0.05,val_4,val,forecast/mse,0.307451069355011,89,124
0.05,val_4,val,forecast/rmse,0.5544827042884304,89,124
0.05,val_4,val,forecast/mae,0.43853455781936646,89,124
0.05,val_base,val,forecast/mse,0.3205203115940094,926,124
0.05,val_base,val,forecast/rmse,0.5661451329774101,926,124
0.05,val_base,val,forecast/mae,0.39292481541633606,926,124
0.1,test,test,forecast/mse,0.5319835543632507,3365,124
0.1,test,test,forecast/rmse,0.7293720274066251,3365,124
0.1,test,test,forecast/mae,0.5101308822631836,3365,124
0.1,val_0,val,forecast/mse,0.2096230387687683,89,124
0.1,val_0,val,forecast/rmse,0.4578460863311691,89,124
0.1,val_0,val,forecast/mae,0.3537434935569763,89,124
0.1,val_1,val,forecast/mse,0.5861906409263611,89,124
0.1,val_1,val,forecast/rmse,0.765630877725266,89,124
0.1,val_1,val,forecast/mae,0.5635955333709717,89,124
0.1,val_2,val,forecast/mse,0.5549590587615967,89,124
0.1,val_2,val,forecast/rmse,0.7449557428207374,89,124
0.1,val_2,val,forecast/mae,0.5249243974685669,89,124
0.1,val_3,val,forecast/mse,0.24961912631988525,89,124
0.1,val_3,val,forecast/rmse,0.499618981144517,89,124
0.1,val_3,val,forecast/mae,0.3671441972255707,89,124
0.1,val_4,val,forecast/mse,0.28140679001808167,89,124
