model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.40459880232810974,1.0,926,8
ft_0,val_base,val,forecast/mae,0.41336318850517273,1.0216619182425446,926,8
ft_1,val_base,val,forecast/mae,0.47651538252830505,1.177747882065836,926,8
ft_2,val_base,val,forecast/mae,0.39880022406578064,0.9856683256871662,926,8
ft_3,val_base,val,forecast/mae,0.4440349340438843,1.097469719358669,926,8
ft_4,val_base,val,forecast/mae,0.48089316487312317,1.1885679396627142,926,8
merged,val_base,val,forecast/mae,0.41545066237449646,1.0268212856388694,926,8
base,val_base,val,forecast/mse,0.3255240023136139,1.0,926,8
ft_0,val_base,val,forecast/mse,0.31978747248649597,0.9823775519275187,926,8
ft_1,val_base,val,forecast/mse,0.3982534408569336,1.223422660161481,926,8
ft_2,val_base,val,forecast/mse,0.3153131902217865,0.9686326906180326,926,8
ft_3,val_base,val,forecast/mse,0.3629392087459564,1.1149383952225318,926,8
ft_4,val_base,val,forecast/mse,0.401388943195343,1.2330548295748707,926,8
merged,val_base,val,forecast/mse,0.3215744197368622,0.9878670004402729,926,8
base,val_base,val,forecast/rmse,0.5705471078829634,1.0,926,8
ft_0,val_base,val,forecast/rmse,0.5654975441913925,0.9911496112734539,926,8
ft_1,val_base,val,forecast/rmse,0.6310732452393569,1.1060843820258384,926,8
ft_2,val_base,val,forecast/rmse,0.5615275507237258,0.9841913892216456,926,8
ft_3,val_base,val,forecast/rmse,0.6024443615355334,1.0559064329866221,926,8
ft_4,val_base,val,forecast/rmse,0.6335526364836177,1.1104300201160229,926,8
merged,val_base,val,forecast/rmse,0.5670753210437413,0.993914986525645,926,8
base,val_0,val,forecast/mae,0.3800354599952698,1.0,89,8
ft_0,val_0,val,forecast/mae,0.3369283378124237,0.8865707895168977,89,8
ft_1,val_0,val,forecast/mae,0.3390851616859436,0.8922461122184865,89,8
ft_2,val_0,val,forecast/mae,0.3711242377758026,0.976551603317285,89,8
ft_3,val_0,val,forecast/mae,0.3415715992450714,0.8987887584209191,89,8
ft_4,val_0,val,forecast/mae,0.38827332854270935,1.0216765786738482,89,8
merged,val_0,val,forecast/mae,0.33116647601127625,0.8714094100992529,89,8
base,val_0,val,forecast/mse,0.24623717367649078,1.0,89,8
ft_0,val_0,val,forecast/mse,0.20316703617572784,0.8250867776879661,89,8
ft_1,val_0,val,forecast/mse,0.19495515525341034,0.7917373008412801,89,8
ft_2,val_0,val,forecast/mse,0.24049830436706543,0.9766937330227599,89,8
ft_3,val_0,val,forecast/mse,0.20021016895771027,0.8130785696100812,89,8
ft_4,val_0,val,forecast/mse,0.26626408100128174,1.0813317787309504,89,8
merged,val_0,val,forecast/mse,0.19185441732406616,0.77914481578694,89,8
