merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.6803375482559204,1470,124
0.0,test,test,forecast/rmse,0.8248257684238051,1470,124
0.0,test,test,forecast/mae,0.6602581739425659,1470,124
0.0,val_0,val,forecast/mse,0.19084247946739197,104,124
0.0,val_0,val,forecast/rmse,0.43685521568065544,104,124
0.0,val_0,val,forecast/mae,0.37802618741989136,104,124
0.0,val_1,val,forecast/mse,0.23628723621368408,104,124
0.0,val_1,val,forecast/rmse,0.4860938553547906,104,124
0.0,val_1,val,forecast/mae,0.4081617593765259,104,124
0.0,val_2,val,forecast/mse,0.19143755733966827,104,124
0.0,val_2,val,forecast/rmse,0.43753577835380303,104,124
0.0,val_2,val,forecast/mae,0.3546541631221771,104,124
0.0,val_3,val,forecast/mse,0.695797324180603,104,124
0.0,val_3,val,forecast/rmse,0.8341446662183982,104,124
0.0,val_3,val,forecast/mae,0.7117714881896973,104,124
0.0,val_4,val,forecast/mse,1.407584547996521,104,124
0.0,val_4,val,forecast/rmse,1.1864166839675347,104,124
0.0,val_4,val,forecast/mae,1.0760546922683716,104,124
0.0,val_base,val,forecast/mse,0.13959147036075592,711,124
0.0,val_base,val,forecast/rmse,0.3736194191430043,711,124
0.0,val_base,val,forecast/mae,0.3024623394012451,711,124
0.05,test,test,forecast/mse,0.5771247148513794,1470,124
0.05,test,test,forecast/rmse,0.7596872480510511,1470,124
0.05,test,test,forecast/mae,0.6119004487991333,1470,124
0.05,val_0,val,forecast/mse,0.14210090041160583,104,124
0.05,val_0,val,forecast/rmse,0.3769627307992208,104,124
0.05,val_0,val,forecast/mae,0.32198435068130493,104,124
0.05,val_1,val,forecast/mse,0.1716764271259308,104,124
0.05,val_1,val,forecast/rmse,0.41433854168533585,104,124
0.05,val_1,val,forecast/mae,0.3448948860168457,104,124
0.05,val_2,val,forecast/mse,0.15719357132911682,104,124
0.05,val_2,val,forecast/rmse,0.3964764448603685,104,124
0.05,val_2,val,forecast/mae,0.3181832730770111,104,124
0.05,val_3,val,forecast/mse,0.5307862758636475,104,124
0.05,val_3,val,forecast/rmse,0.7285508052728015,104,124
0.05,val_3,val,forecast/mae,0.6211709380149841,104,124
0.05,val_4,val,forecast/mse,1.1673561334609985,104,124
0.05,val_4,val,forecast/rmse,1.0804425637029478,104,124
0.05,val_4,val,forecast/mae,0.9876094460487366,104,124
0.05,val_base,val,forecast/mse,0.12968966364860535,711,124
0.05,val_base,val,forecast/rmse,0.3601245113132475,711,124
0.05,val_base,val,forecast/mae,0.29121914505958557,711,124
0.1,test,test,forecast/mse,0.48956283926963806,1470,124
0.1,test,test,forecast/rmse,0.6996876726580497,1470,124
0.1,test,test,forecast/mae,0.56894850730896,1470,124
0.1,val_0,val,forecast/mse,0.1005486249923706,104,124
0.1,val_0,val,forecast/rmse,0.3170940317829565,104,124
0.1,val_0,val,forecast/mae,0.2647242844104767,104,124
0.1,val_1,val,forecast/mse,0.11722678691148758,104,124
0.1,val_1,val,forecast/rmse,0.34238397583924335,104,124
0.1,val_1,val,forecast/mae,0.2797692120075226,104,124
0.1,val_2,val,forecast/mse,0.13854403793811798,104,124
0.1,val_2,val,forecast/rmse,0.37221504260053484,104,124
0.1,val_2,val,forecast/mae,0.29325374960899353,104,124
0.1,val_3,val,forecast/mse,0.39182576537132263,104,124
0.1,val_3,val,forecast/rmse,0.6259598752087251,104,124
0.1,val_3,val,forecast/mae,0.5306566953659058,104,124
0.1,val_4,val,forecast/mse,0.9564487934112549,104,124
0.1,val_4,val,forecast/rmse,0.9779820005558665,104,124
0.1,val_4,val,forecast/mae,0.9013417363166809,104,124
0.1,val_base,val,forecast/mse,0.12202177941799164,711,124
0.1,val_base,val,forecast/rmse,0.34931615968631,711,124
0.1,val_base,val,forecast/mae,0.28328055143356323,711,124
0.15,test,test,forecast/mse,0.42264047265052795,1470,124
0.15,test,test,forecast/rmse,0.6501080469049186,1470,124
0.15,test,test,forecast/mae,0.5367444157600403,1470,124
0.15,val_0,val,forecast/mse,0.06747525930404663,104,124
0.15,val_0,val,forecast/rmse,0.25976000328004045,104,124
0.15,val_0,val,forecast/mae,0.20889277756214142,104,124
0.15,val_1,val,forecast/mse,0.07567361742258072,104,124
0.15,val_1,val,forecast/rmse,0.27508838111156336,104,124
0.15,val_1,val,forecast/mae,0.22002564370632172,104,124
0.15,val_2,val,forecast/mse,0.1371811181306839,104,124
0.15,val_2,val,forecast/rmse,0.37037969454423914,104,124
0.15,val_2,val,forecast/mae,0.2839231789112091,104,124
0.15,val_3,val,forecast/mse,0.28157496452331543,104,124
0.15,val_3,val,forecast/rmse,0.5306363769318077,104,124
0.15,val_3,val,forecast/mae,0.44393667578697205,104,124
0.15,val_4,val,forecast/mse,0.779750406742096,104,124
0.15,val_4,val,forecast/rmse,0.8830347709700315,104,124
0.15,val_4,val,forecast/mae,0.8206042647361755,104,124
0.15,val_base,val,forecast/mse,0.11644525825977325,711,124
0.15,val_base,val,forecast/rmse,0.34124076289296573,711,124
0.15,val_base,val,forecast/mae,0.2783181667327881,711,124
0.2,test,test,forecast/mse,0.37874141335487366,1470,124
0.2,test,test,forecast/rmse,0.6154197050427243,1470,124
0.2,test,test,forecast/mae,0.519442081451416,1470,124
0.2,val_0,val,forecast/mse,0.044052351266145706,104,124
0.2,val_0,val,forecast/rmse,0.20988651997245011,104,124
0.2,val_0,val,forecast/mae,0.1622510552406311,104,124
0.2,val_1,val,forecast/mse,0.04920819029211998,104,124
0.2,val_1,val,forecast/rmse,0.22182919170415777,104,124
0.2,val_1,val,forecast/mae,0.17846791446208954,104,124
0.2,val_2,val,forecast/mse,0.15353357791900635,104,124
0.2,val_2,val,forecast/rmse,0.3918336099915452,104,124
0.2,val_2,val,forecast/mae,0.2966594398021698,104,124
0.2,val_3,val,forecast/mse,0.200205996632576,104,124
0.2,val_3,val,forecast/rmse,0.4474438474630934,104,124
0.2,val_3,val,forecast/mae,0.369799941778183,104,124
0.2,val_4,val,forecast/mse,0.6372672915458679,104,124
0.2,val_4,val,forecast/rmse,0.7982902301455705,104,124
0.2,val_4,val,forecast/mae,0.7473968267440796,104,124
0.2,val_base,val,forecast/mse,0.11277356743812561,711,124
0.2,val_base,val,forecast/rmse,0.3358177592655362,711,124
0.2,val_base,val,forecast/mae,0.27593573927879333,711,124
0.25,test,test,forecast/mse,0.3580668270587921,1470,124
0.25,test,test,forecast/rmse,0.5983868540156878,1470,124
0.25,test,test,forecast/mae,0.5141961574554443,1470,124
0.25,val_0,val,forecast/mse,0.0314708948135376,104,124
0.25,val_0,val,forecast/rmse,0.1774003799701049,104,124
0.25,val_0,val,forecast/mae,0.13554875552654266,104,124
0.25,val_1,val,forecast/mse,0.03938345983624458,104,124
0.25,val_1,val,forecast/rmse,0.19845266396862649,104,124
