model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3074491024017334,1.0,711,8
ft_0,val_base,val,forecast/mae,0.2428344190120697,0.7898361618723028,711,8
ft_1,val_base,val,forecast/mae,0.38689619302749634,1.2584072941021376,711,8
ft_2,val_base,val,forecast/mae,0.3072807788848877,0.9994525158293494,711,8
ft_3,val_base,val,forecast/mae,0.3660493791103363,1.1906015540485524,711,8
ft_4,val_base,val,forecast/mae,0.2838689982891083,0.9233040398283102,711,8
merged,val_base,val,forecast/mae,0.2907129228115082,0.9455643894892345,711,8
base,val_base,val,forecast/mse,0.1399995982646942,1.0,711,8
ft_0,val_base,val,forecast/mse,0.08328524231910706,0.5948962950710862,711,8
ft_1,val_base,val,forecast/mse,0.19607339799404144,1.4005282902550171,711,8
ft_2,val_base,val,forecast/mse,0.14067581295967102,1.0048301188243292,711,8
ft_3,val_base,val,forecast/mse,0.18225884437561035,1.30185262411266,711,8
ft_4,val_base,val,forecast/mse,0.14422576129436493,1.0301869654060036,711,8
merged,val_base,val,forecast/mse,0.11441545188426971,0.8172555728906228,711,8
base,val_base,val,forecast/rmse,0.3741652018356253,1.0,711,8
ft_0,val_base,val,forecast/rmse,0.2885918264939377,0.7712952061766534,711,8
ft_1,val_base,val,forecast/rmse,0.44280175924903625,1.183439178942043,711,8
ft_2,val_base,val,forecast/rmse,0.3750677444938061,1.002412150177924,711,8
ft_3,val_base,val,forecast/rmse,0.426917842653139,1.1409875652752135,711,8
ft_4,val_base,val,forecast/rmse,0.37977066934449394,1.014981263573867,711,8
merged,val_base,val,forecast/rmse,0.3382535319612638,0.9040218873957769,711,8
base,val_0,val,forecast/mae,0.3954291343688965,1.0,104,8
ft_0,val_0,val,forecast/mae,0.11690807342529297,0.2956486087244883,104,8
ft_1,val_0,val,forecast/mae,0.12823988497257233,0.3243056058002472,104,8
ft_2,val_0,val,forecast/mae,0.32984796166419983,0.8341518947273221,104,8
ft_3,val_0,val,forecast/mae,0.30941176414489746,0.7824708329564981,104,8
ft_4,val_0,val,forecast/mae,0.31398120522499084,0.7940264839769678,104,8
merged,val_0,val,forecast/mae,0.13187919557094574,0.3335090515812004,104,8
base,val_0,val,forecast/mse,0.19702599942684174,1.0,104,8
ft_0,val_0,val,forecast/mse,0.02841869369149208,0.14423829227697588,104,8
ft_1,val_0,val,forecast/mse,0.026494141668081284,0.13447028181637974,104,8
ft_2,val_0,val,forecast/mse,0.14732985198497772,0.7477685808653044,104,8
ft_3,val_0,val,forecast/mse,0.12961815297603607,0.6578733433815923,104,8
ft_4,val_0,val,forecast/mse,0.1373257339000702,0.6969929567648812,104,8
merged,val_0,val,forecast/mse,0.029090022668242455,0.14764560389424114,104,8
base,val_0,val,forecast/rmse,0.4438761081955659,1.0,104,8
ft_0,val_0,val,forecast/rmse,0.16857844966511015,0.3797871670777936,104,8
ft_1,val_0,val,forecast/rmse,0.16277021124297064,0.3667018977539928,104,8
ft_2,val_0,val,forecast/rmse,0.38383570962714986,0.8647361336646598,104,8
ft_3,val_0,val,forecast/rmse,0.3600252115839057,0.8110939177318447,104,8
ft_4,val_0,val,forecast/rmse,0.37057486949342666,0.8348610403922806,104,8
merged,val_0,val,forecast/rmse,0.17055797450791463,0.38424680075992973,104,8
base,val_1,val,forecast/mae,0.42618903517723083,1.0,104,8
ft_0,val_1,val,forecast/mae,0.25806841254234314,0.6055256969129328,104,8
ft_1,val_1,val,forecast/mae,0.1443270891904831,0.3386457118270643,104,8
ft_2,val_1,val,forecast/mae,0.35829320549964905,0.840690810711854,104,8
ft_3,val_1,val,forecast/mae,0.32113370299339294,0.753500621760129,104,8
ft_4,val_1,val,forecast/mae,0.3578040897846222,0.8395431610196852,104,8
merged,val_1,val,forecast/mae,0.19233323633670807,0.45128621447693096,104,8
base,val_1,val,forecast/mse,0.276702344417572,1.0,104,8
ft_0,val_1,val,forecast/mse,0.11798001825809479,0.4263788169429129,104,8
ft_1,val_1,val,forecast/mse,0.02852528542280197,0.10309014722244063,104,8
ft_2,val_1,val,forecast/mse,0.20235957205295563,0.7313258312968047,104,8
ft_3,val_1,val,forecast/mse,0.15941551327705383,0.5761263556064403,104,8
ft_4,val_1,val,forecast/mse,0.16834206879138947,0.6083868539160049,104,8
merged,val_1,val,forecast/mse,0.05140598490834236,0.18578080723004461,104,8
base,val_1,val,forecast/rmse,0.5260250416259401,1.0,104,8
ft_0,val_1,val,forecast/rmse,0.34348219496517546,0.6529768885212653,104,8
ft_1,val_1,val,forecast/rmse,0.1688943025172903,0.3210765441797962,104,8
ft_2,val_1,val,forecast/rmse,0.4498439418875791,0.8551759066395666,104,8
ft_3,val_1,val,forecast/rmse,0.399268723139008,0.7590298779405461,104,8
ft_4,val_1,val,forecast/rmse,0.41029509964340233,0.7799915729775577,104,8
merged,val_1,val,forecast/rmse,0.22672887974041234,0.43102297761261477,104,8
base,val_2,val,forecast/mae,0.33481931686401367,1.0,104,8
ft_0,val_2,val,forecast/mae,0.39398127794265747,1.176698171517602,104,8
ft_1,val_2,val,forecast/mae,0.32287073135375977,0.9643133328681068,104,8
ft_2,val_2,val,forecast/mae,0.3068324625492096,0.9164120679268607,104,8
ft_3,val_2,val,forecast/mae,0.2596264183521271,0.775422460041557,104,8
ft_4,val_2,val,forecast/mae,0.8085923194885254,2.4150109589314224,104,8
merged,val_2,val,forecast/mae,0.38109254837036133,1.1382035897443201,104,8
base,val_2,val,forecast/mse,0.18375203013420105,1.0,104,8
ft_0,val_2,val,forecast/mse,0.2470054179430008,1.3442323209305682,104,8
ft_1,val_2,val,forecast/mse,0.1684575378894806,0.9167655876588122,104,8
ft_2,val_2,val,forecast/mse,0.15927793085575104,0.8668090945140815,104,8
ft_3,val_2,val,forecast/mse,0.12095022201538086,0.6582252284616739,104,8
ft_4,val_2,val,forecast/mse,0.8783541917800903,4.780106054548595,104,8
merged,val_2,val,forecast/mse,0.2558416724205017,1.3923202493798348,104,8
base,val_2,val,forecast/rmse,0.4286630729771356,1.0,104,8
ft_0,val_2,val,forecast/rmse,0.49699639630786135,1.1594103332860926,104,8
ft_1,val_2,val,forecast/rmse,0.4104357902150842,0.9574787661660242,104,8
ft_2,val_2,val,forecast/rmse,0.3990963929375346,0.9310258291336936,104,8
ft_3,val_2,val,forecast/rmse,0.3477789844360652,0.8113108087913496,104,8
ft_4,val_2,val,forecast/rmse,0.9372055227003788,2.1863453648837354,104,8
merged,val_2,val,forecast/rmse,0.5058079402505478,1.179966206880449,104,8
base,val_3,val,forecast/mae,0.7205917835235596,1.0,104,8
ft_0,val_3,val,forecast/mae,0.676581859588623,0.9389253042551551,104,8
ft_1,val_3,val,forecast/mae,0.6817525029182434,0.9461008555837269,104,8
ft_2,val_3,val,forecast/mae,0.6884443163871765,0.9553874081394768,104,8
ft_3,val_3,val,forecast/mae,0.23751655220985413,0.3296131841088202,104,8
ft_4,val_3,val,forecast/mae,0.2338435798883438,0.3245160231287849,104,8
merged,val_3,val,forecast/mae,0.27112701535224915,0.37625604614375224,104,8
base,val_3,val,forecast/mse,0.7043747305870056,1.0,104,8
ft_0,val_3,val,forecast/mse,0.5653218030929565,0.8025867177572279,104,8
ft_1,val_3,val,forecast/mse,0.587963342666626,0.8347308856134493,104,8
ft_2,val_3,val,forecast/mse,0.651656985282898,0.9251566772417088,104,8
ft_3,val_3,val,forecast/mse,0.09105052053928375,0.1292643199499858,104,8
ft_4,val_3,val,forecast/mse,0.08779853582382202,0.12464748096606652,104,8
merged,val_3,val,forecast/mse,0.1041705459356308,0.14789080501059154,104,8
base,val_3,val,forecast/rmse,0.8392703560754459,1.0,104,8
ft_0,val_3,val,forecast/rmse,0.7518788486803951,0.8958720431831925,104,8
ft_1,val_3,val,forecast/rmse,0.7667876776961312,0.9136360794175377,104,8
ft_2,val_3,val,forecast/rmse,0.8072527394087294,0.961850652254137,104,8
ft_3,val_3,val,forecast/rmse,0.30174578793958956,0.3595334754233405,104,8
ft_4,val_3,val,forecast/rmse,0.2963081771126508,0.35305450141028727,104,8
merged,val_3,val,forecast/rmse,0.32275462186563775,0.38456573561693136,104,8
base,val_4,val,forecast/mae,1.0906174182891846,1.0,104,8
ft_0,val_4,val,forecast/mae,1.067363977432251,0.978678645263698,104,8
ft_1,val_4,val,forecast/mae,1.0651096105575562,0.9766115896336576,104,8
ft_2,val_4,val,forecast/mae,1.062703251838684,0.974405170885416,104,8
ft_3,val_4,val,forecast/mae,0.6037294268608093,0.5535666465036472,104,8
ft_4,val_4,val,forecast/mae,0.26343056559562683,0.24154259887840562,104,8
merged,val_4,val,forecast/mae,0.6108686327934265,0.5601126687960623,104,8
base,val_4,val,forecast/mse,1.423348307609558,1.0,104,8
ft_0,val_4,val,forecast/mse,1.2436516284942627,0.8737507339878832,104,8
ft_1,val_4,val,forecast/mse,1.2758272886276245,0.8963563463747761,104,8
ft_2,val_4,val,forecast/mse,1.344919204711914,0.9448981654888382,104,8
ft_3,val_4,val,forecast/mse,0.4466281831264496,0.3137869913770714,104,8
ft_4,val_4,val,forecast/mse,0.09465549886226654,0.06650199277029786,104,8
merged,val_4,val,forecast/mse,0.41997030377388,0.29505799917604075,104,8
base,val_4,val,forecast/rmse,1.1930416202335767,1.0,104,8
ft_0,val_4,val,forecast/rmse,1.1151912968160498,0.9347463474054785,104,8
ft_1,val_4,val,forecast/rmse,1.129525249220939,0.9467609763687856,104,8
ft_2,val_4,val,forecast/rmse,1.1597065166290625,0.9720587253293077,104,8
ft_3,val_4,val,forecast/rmse,0.6683024638039647,0.5601669317061401,104,8
ft_4,val_4,val,forecast/rmse,0.30766133793875783,0.2578798029514872,104,8
merged,val_4,val,forecast/rmse,0.6480511582999293,0.5431924145052477,104,8
base,test,test,forecast/mae,0.6956534385681152,1.0,1470,8
ft_0,test,test,forecast/mae,0.6979131698608398,1.0032483578279665,1470,8
ft_1,test,test,forecast/mae,0.7007073163986206,1.0072649361741213,1470,8
ft_2,test,test,forecast/mae,0.6772716045379639,0.9735761616186541,1470,8
ft_3,test,test,forecast/mae,0.4592435657978058,0.660161425699384,1470,8
ft_4,test,test,forecast/mae,0.5915484428405762,0.8503493406978314,1470,8
merged,test,test,forecast/mae,0.48818105459213257,0.701758990219283,1470,8
standard,test,test,forecast/mae,0.4857049286365509,0.6981995656289607,1470,8
base,test,test,forecast/mse,0.714749276638031,1.0,1470,8
ft_0,test,test,forecast/mse,0.7019139528274536,0.9820422010485258,1470,8
ft_1,test,test,forecast/mse,0.702354371547699,0.9826583873597831,1470,8
ft_2,test,test,forecast/mse,0.6731274724006653,0.9417672663718635,1470,8
ft_3,test,test,forecast/mse,0.29918673634529114,0.41858977144066095,1470,8
ft_4,test,test,forecast/mse,0.5796607732772827,0.8109987547015582,1470,8
merged,test,test,forecast/mse,0.3174535930156708,0.4441467846023972,1470,8
standard,test,test,forecast/mse,0.3564281165599823,0.49867572897242324,1470,8
base,test,test,forecast/rmse,0.8454284574332893,1.0,1470,8
ft_0,test,test,forecast/rmse,0.8378030513357263,0.990980424150006,1470,8
ft_1,test,test,forecast/rmse,0.8380658515580378,0.9912912727144243,1470,8
ft_2,test,test,forecast/rmse,0.8204434608190044,0.9704469415541807,1470,8
ft_3,test,test,forecast/rmse,0.5469796489315586,0.6469851400462462,1470,8
ft_4,test,test,forecast/rmse,0.7613545647576316,0.9005546927874831,1470,8
merged,test,test,forecast/rmse,0.5634302024347566,0.6664433843939013,1470,8
standard,test,test,forecast/rmse,0.5970160103045665,0.7061697593160041,1470,8
