merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.727324903011322,3365,124
0.0,test,test,forecast/rmse,0.8528334556121271,3365,124
0.0,test,test,forecast/mae,0.6228158473968506,3365,124
0.0,val_0,val,forecast/mse,0.6895227432250977,403,124
0.0,val_0,val,forecast/rmse,0.830375061779373,403,124
0.0,val_0,val,forecast/mae,0.5627062916755676,403,124
0.0,val_1,val,forecast/mse,0.5697159171104431,403,124
0.0,val_1,val,forecast/rmse,0.7547952815899441,403,124
0.0,val_1,val,forecast/mae,0.580925464630127,403,124
0.0,val_base,val,forecast/mse,0.32185453176498413,926,124
0.0,val_base,val,forecast/rmse,0.5673222468447576,926,124
0.0,val_base,val,forecast/mae,0.4000459909439087,926,124
0.1,test,test,forecast/mse,0.621866762638092,3365,124
0.1,test,test,forecast/rmse,0.7885852919235129,3365,124
0.1,test,test,forecast/mae,0.5684980154037476,3365,124
0.1,val_0,val,forecast/mse,0.6227146983146667,403,124
0.1,val_0,val,forecast/rmse,0.7891227397019216,403,124
0.1,val_0,val,forecast/mae,0.5325122475624084,403,124
0.1,val_1,val,forecast/mse,0.46201592683792114,403,124
0.1,val_1,val,forecast/rmse,0.6797175345964831,403,124
0.1,val_1,val,forecast/mae,0.5142850875854492,403,124
0.1,val_base,val,forecast/mse,0.3103601634502411,926,124
0.1,val_base,val,forecast/rmse,0.5570997787203303,926,124
0.1,val_base,val,forecast/mae,0.3928065299987793,926,124
0.2,test,test,forecast/mse,0.5434458255767822,3365,124
0.2,test,test,forecast/rmse,0.7371877817603749,3365,124
0.2,test,test,forecast/mae,0.525733232498169,3365,124
0.2,val_0,val,forecast/mse,0.564957320690155,403,124
0.2,val_0,val,forecast/rmse,0.7516364285278855,403,124
0.2,val_0,val,forecast/mae,0.5080822706222534,403,124
0.2,val_1,val,forecast/mse,0.392315149307251,403,124
0.2,val_1,val,forecast/rmse,0.6263506600198095,403,124
0.2,val_1,val,forecast/mae,0.4667503237724304,403,124
0.2,val_base,val,forecast/mse,0.30321204662323,926,124
0.2,val_base,val,forecast/rmse,0.5506469346352797,926,124
0.2,val_base,val,forecast/mae,0.38801655173301697,926,124
0.3,test,test,forecast/mse,0.49157193303108215,3365,124
0.3,test,test,forecast/rmse,0.7011219102489111,3365,124
