merge_scale,split,metric,value
0.0,test,forecast/mse,0.7044576406478882
0.0,test,forecast/rmse,0.8393197487536488
0.0,test,forecast/mae,0.6060766577720642
0.1,test,forecast/mse,0.5599467754364014
0.1,test,forecast/rmse,0.7482959143523379
0.1,test,forecast/mae,0.5316634774208069
0.2,test,forecast/mse,0.47711145877838135
0.2,test,forecast/rmse,0.6907325522793764
0.2,test,forecast/mae,0.48699110746383667
0.3,test,forecast/mse,0.4437052607536316
0.3,test,forecast/rmse,0.6661120481973222
0.3,test,forecast/mae,0.47394412755966187
0.4,test,forecast/mse,0.4403704106807709
0.4,test,forecast/rmse,0.6636041068896205
0.4,test,forecast/mae,0.4802181124687195
0.5,test,forecast/mse,0.45351704955101013
0.5,test,forecast/rmse,0.6734367450258488
0.5,test,forecast/mae,0.49512621760368347
0.6,test,forecast/mse,0.4759059548377991
0.6,test,forecast/rmse,0.6898593732332693
0.6,test,forecast/mae,0.513599693775177
0.7,test,forecast/mse,0.5037031769752502
0.7,test,forecast/rmse,0.7097204921483177
0.7,test,forecast/mae,0.533183217048645
0.8,test,forecast/mse,0.5347147583961487
0.8,test,forecast/rmse,0.731241928773336
0.8,test,forecast/mae,0.5528470873832703
0.9,test,forecast/mse,0.5675898194313049
0.9,test,forecast/rmse,0.7533855715576885
0.9,test,forecast/mae,0.5722243785858154
1.0,test,forecast/mse,0.6015604138374329
1.0,test,forecast/rmse,0.7756032580111
1.0,test,forecast/mae,0.5913164615631104
0.0,val,forecast/mse,0.35686686635017395
0.0,val,forecast/rmse,0.5973833495756088
0.0,val,forecast/mae,0.4261005222797394
0.1,val,forecast/mse,0.33068928122520447
0.1,val,forecast/rmse,0.5750558940009262
0.1,val,forecast/mae,0.41090917587280273
0.2,val,forecast/mse,0.32730239629745483
0.2,val,forecast/rmse,0.5721034839060629
0.2,val,forecast/mae,0.41321295499801636
0.3,val,forecast/mse,0.34062138199806213
0.3,val,forecast/rmse,0.5836277769246955
0.3,val,forecast/mae,0.42873480916023254
0.4,val,forecast/mse,0.36649829149246216
0.4,val,forecast/rmse,0.6053910236305641
0.4,val,forecast/mae,0.4522857964038849
0.5,val,forecast/mse,0.4022473096847534
0.5,val,forecast/rmse,0.6342296978893005
0.5,val,forecast/mae,0.4802367091178894
0.6,val,forecast/mse,0.4461211860179901
0.6,val,forecast/rmse,0.6679230389932587
0.6,val,forecast/mae,0.5105036497116089
0.7,val,forecast/mse,0.4970014691352844
0.7,val,forecast/rmse,0.7049833112459362
0.7,val,forecast/mae,0.5421068072319031
0.8,val,forecast/mse,0.5540515780448914
0.8,val,forecast/rmse,0.7443464099764916
0.8,val,forecast/mae,0.5747535824775696
0.9,val,forecast/mse,0.6166941523551941
0.9,val,forecast/rmse,0.7852987663018414
0.9,val,forecast/mae,0.6083418130874634
1.0,val,forecast/mse,0.6846338510513306
1.0,val,forecast/rmse,0.8274260396260988
1.0,val,forecast/mae,0.6429252624511719
