model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3918595314025879,1.0,926,43
ft_0,val_base,val,forecast/mae,0.4314822256565094,1.1011145348745237,926,43
ft_1,val_base,val,forecast/mae,0.5125601887702942,1.3080202156514629,926,43
ft_2,val_base,val,forecast/mae,0.3911254405975342,0.9981266480811984,926,43
ft_3,val_base,val,forecast/mae,0.438483327627182,1.1189808910803138,926,43
ft_4,val_base,val,forecast/mae,0.4746949374675751,1.2113905607157067,926,43
merged,val_base,val,forecast/mae,0.40776902437210083,1.0405999897783982,926,43
base,val_base,val,forecast/mse,0.31212806701660156,1.0,926,43
ft_0,val_base,val,forecast/mse,0.3548089563846588,1.1367415938464358,926,43
ft_1,val_base,val,forecast/mse,0.44291412830352783,1.4190141006446881,926,43
ft_2,val_base,val,forecast/mse,0.3097015619277954,0.9922259311314126,926,43
ft_3,val_base,val,forecast/mse,0.35900411009788513,1.1501820824039843,926,43
ft_4,val_base,val,forecast/mse,0.40198782086372375,1.2878938594213083,926,43
merged,val_base,val,forecast/mse,0.3170778751373291,1.0158582602584865,926,43
base,val_base,val,forecast/rmse,0.5586842283585617,1.0,926,43
ft_0,val_base,val,forecast/rmse,0.595658422575102,1.0661808448131285,926,43
ft_1,val_base,val,forecast/rmse,0.6655179398810582,1.1912237827732826,926,43
ft_2,val_base,val,forecast/rmse,0.5565083664490548,0.9961053815392289,926,43
ft_3,val_base,val,forecast/rmse,0.5991695169965551,1.0724654224747687,926,43
ft_4,val_base,val,forecast/rmse,0.6340250948217458,1.1348541137174015,926,43
merged,val_base,val,forecast/rmse,0.5630966836497344,1.007897941390142,926,43
base,val_0,val,forecast/mae,0.38275593519210815,1.0,89,43
ft_0,val_0,val,forecast/mae,0.33151668310165405,0.866130744478889,89,43
ft_1,val_0,val,forecast/mae,0.34099239110946655,0.8908872724294133,89,43
ft_2,val_0,val,forecast/mae,0.39617064595222473,1.0350476884267872,89,43
ft_3,val_0,val,forecast/mae,0.3541715741157532,0.9253196137585475,89,43
ft_4,val_0,val,forecast/mae,0.526072084903717,1.3744322074056863,89,43
merged,val_0,val,forecast/mae,0.33900904655456543,0.8857055250741289,89,43
base,val_0,val,forecast/mse,0.24943377077579498,1.0,89,43
ft_0,val_0,val,forecast/mse,0.19482383131980896,0.7810643711710052,89,43
ft_1,val_0,val,forecast/mse,0.19912895560264587,0.7983239598363532,89,43
ft_2,val_0,val,forecast/mse,0.2700713574886322,1.0827377409588512,89,43
ft_3,val_0,val,forecast/mse,0.2218771129846573,0.8895231479465258,89,43
ft_4,val_0,val,forecast/mse,0.4309651255607605,1.7277737662400816,89,43
merged,val_0,val,forecast/mse,0.2036631852388382,0.8165020502452415,89,43
base,val_0,val,forecast/rmse,0.4994334497966621,1.0,89,43
ft_0,val_0,val,forecast/rmse,0.44138852649316673,0.8837784627218549,89,43
ft_1,val_0,val,forecast/rmse,0.446238675601573,0.8934897648190231,89,43
ft_2,val_0,val,forecast/rmse,0.5196839015099777,1.040546847075542,89,43
ft_3,val_0,val,forecast/rmse,0.47103833494170866,0.9431453482610863,89,43
ft_4,val_0,val,forecast/rmse,0.6564793413053913,1.3144480842696227,89,43
merged,val_0,val,forecast/rmse,0.4512905773876053,0.9036050300021804,89,43
base,val_1,val,forecast/mae,0.6387789845466614,1.0,89,43
ft_0,val_1,val,forecast/mae,0.5860093832015991,0.9173898913056562,89,43
ft_1,val_1,val,forecast/mae,0.5066240429878235,0.7931131975911392,89,43
ft_2,val_1,val,forecast/mae,0.610378623008728,0.9555396119393487,89,43
ft_3,val_1,val,forecast/mae,0.5410227179527283,0.8469638655014452,89,43
ft_4,val_1,val,forecast/mae,0.5729952454566956,0.897016431846686,89,43
merged,val_1,val,forecast/mae,0.5240725874900818,0.820428661819571,89,43
base,val_1,val,forecast/mse,0.6946669816970825,1.0,89,43
ft_0,val_1,val,forecast/mse,0.6185198426246643,0.8903832468236945,89,43
ft_1,val_1,val,forecast/mse,0.4758107364177704,0.6849479663699535,89,43
ft_2,val_1,val,forecast/mse,0.6369354724884033,0.9168932585976086,89,43
ft_3,val_1,val,forecast/mse,0.5226078629493713,0.7523142408073462,89,43
ft_4,val_1,val,forecast/mse,0.5520038604736328,0.7946309167092965,89,43
merged,val_1,val,forecast/mse,0.5035800933837891,0.7249230302461401,89,43
base,val_1,val,forecast/rmse,0.8334668449896987,1.0,89,43
ft_0,val_1,val,forecast/rmse,0.7864603248890972,0.9436012117540411,89,43
ft_1,val_1,val,forecast/rmse,0.6897903568605249,0.8276158325998564,89,43
ft_2,val_1,val,forecast/rmse,0.7980823719945225,0.9575454342210654,89,43
ft_3,val_1,val,forecast/rmse,0.7229162212520697,0.8673605022177032,89,43
ft_4,val_1,val,forecast/rmse,0.7429696228471476,0.8914207293468649,89,43
merged,val_1,val,forecast/rmse,0.7096337741284507,0.8514241189008802,89,43
base,val_2,val,forecast/mae,0.5412396788597107,1.0,89,43
ft_0,val_2,val,forecast/mae,0.47674107551574707,0.8808317167731495,89,43
ft_1,val_2,val,forecast/mae,0.5796176195144653,1.0709074780614933,89,43
ft_2,val_2,val,forecast/mae,0.541275143623352,1.000065525062235,89,43
ft_3,val_2,val,forecast/mae,0.5206494927406311,0.961957360254039,89,43
ft_4,val_2,val,forecast/mae,0.6661655306816101,1.230814289309118,89,43
merged,val_2,val,forecast/mae,0.525251567363739,0.9704602006828923,89,43
base,val_2,val,forecast/mse,0.5925413370132446,1.0,89,43
ft_0,val_2,val,forecast/mse,0.4411584436893463,0.7445192700192753,89,43
ft_1,val_2,val,forecast/mse,0.5932552814483643,1.0012048854493736,89,43
ft_2,val_2,val,forecast/mse,0.5796990394592285,0.9783267482759114,89,43
ft_3,val_2,val,forecast/mse,0.49320054054260254,0.8323479050906762,89,43
ft_4,val_2,val,forecast/mse,0.7562111616134644,1.27621672004389,89,43
merged,val_2,val,forecast/mse,0.5277283191680908,0.8906185715719862,89,43
base,val_2,val,forecast/rmse,0.7697670667242427,1.0,89,43
ft_0,val_2,val,forecast/rmse,0.6641975938599494,0.8628553007424102,89,43
ft_1,val_2,val,forecast/rmse,0.7702306676888192,1.0006022613653107,89,43
ft_2,val_2,val,forecast/rmse,0.7613796946722631,0.9891040128701891,89,43
ft_3,val_2,val,forecast/rmse,0.7022823794903319,0.9123310282406689,89,43
ft_4,val_2,val,forecast/rmse,0.8696040257573928,1.1296976232797384,89,43
merged,val_2,val,forecast/rmse,0.7264491167095537,0.9437258985383341,89,43
base,val_3,val,forecast/mae,0.45792636275291443,1.0,89,43
ft_0,val_3,val,forecast/mae,0.5693232417106628,1.2432637384929406,89,43
ft_1,val_3,val,forecast/mae,0.44098126888275146,0.962996028950388,89,43
ft_2,val_3,val,forecast/mae,0.4121156334877014,0.8999604893026626,89,43
ft_3,val_3,val,forecast/mae,0.32613471150398254,0.7121990303055704,89,43
ft_4,val_3,val,forecast/mae,0.3791554272174835,0.8279834009514457,89,43
merged,val_3,val,forecast/mae,0.35752204060554504,0.7807413367866199,89,43
base,val_3,val,forecast/mse,0.3549647927284241,1.0,89,43
ft_0,val_3,val,forecast/mse,0.48889023065567017,1.3772921728316576,89,43
