merge_scale,split,metric,value
0.0,test,forecast/mse,0.7597487568855286
0.0,test,forecast/rmse,0.8716356789883768
0.0,test,forecast/mae,0.6949653029441833
0.1,test,forecast/mse,0.6368986964225769
0.1,test,forecast/rmse,0.7980593313924579
0.1,test,forecast/mae,0.6406475901603699
0.2,test,forecast/mse,0.5247224569320679
0.2,test,forecast/rmse,0.7243772890780521
0.2,test,forecast/mae,0.5866413116455078
0.3,test,forecast/mse,0.4284602701663971
0.3,test,forecast/rmse,0.6545687665680338
0.3,test,forecast/mae,0.535129964351654
0.4,test,forecast/mse,0.35287871956825256
0.4,test,forecast/rmse,0.594035958144162
0.4,test,forecast/mae,0.4910094738006592
0.5,test,forecast/mse,0.30071866512298584
0.5,test,forecast/rmse,0.5483782135743412
0.5,test,forecast/mae,0.45842117071151733
0.6,test,forecast/mse,0.2712339162826538
0.6,test,forecast/rmse,0.5208012253083261
0.6,test,forecast/mae,0.43720778822898865
0.7,test,forecast/mse,0.260955810546875
0.7,test,forecast/rmse,0.5108383409131259
0.7,test,forecast/mae,0.42696622014045715
0.8,test,forecast/mse,0.2652726173400879
0.8,test,forecast/rmse,0.5150462283524537
0.8,test,forecast/mae,0.4254463315010071
0.9,test,forecast/mse,0.2797677218914032
0.9,test,forecast/rmse,0.5289307344930934
0.9,test,forecast/mae,0.4294314980506897
1.0,test,forecast/mse,0.30168142914772034
1.0,test,forecast/rmse,0.5492553405727798
1.0,test,forecast/mae,0.4373563528060913
0.0,val,forecast/mse,0.6057154536247253
0.0,val,forecast/rmse,0.7782772344253205
0.0,val,forecast/mae,0.5868307948112488
0.1,val,forecast/mse,0.4787186086177826
0.1,val,forecast/rmse,0.6918949404481742
0.1,val,forecast/mae,0.5201711654663086
0.2,val,forecast/mse,0.36606842279434204
0.2,val,forecast/rmse,0.6050358855426198
0.2,val,forecast/mae,0.45411038398742676
0.3,val,forecast/mse,0.27425137162208557
0.3,val,forecast/rmse,0.5236901484867608
0.3,val,forecast/mae,0.3927125930786133
0.4,val,forecast/mse,0.20713582634925842
0.4,val,forecast/rmse,0.45512177090231404
0.4,val,forecast/mae,0.34274810552597046
0.5,val,forecast/mse,0.16396693885326385
0.5,val,forecast/rmse,0.40492831322749445
0.5,val,forecast/mae,0.3120909333229065
0.6,val,forecast/mse,0.1400594413280487
0.6,val,forecast/rmse,0.3742451620636514
0.6,val,forecast/mae,0.29845863580703735
0.7,val,forecast/mse,0.13036371767520905
0.7,val,forecast/rmse,0.3610591609074738
0.7,val,forecast/mae,0.29523614048957825
0.8,val,forecast/mse,0.1307489573955536
0.8,val,forecast/rmse,0.36159225295289943
0.8,val,forecast/mae,0.2988978624343872
0.9,val,forecast/mse,0.13802799582481384
0.9,val,forecast/rmse,0.37152119162278463
0.9,val,forecast/mae,0.30760806798934937
1.0,val,forecast/mse,0.15131571888923645
1.0,val,forecast/rmse,0.38899321188066566
1.0,val,forecast/mae,0.3215734660625458
