model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.30643847584724426,1.0,711,8
ft_0,val_base,val,forecast/mae,0.2429705411195755,0.7928852290751285,711,8
ft_1,val_base,val,forecast/mae,0.2684800922870636,0.876130490940366,711,8
merged,val_base,val,forecast/mae,0.23448313772678375,0.7651883043683805,711,8
base,val_base,val,forecast/mse,0.14028191566467285,1.0,711,8
ft_0,val_base,val,forecast/mse,0.0832950621843338,0.5937690670224428,711,8
ft_1,val_base,val,forecast/mse,0.10076340287923813,0.7182921790154406,711,8
merged,val_base,val,forecast/mse,0.08024197071790695,0.5720050965779209,711,8
base,val_base,val,forecast/rmse,0.37454227486983743,1.0,711,8
ft_0,val_base,val,forecast/rmse,0.2886088394078286,0.7705641225897055,711,8
ft_1,val_base,val,forecast/rmse,0.31743251704769965,0.8475211967941808,711,8
merged,val_base,val,forecast/rmse,0.28327013735638806,0.7563101854252136,711,8
base,val_0,val,forecast/mae,0.5612730383872986,1.0,332,8
ft_0,val_0,val,forecast/mae,0.19782474637031555,0.35245724066618955,332,8
ft_1,val_0,val,forecast/mae,0.2887832522392273,0.5145147414687617,332,8
merged,val_0,val,forecast/mae,0.18837450444698334,0.3356200842788357,332,8
base,val_0,val,forecast/mse,0.42892223596572876,1.0,332,8
ft_0,val_0,val,forecast/mse,0.08516480028629303,0.1985553397448431,332,8
ft_1,val_0,val,forecast/mse,0.1378200501203537,0.32131710264460533,332,8
merged,val_0,val,forecast/mse,0.05268649384379387,0.12283460596340723,332,8
base,val_0,val,forecast/rmse,0.6549215494742319,1.0,332,8
ft_0,val_0,val,forecast/rmse,0.29183008804147154,0.44559548891886586,332,8
ft_1,val_0,val,forecast/rmse,0.3712412290147118,0.566848394762308,332,8
merged,val_0,val,forecast/rmse,0.22953538690971784,0.35047768254684525,332,8
base,val_1,val,forecast/mae,1.1606812477111816,1.0,332,8
ft_0,val_1,val,forecast/mae,1.0816437005996704,0.9319041750115544,332,8
ft_1,val_1,val,forecast/mae,0.2485751211643219,0.21416312329892673,332,8
merged,val_1,val,forecast/mae,0.4308777153491974,0.37122829045344835,332,8
base,val_1,val,forecast/mse,1.668274164199829,1.0,332,8
ft_0,val_1,val,forecast/mse,1.2927699089050293,0.774914541414776,332,8
ft_1,val_1,val,forecast/mse,0.09453167021274567,0.056664349446475325,332,8
merged,val_1,val,forecast/mse,0.24786877632141113,0.1485779625678606,332,8
base,val_1,val,forecast/rmse,1.2916168798060164,1.0,332,8
ft_0,val_1,val,forecast/rmse,1.1370003996943139,0.8802923045300215,332,8
ft_1,val_1,val,forecast/rmse,0.307460030268563,0.23804274709907738,332,8
merged,val_1,val,forecast/rmse,0.497864214742746,0.3854581203812686,332,8
base,test,test,forecast/mae,0.702970564365387,1.0,1470,8
ft_0,test,test,forecast/mae,0.6772255301475525,0.9633767962374413,1470,8
ft_1,test,test,forecast/mae,0.3951096534729004,0.5620571806297312,1470,8
merged,test,test,forecast/mae,0.44055354595184326,0.6267026932337586,1470,8
standard,test,test,forecast/mae,0.4857049286365509,0.6909321005140883,1470,8
base,test,test,forecast/mse,0.7500467896461487,1.0,1470,8
ft_0,test,test,forecast/mse,0.6788535714149475,0.9050816306209535,1470,8
ft_1,test,test,forecast/mse,0.228489950299263,0.3046342620932465,1470,8
merged,test,test,forecast/mse,0.2726466953754425,0.36350624939554727,1470,8
standard,test,test,forecast/mse,0.3564281165599823,0.47520784233758967,1470,8
base,test,test,forecast/rmse,0.8660524173779256,1.0,1470,8
ft_0,test,test,forecast/rmse,0.8239257074609018,0.951357782656427,1470,8
ft_1,test,test,forecast/rmse,0.4780062241218863,0.5519368279914347,1470,8
merged,test,test,forecast/rmse,0.5221558152270666,0.6029147944739349,1470,8
standard,test,test,forecast/rmse,0.5970160103045665,0.6893532057933651,1470,8
