merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7597487568855286,1470,124
0.0,test,test,forecast/rmse,0.8716356789883768,1470,124
0.0,test,test,forecast/mae,0.6949652433395386,1470,124
0.0,val_0,val,forecast/mse,0.4585672914981842,332,124
0.0,val_0,val,forecast/rmse,0.6771759678976981,332,124
0.0,val_0,val,forecast/mae,0.5892744660377502,332,124
0.0,val_1,val,forecast/mse,1.735325574874878,332,124
0.0,val_1,val,forecast/rmse,1.3173175679671467,332,124
0.0,val_1,val,forecast/mae,1.172512173652649,332,124
0.0,val_base,val,forecast/mse,0.146956667304039,711,124
0.0,val_base,val,forecast/rmse,0.3833492758621555,711,124
0.0,val_base,val,forecast/mae,0.3122069239616394,711,124
0.1,test,test,forecast/mse,0.6368986368179321,1470,124
0.1,test,test,forecast/rmse,0.7980592940489648,1470,124
0.1,test,test,forecast/mae,0.6406475901603699,1470,124
0.1,val_0,val,forecast/mse,0.31741467118263245,332,124
0.1,val_0,val,forecast/rmse,0.563395661309734,332,124
0.1,val_0,val,forecast/mae,0.48369863629341125,332,124
0.1,val_1,val,forecast/mse,1.4072394371032715,332,124
0.1,val_1,val,forecast/rmse,1.1862712325194738,332,124
0.1,val_1,val,forecast/mae,1.0647995471954346,332,124
0.1,val_base,val,forecast/mse,0.12046819180250168,711,124
0.1,val_base,val,forecast/rmse,0.3470852803022647,711,124
0.1,val_base,val,forecast/mae,0.2828887701034546,711,124
0.2,test,test,forecast/mse,0.5247224569320679,1470,124
0.2,test,test,forecast/rmse,0.7243772890780521,1470,124
0.2,test,test,forecast/mae,0.5866413116455078,1470,124
0.2,val_0,val,forecast/mse,0.19883397221565247,332,124
0.2,val_0,val,forecast/rmse,0.44590803111813593,332,124
0.2,val_0,val,forecast/mae,0.37028706073760986,332,124
0.2,val_1,val,forecast/mse,1.0976548194885254,332,124
0.2,val_1,val,forecast/rmse,1.0476902306925102,332,124
0.2,val_1,val,forecast/mae,0.9481723308563232,332,124
0.2,val_base,val,forecast/mse,0.1025453582406044,711,124
0.2,val_base,val,forecast/rmse,0.32022704170729305,711,124
0.2,val_base,val,forecast/mae,0.2625501751899719,711,124
0.3,test,test,forecast/mse,0.4284602105617523,1470,124
0.3,test,test,forecast/rmse,0.6545687210383279,1470,124
0.3,test,test,forecast/mae,0.5351299047470093,1470,124
0.3,val_0,val,forecast/mse,0.11264779418706894,332,124
0.3,val_0,val,forecast/rmse,0.3356304428788738,332,124
0.3,val_0,val,forecast/mae,0.26021963357925415,332,124
0.3,val_1,val,forecast/mse,0.826474130153656,332,124
0.3,val_1,val,forecast/rmse,0.909106226000931,332,124
0.3,val_1,val,forecast/mae,0.8286847472190857,332,124
0.3,val_base,val,forecast/mse,0.09185251593589783,711,124
0.3,val_base,val,forecast/rmse,0.3030717999680898,711,124
0.3,val_base,val,forecast/mae,0.25100356340408325,711,124
0.4,test,test,forecast/mse,0.3528786897659302,1470,124
0.4,test,test,forecast/rmse,0.59403593305955,1470,124
0.4,test,test,forecast/mae,0.4910094738006592,1470,124
0.4,val_0,val,forecast/mse,0.06276992708444595,332,124
0.4,val_0,val,forecast/rmse,0.2505392725391489,332,124
0.4,val_0,val,forecast/mae,0.1761164516210556,332,124
0.4,val_1,val,forecast/mse,0.6085450053215027,332,124
0.4,val_1,val,forecast/rmse,0.7800929465913038,332,124
0.4,val_1,val,forecast/mae,0.7137535214424133,332,124
0.4,val_base,val,forecast/mse,0.0871100053191185,711,124
0.4,val_base,val,forecast/rmse,0.29514404164597074,711,124
0.4,val_base,val,forecast/mae,0.24731622636318207,711,124
0.5,test,test,forecast/mse,0.30071866512298584,1470,124
0.5,test,test,forecast/rmse,0.5483782135743412,1470,124
0.5,test,test,forecast/mae,0.45842114090919495,1470,124
