merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7811653113681285,87742,8
0.0,test,test,window_auprc,0.6391236966471037,87742,8
0.0,test,test,window_f1,0.6444919841228929,87742,8
0.0,test,test,window_precision,0.5201464439498263,87742,8
0.0,test,test,window_recall,0.8469667716695458,87742,8
0.0,test,test,point_auroc,0.7777079010808808,87742,8
0.0,test,test,point_auprc,0.5620357571887449,87742,8
0.0,test,test,point_f1,0.5853469038924715,87742,8
0.0,test,test,point_precision,0.47114590889761615,87742,8
0.0,test,test,point_recall,0.7726228566740504,87742,8
0.0,test,test,pa_f1,0.7936358943070353,87742,8
0.0,test,test,pa_precision,0.9272866856766835,87742,8
0.0,test,test,pa_recall,0.6936582164246452,87742,8
0.0,test,test,event_f1,0.21832358674463936,87742,8
0.0,test,test,event_precision,0.12669683257918551,87742,8
0.0,test,test,event_recall,0.7887323943661971,87742,8
0.0,test,test,event_tp,56.0,87742,8
0.0,test,test,event_fp,386.0,87742,8
0.0,test,test,event_fn,15.0,87742,8
0.0,val_0,val,reconstruction/score_mean,0.3250954652291928,1888,8
0.0,val_0,val,reconstruction/score_std,0.29282089597787736,1888,8
0.0,val_0,val,reconstruction/score_p50,0.24106016755104065,1888,8
0.0,val_0,val,reconstruction/score_p95,1.4450194358825679,1888,8
0.0,val_0,val,reconstruction/score_p99,1.5327612948417664,1888,8
0.0,val_1,val,reconstruction/score_mean,0.41816751766255345,1888,8
0.0,val_1,val,reconstruction/score_std,0.1387748132970376,1888,8
0.0,val_1,val,reconstruction/score_p50,0.4180202782154083,1888,8
0.0,val_1,val,reconstruction/score_p95,0.6906975209712981,1888,8
0.0,val_1,val,reconstruction/score_p99,0.7109544742107391,1888,8
0.0,val_2,val,reconstruction/score_mean,0.42396929710156334,1888,8
0.0,val_2,val,reconstruction/score_std,0.23920311336893543,1888,8
0.0,val_2,val,reconstruction/score_p50,0.38245534896850586,1888,8
0.0,val_2,val,reconstruction/score_p95,0.8749638646841047,1888,8
0.0,val_2,val,reconstruction/score_p99,0.9603430652618408,1888,8
0.0,val_3,val,reconstruction/score_mean,0.8853412043082259,1888,8
0.0,val_3,val,reconstruction/score_std,0.4497914651161187,1888,8
0.0,val_3,val,reconstruction/score_p50,0.7627975642681122,1888,8
0.0,val_3,val,reconstruction/score_p95,1.5992246448993683,1888,8
0.0,val_3,val,reconstruction/score_p99,1.8527944433689116,1888,8
0.0,val_4,val,reconstruction/score_mean,0.2087046468306838,1888,8
0.0,val_4,val,reconstruction/score_std,0.06695218523902015,1888,8
0.0,val_4,val,reconstruction/score_p50,0.1956079751253128,1888,8
0.0,val_4,val,reconstruction/score_p95,0.3460357919335365,1888,8
0.0,val_4,val,reconstruction/score_p99,0.4262947013974187,1888,8
0.0,val_base,val,reconstruction/score_mean,0.15945543051621858,9837,8
0.0,val_base,val,reconstruction/score_std,0.26297142151854314,9837,8
0.0,val_base,val,reconstruction/score_p50,0.08868395537137985,9837,8
0.0,val_base,val,reconstruction/score_p95,0.3668819665908808,9837,8
0.0,val_base,val,reconstruction/score_p99,1.6416715002059932,9837,8
0.1,test,test,window_auroc,0.7853197024685957,87742,8
0.1,test,test,window_auprc,0.6386432876836218,87742,8
0.1,test,test,window_f1,0.6415921218839421,87742,8
0.1,test,test,window_precision,0.5178634594977007,87742,8
0.1,test,test,window_recall,0.8430037597805101,87742,8
0.1,test,test,point_auroc,0.7803879721330732,87742,8
0.1,test,test,point_auprc,0.5588468141750051,87742,8
0.1,test,test,point_f1,0.5894078301525765,87742,8
0.1,test,test,point_precision,0.4958150211348431,87742,8
0.1,test,test,point_recall,0.7265567314792025,87742,8
0.1,test,test,pa_f1,0.7664143819602002,87742,8
0.1,test,test,pa_precision,0.663229519498816,87742,8
0.1,test,test,pa_recall,0.9076216260562803,87742,8
0.1,test,test,event_f1,0.2115768463073852,87742,8
0.1,test,test,event_precision,0.12325581395348838,87742,8
0.1,test,test,event_recall,0.7464788732394366,87742,8
0.1,test,test,event_tp,53.0,87742,8
