model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.16783353178379884,1.0,9837,43
ft_0,val_base,val,reconstruction/score_mean,0.17011513715066282,1.0135944548304157,9837,43
ft_1,val_base,val,reconstruction/score_mean,0.18138266040287368,1.0807295686092613,9837,43
ft_2,val_base,val,reconstruction/score_mean,0.18874279013373352,1.1245833185282053,9837,43
ft_3,val_base,val,reconstruction/score_mean,0.18236180833727653,1.0865636109725252,9837,43
ft_4,val_base,val,reconstruction/score_mean,0.17455250399596772,1.0400335507497047,9837,43
merged,val_base,val,reconstruction/score_mean,0.378643621963142,2.2560665794181474,9837,43
base,val_base,val,reconstruction/score_p50,0.09684646874666214,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p50,0.10261309146881104,1.0595439647596614,9837,43
ft_1,val_base,val,reconstruction/score_p50,0.11402019113302231,1.177329360673794,9837,43
ft_2,val_base,val,reconstruction/score_p50,0.12354960292577744,1.2757264619422237,9837,43
ft_3,val_base,val,reconstruction/score_p50,0.11538056284189224,1.1913760443213774,9837,43
ft_4,val_base,val,reconstruction/score_p50,0.10495758056640625,1.0837522722791446,9837,43
merged,val_base,val,reconstruction/score_p50,0.3226761817932129,3.3318321872663437,9837,43
base,val_base,val,reconstruction/score_p95,0.3807496607303618,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p95,0.3739732503890989,0.9822024520566498,9837,43
ft_1,val_base,val,reconstruction/score_p95,0.3921434819698333,1.02992470490352,9837,43
ft_2,val_base,val,reconstruction/score_p95,0.3952226579189299,1.038011845265484,9837,43
ft_3,val_base,val,reconstruction/score_p95,0.40761128664016566,1.070549310164262,9837,43
ft_4,val_base,val,reconstruction/score_p95,0.38706170916557237,1.0165779489418392,9837,43
merged,val_base,val,reconstruction/score_p95,0.6617413043975829,1.7379957821320633,9837,43
base,val_base,val,reconstruction/score_p99,1.6505811405181883,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p99,1.6526384115219102,1.0012463919241656,9837,43
ft_1,val_base,val,reconstruction/score_p99,1.6691829061508177,1.011269828047829,9837,43
ft_2,val_base,val,reconstruction/score_p99,1.6626850080490092,1.0073330945287675,9837,43
ft_3,val_base,val,reconstruction/score_p99,1.6426987028121924,0.9952244470068758,9837,43
ft_4,val_base,val,reconstruction/score_p99,1.6561819553375239,1.003393238103749,9837,43
merged,val_base,val,reconstruction/score_p99,1.8123254013061523,1.0979923112033048,9837,43
base,val_base,val,reconstruction/score_std,0.2685594432070549,1.0,9837,43
ft_0,val_base,val,reconstruction/score_std,0.2654985921121131,0.9886027053884605,9837,43
ft_1,val_base,val,reconstruction/score_std,0.26712864321962715,0.9946723154831513,9837,43
ft_2,val_base,val,reconstruction/score_std,0.2622049911613921,0.9763387502975883,9837,43
ft_3,val_base,val,reconstruction/score_std,0.2605652240308564,0.9702329619069285,9837,43
ft_4,val_base,val,reconstruction/score_std,0.2658109743250324,0.9897658825576897,9837,43
merged,val_base,val,reconstruction/score_std,0.2647889337370973,0.9859602424516102,9837,43
base,val_0,val,reconstruction/score_mean,0.34616552979164456,1.0,1888,43
ft_0,val_0,val,reconstruction/score_mean,0.2923195338768537,0.8444501509228822,1888,43
ft_1,val_0,val,reconstruction/score_mean,0.2581676879218953,0.7457925925706274,1888,43
ft_2,val_0,val,reconstruction/score_mean,0.283042639951711,0.8176511396789653,1888,43
ft_3,val_0,val,reconstruction/score_mean,0.34051915655954407,0.9836888056546271,1888,43
ft_4,val_0,val,reconstruction/score_mean,0.31445483099353516,0.9083944065222326,1888,43
merged,val_0,val,reconstruction/score_mean,0.37530219712752405,1.0841697535667885,1888,43
base,val_0,val,reconstruction/score_p50,0.25489988923072815,1.0,1888,43
ft_0,val_0,val,reconstruction/score_p50,0.2123589739203453,0.8331073605454727,1888,43
ft_1,val_0,val,reconstruction/score_p50,0.17842556536197662,0.6999829066244547,1888,43
ft_2,val_0,val,reconstruction/score_p50,0.2019801288843155,0.7923900221921588,1888,43
ft_3,val_0,val,reconstruction/score_p50,0.26169919967651367,1.0266744346822017,1888,43
ft_4,val_0,val,reconstruction/score_p50,0.22854242473840714,0.8965967989555971,1888,43
merged,val_0,val,reconstruction/score_p50,0.3086525797843933,1.2108776536384045,1888,43
base,val_0,val,reconstruction/score_p95,1.4437232673168179,1.0,1888,43
ft_0,val_0,val,reconstruction/score_p95,1.4022459149360653,0.9712705659597501,1888,43
ft_1,val_0,val,reconstruction/score_p95,1.3917777776718137,0.9640197738576689,1888,43
ft_2,val_0,val,reconstruction/score_p95,1.40006707906723,0.9697613876302461,1888,43
ft_3,val_0,val,reconstruction/score_p95,1.4431293189525598,0.9995885995760379,1888,43
ft_4,val_0,val,reconstruction/score_p95,1.4404854655265809,0.997757325199687,1888,43
merged,val_0,val,reconstruction/score_p95,1.4654160916805263,1.015025611108994,1888,43
base,val_0,val,reconstruction/score_p99,1.5595223736762998,1.0,1888,43
ft_0,val_0,val,reconstruction/score_p99,1.485008372068405,0.9522199855124611,1888,43
ft_1,val_0,val,reconstruction/score_p99,1.4657676684856416,0.9398824237643684,1888,43
ft_2,val_0,val,reconstruction/score_p99,1.4641893172264098,0.9388703502693847,1888,43
ft_3,val_0,val,reconstruction/score_p99,1.5403343498706819,0.9876962176820936,1888,43
ft_4,val_0,val,reconstruction/score_p99,1.5180720686912537,0.973421154011831,1888,43
merged,val_0,val,reconstruction/score_p99,1.5370827615261078,0.9856112278163124,1888,43
base,val_0,val,reconstruction/score_std,0.29591087031551294,1.0,1888,43
ft_0,val_0,val,reconstruction/score_std,0.2860266659661939,0.9665973597428845,1888,43
ft_1,val_0,val,reconstruction/score_std,0.28728946844076547,0.9708648693251621,1888,43
ft_2,val_0,val,reconstruction/score_std,0.28124974353801974,0.9504542473824605,1888,43
ft_3,val_0,val,reconstruction/score_std,0.2832242034237229,0.9571267291456276,1888,43
ft_4,val_0,val,reconstruction/score_std,0.28878451312907716,0.975917217306558,1888,43
merged,val_0,val,reconstruction/score_std,0.2752526230125281,0.9301876025001782,1888,43
base,val_1,val,reconstruction/score_mean,0.4256625374052989,1.0,1888,43
ft_0,val_1,val,reconstruction/score_mean,0.36935261577778195,0.8677122915942661,1888,43
ft_1,val_1,val,reconstruction/score_mean,0.3511667741557299,0.8249886783467695,1888,43
ft_2,val_1,val,reconstruction/score_mean,0.3543324324349731,0.8324256924155669,1888,43
ft_3,val_1,val,reconstruction/score_mean,0.42825265471839297,1.0060849078447978,1888,43
ft_4,val_1,val,reconstruction/score_mean,0.4199673637621484,0.9866204489644157,1888,43
merged,val_1,val,reconstruction/score_mean,0.368511574050822,0.8657364500459668,1888,43
base,val_1,val,reconstruction/score_p50,0.43125660717487335,1.0,1888,43
ft_0,val_1,val,reconstruction/score_p50,0.3705672323703766,0.8592731710197604,1888,43
ft_1,val_1,val,reconstruction/score_p50,0.34965595602989197,0.8107839977698184,1888,43
ft_2,val_1,val,reconstruction/score_p50,0.35718800127506256,0.8282493423462468,1888,43
ft_3,val_1,val,reconstruction/score_p50,0.43515634536743164,1.0090427326275768,1888,43
ft_4,val_1,val,reconstruction/score_p50,0.4217272698879242,0.9779033245441152,1888,43
merged,val_1,val,reconstruction/score_p50,0.37042127549648285,0.8589347254830071,1888,43
base,val_1,val,reconstruction/score_p95,0.6843903928995132,1.0,1888,43
ft_0,val_1,val,reconstruction/score_p95,0.597316923737526,0.8727722217240826,1888,43
ft_1,val_1,val,reconstruction/score_p95,0.571407550573349,0.834914628407484,1888,43
ft_2,val_1,val,reconstruction/score_p95,0.5707817256450654,0.8340002015908943,1888,43
ft_3,val_1,val,reconstruction/score_p95,0.6555174589157103,0.9578121868989441,1888,43
ft_4,val_1,val,reconstruction/score_p95,0.6969707369804382,1.0183818244841611,1888,43
merged,val_1,val,reconstruction/score_p95,0.4990737363696098,0.7292237610981298,1888,43
base,val_1,val,reconstruction/score_p99,0.7106020396947859,1.0,1888,43
ft_0,val_1,val,reconstruction/score_p99,0.6169298422336579,0.8681791041560174,1888,43
ft_1,val_1,val,reconstruction/score_p99,0.5883595931529998,0.8279734088656838,1888,43
ft_2,val_1,val,reconstruction/score_p99,0.5908660042285919,0.8315005744739737,1888,43
ft_3,val_1,val,reconstruction/score_p99,0.6817325222492218,0.9593731570796448,1888,43
