merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7984065025053857,449820,8
0.0,test,test,window_auprc,0.7018048668061962,449820,8
0.0,test,test,window_f1,0.7491503253958894,449820,8
0.0,test,test,window_precision,0.9905866341546401,449820,8
0.0,test,test,window_recall,0.6023412985759111,449820,8
0.0,test,test,point_auroc,0.8139520032008369,449820,8
0.0,test,test,point_auprc,0.7062297791948743,449820,8
0.0,test,test,point_f1,0.7657595514118511,449820,8
0.0,test,test,point_precision,0.975979127080911,449820,8
0.0,test,test,point_recall,0.6300507130956958,449820,8
0.0,test,test,pa_f1,0.8424082561906385,449820,8
0.0,test,test,pa_precision,0.9314864924810362,449820,8
0.0,test,test,pa_recall,0.7688801010600319,449820,8
0.0,test,test,event_f1,0.21951219512195122,449820,8
0.0,test,test,event_precision,0.19148936170212766,449820,8
0.0,test,test,event_recall,0.2571428571428571,449820,8
0.0,test,test,event_tp,9.0,449820,8
0.0,test,test,event_fp,38.0,449820,8
0.0,test,test,event_fn,26.0,449820,8
0.0,val_0,val,reconstruction/score_mean,0.10119975939145269,18463,8
0.0,val_0,val,reconstruction/score_std,0.1482775265709232,18463,8
0.0,val_0,val,reconstruction/score_p50,0.052643295377492905,18463,8
0.0,val_0,val,reconstruction/score_p95,0.3611944884061806,18463,8
0.0,val_0,val,reconstruction/score_p99,0.8476328599452998,18463,8
0.0,val_1,val,reconstruction/score_mean,0.07952229322868934,18463,8
0.0,val_1,val,reconstruction/score_std,0.1198986849931059,18463,8
0.0,val_1,val,reconstruction/score_p50,0.04304051026701927,18463,8
0.0,val_1,val,reconstruction/score_p95,0.30490261614322656,18463,8
0.0,val_1,val,reconstruction/score_p99,0.6912154638767245,18463,8
0.0,val_base,val,reconstruction/score_mean,0.04054224786551954,37026,8
0.0,val_base,val,reconstruction/score_std,0.10473505558350743,37026,8
0.0,val_base,val,reconstruction/score_p50,0.006450236309319735,37026,8
0.0,val_base,val,reconstruction/score_p95,0.24722885712981224,37026,8
0.0,val_base,val,reconstruction/score_p99,0.5925944447517395,37026,8
0.1,test,test,window_auroc,0.7984895794035951,449820,8
0.1,test,test,window_auprc,0.7018027327843822,449820,8
0.1,test,test,window_f1,0.7491639512948036,449820,8
0.1,test,test,window_precision,0.9901683005610019,449820,8
0.1,test,test,window_recall,0.6025137064239164,449820,8
0.1,test,test,point_auroc,0.8140409545285715,449820,8
0.1,test,test,point_auprc,0.7059809145690834,449820,8
0.1,test,test,point_f1,0.7657373000155759,449820,8
0.1,test,test,point_precision,0.9759507671364964,449820,8
0.1,test,test,point_recall,0.6300324051189103,449820,8
0.1,test,test,pa_f1,0.8421801993302184,449820,8
0.1,test,test,pa_precision,0.9309290005098309,449820,8
0.1,test,test,pa_recall,0.7688801010600319,449820,8
0.1,test,test,event_f1,0.225,449820,8
0.1,test,test,event_precision,0.2,449820,8
0.1,test,test,event_recall,0.2571428571428571,449820,8
0.1,test,test,event_tp,9.0,449820,8
0.1,test,test,event_fp,36.0,449820,8
0.1,test,test,event_fn,26.0,449820,8
0.1,val_0,val,reconstruction/score_mean,0.08897734141309277,18463,8
0.1,val_0,val,reconstruction/score_std,0.14380200741972832,18463,8
0.1,val_0,val,reconstruction/score_p50,0.04114465042948723,18463,8
0.1,val_0,val,reconstruction/score_p95,0.3439762383699416,18463,8
0.1,val_0,val,reconstruction/score_p99,0.8134208750724805,18463,8
0.1,val_1,val,reconstruction/score_mean,0.0690289763419487,18463,8
