model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.047453763851995186,1.0,37026,8
ft_0,val_base,val,reconstruction/score_mean,0.04551763664605451,0.9591997125458938,37026,8
ft_1,val_base,val,reconstruction/score_mean,0.04506359129343694,0.9496315494380378,37026,8
ft_2,val_base,val,reconstruction/score_mean,0.0499810459505426,1.053257779644831,37026,8
ft_3,val_base,val,reconstruction/score_mean,0.050865775722748606,1.071901817554351,37026,8
ft_4,val_base,val,reconstruction/score_mean,0.05270869245500959,1.110737867272323,37026,8
merged,val_base,val,reconstruction/score_mean,0.34719736258031125,7.316540025427581,37026,8
base,val_base,val,reconstruction/score_p50,0.007333203451707959,1.0,37026,8
ft_0,val_base,val,reconstruction/score_p50,0.007806457579135895,1.064535796742106,37026,8
ft_1,val_base,val,reconstruction/score_p50,0.006339280866086483,0.8644627014418939,37026,8
ft_2,val_base,val,reconstruction/score_p50,0.011800263542681932,1.6091553466900692,37026,8
ft_3,val_base,val,reconstruction/score_p50,0.013117013964802027,1.7887154026453438,37026,8
ft_4,val_base,val,reconstruction/score_p50,0.01484707836061716,2.024637453248234,37026,8
merged,val_base,val,reconstruction/score_p50,0.2904379516839981,39.60587669449603,37026,8
base,val_base,val,reconstruction/score_p95,0.275663286447525,1.0,37026,8
ft_0,val_base,val,reconstruction/score_p95,0.2752922847867012,0.998654149177408,37026,8
ft_1,val_base,val,reconstruction/score_p95,0.2757648006081581,1.0003682541913408,37026,8
ft_2,val_base,val,reconstruction/score_p95,0.28224457800388336,1.0238743854547028,37026,8
ft_3,val_base,val,reconstruction/score_p95,0.2824266850948334,1.02453499968918,37026,8
ft_4,val_base,val,reconstruction/score_p95,0.28425194323062897,1.0311563316747254,37026,8
merged,val_base,val,reconstruction/score_p95,0.6311628520488739,2.289615204776358,37026,8
base,val_base,val,reconstruction/score_p99,0.7591177672147751,1.0,37026,8
ft_0,val_base,val,reconstruction/score_p99,0.7141872346401215,0.9408121710291342,37026,8
ft_1,val_base,val,reconstruction/score_p99,0.7210066318511963,0.9497954902262271,37026,8
ft_2,val_base,val,reconstruction/score_p99,0.7299529165029526,0.9615805979369588,37026,8
ft_3,val_base,val,reconstruction/score_p99,0.7254150807857513,0.955602822270015,37026,8
ft_4,val_base,val,reconstruction/score_p99,0.7236238867044449,0.9532432488827679,37026,8
merged,val_base,val,reconstruction/score_p99,1.6114174723625183,2.1227503056276174,37026,8
base,val_base,val,reconstruction/score_std,0.1302282505878667,1.0,37026,8
ft_0,val_base,val,reconstruction/score_std,0.12270976899012291,0.9422668924461136,37026,8
ft_1,val_base,val,reconstruction/score_std,0.12543248069991117,0.9631741203133205,37026,8
