merge_scale,split,metric,value
0.0,test,forecast/mse,0.7620004415512085
0.0,test,forecast/rmse,0.872926366626194
0.0,test,forecast/mae,0.6417113542556763
0.05,test,forecast/mse,0.6950831413269043
0.05,test,forecast/rmse,0.8337164633896252
0.05,test,forecast/mae,0.6084555983543396
0.1,test,forecast/mse,0.6375992298126221
0.1,test,forecast/rmse,0.7984981088347186
0.1,test,forecast/mae,0.578167736530304
0.15,test,forecast/mse,0.5903443098068237
0.15,test,forecast/rmse,0.7683386686916283
0.15,test,forecast/mae,0.5519067049026489
0.2,test,forecast/mse,0.5533683896064758
0.2,test,forecast/rmse,0.7438873500782734
0.2,test,forecast/mae,0.530502438545227
0.25,test,forecast/mse,0.5259884595870972
0.25,test,forecast/rmse,0.7252506184672283
0.25,test,forecast/mae,0.514269232749939
0.3,test,forecast/mse,0.5070143342018127
0.3,test,forecast/rmse,0.7120493902825932
0.3,test,forecast/mae,0.5030897855758667
0.35,test,forecast/mse,0.49503639340400696
0.35,test,forecast/rmse,0.7035882271641609
0.35,test,forecast/mae,0.4964744448661804
0.4,test,forecast/mse,0.48866504430770874
0.4,test,forecast/rmse,0.6990458098777996
0.4,test,forecast/mae,0.49368780851364136
0.45,test,forecast/mse,0.4866592586040497
0.45,test,forecast/rmse,0.6976096749644816
0.45,test,forecast/mae,0.4939684569835663
0.5,test,forecast/mse,0.48802945017814636
0.5,test,forecast/rmse,0.6985910464485974
0.5,test,forecast/mae,0.49652203917503357
0.55,test,forecast/mse,0.4920288622379303
0.55,test,forecast/rmse,0.7014476903076453
0.55,test,forecast/mae,0.5007272362709045
0.6,test,forecast/mse,0.4981037378311157
0.6,test,forecast/rmse,0.7057646476206609
0.6,test,forecast/mae,0.506162703037262
0.65,test,forecast/mse,0.5058602690696716
0.65,test,forecast/rmse,0.711238545826695
0.65,test,forecast/mae,0.5125040411949158
0.7,test,forecast/mse,0.5150089263916016
0.7,test,forecast/rmse,0.7176412240051442
0.7,test,forecast/mae,0.5195011496543884
0.75,test,forecast/mse,0.5253446102142334
0.75,test,forecast/rmse,0.7248066019389127
0.75,test,forecast/mae,0.5269730091094971
0.8,test,forecast/mse,0.5367133021354675
0.8,test,forecast/rmse,0.7326071949793201
0.8,test,forecast/mae,0.5347929000854492
0.85,test,forecast/mse,0.5489762425422668
0.85,test,forecast/rmse,0.7409293100844823
0.85,test,forecast/mae,0.542883038520813
0.9,test,forecast/mse,0.5620113611221313
0.9,test,forecast/rmse,0.7496741699712824
0.9,test,forecast/mae,0.5511687397956848
0.95,test,forecast/mse,0.5757098197937012
0.95,test,forecast/rmse,0.7587554413601929
0.95,test,forecast/mae,0.5595845580101013
1.0,test,forecast/mse,0.5899783372879028
1.0,test,forecast/rmse,0.7681004734329375
1.0,test,forecast/mae,0.5680958032608032
1.05,test,forecast/mse,0.6047379374504089
1.05,test,forecast/rmse,0.7776489808714526
1.05,test,forecast/mae,0.576680600643158
1.1,test,forecast/mse,0.6199183464050293
1.1,test,forecast/rmse,0.7873489356092566
1.1,test,forecast/mae,0.5853317975997925
1.15,test,forecast/mse,0.6354806423187256
1.15,test,forecast/rmse,0.7971703972920254
1.15,test,forecast/mae,0.5940425395965576
1.2,test,forecast/mse,0.6513944268226624
