merge_scale,metric,value,selected
0.0,forecast/mse,0.40010613203048706,0
0.05,forecast/mse,0.37595099210739136,0
0.1,forecast/mse,0.35646769404411316,0
0.15,forecast/mse,0.34157705307006836,0
0.2,forecast/mse,0.33104607462882996,0
0.25,forecast/mse,0.32452720403671265,0
0.3,forecast/mse,0.3216624855995178,1
0.35,forecast/mse,0.3221324682235718,0
0.4,forecast/mse,0.3256478011608124,0
0.45,forecast/mse,0.3319742679595947,0
0.5,forecast/mse,0.34092894196510315,0
0.55,forecast/mse,0.3523557782173157,0
0.6,forecast/mse,0.3660658299922943,0
0.65,forecast/mse,0.38189443945884705,0
0.7,forecast/mse,0.39961838722229004,0
0.75,forecast/mse,0.41899949312210083,0
0.8,forecast/mse,0.43978193402290344,0
0.85,forecast/mse,0.4617401659488678,0
0.9,forecast/mse,0.48470592498779297,0
0.95,forecast/mse,0.5085664987564087,0
1.0,forecast/mse,0.5332294702529907,0
1.05,forecast/mse,0.5586371421813965,0
1.1,forecast/mse,0.5847258567810059,0
1.15,forecast/mse,0.6114448308944702,0
1.2,forecast/mse,0.6387238502502441,0
