merge_scale,split,metric,value
0.0,test,forecast/mse,0.6903795599937439
0.0,test,forecast/rmse,0.8308908231493136
0.0,test,forecast/mae,0.6833095550537109
0.05,test,forecast/mse,0.618728518486023
0.05,test,forecast/rmse,0.7865929814624734
0.05,test,forecast/mae,0.6473682522773743
0.1,test,forecast/mse,0.5513792634010315
0.1,test,forecast/rmse,0.7425491656456369
0.1,test,forecast/mae,0.6119369268417358
0.15,test,forecast/mse,0.48965591192245483
0.15,test,forecast/rmse,0.6997541796391464
0.15,test,forecast/mae,0.578260600566864
0.2,test,forecast/mse,0.4346345365047455
0.2,test,forecast/rmse,0.6592681825363222
0.2,test,forecast/mae,0.5482365489006042
0.25,test,forecast/mse,0.3875131905078888
0.25,test,forecast/rmse,0.6225055746801701
0.25,test,forecast/mae,0.523666501045227
0.3,test,forecast/mse,0.34928056597709656
0.3,test,forecast/rmse,0.5909996328062282
0.3,test,forecast/mae,0.5041912794113159
0.35,test,forecast/mse,0.320568710565567
0.35,test,forecast/rmse,0.566187875678707
0.35,test,forecast/mae,0.4887687563896179
0.4,test,forecast/mse,0.30153974890708923
0.4,test,forecast/rmse,0.549126350585263
0.4,test,forecast/mae,0.476943701505661
0.45,test,forecast/mse,0.2919663190841675
0.45,test,forecast/rmse,0.5403390778799618
0.45,test,forecast/mae,0.4685850143432617
0.5,test,forecast/mse,0.2913477122783661
0.5,test,forecast/rmse,0.5397663497091738
0.5,test,forecast/mae,0.46377772092819214
0.55,test,forecast/mse,0.2988824248313904
0.55,test,forecast/rmse,0.5467014037218035
0.55,test,forecast/mae,0.4628662168979645
0.6,test,forecast/mse,0.313613623380661
0.6,test,forecast/rmse,0.560012163600632
0.6,test,forecast/mae,0.4658305048942566
0.65,test,forecast/mse,0.334527850151062
0.65,test,forecast/rmse,0.5783838259763684
0.65,test,forecast/mae,0.4723894000053406
0.7,test,forecast/mse,0.3606221675872803
0.7,test,forecast/rmse,0.6005182491708976
0.7,test,forecast/mae,0.48196569085121155
0.75,test,forecast/mse,0.39097559452056885
0.75,test,forecast/rmse,0.6252804127114241
0.75,test,forecast/mae,0.49416178464889526
0.8,test,forecast/mse,0.4246751070022583
0.8,test,forecast/rmse,0.6516710113256983
0.8,test,forecast/mae,0.5086089968681335
0.85,test,forecast/mse,0.4609464704990387
0.85,test,forecast/rmse,0.6789303870788512
0.85,test,forecast/mae,0.5248452425003052
0.9,test,forecast/mse,0.49910372495651245
0.9,test,forecast/rmse,0.7064727347580461
0.9,test,forecast/mae,0.5422009229660034
0.95,test,forecast/mse,0.5385580658912659
0.95,test,forecast/rmse,0.733865155114525
0.95,test,forecast/mae,0.5602003335952759
1.0,test,forecast/mse,0.5788144469261169
1.0,test,forecast/rmse,0.7607985587040218
1.0,test,forecast/mae,0.5784863829612732
1.05,test,forecast/mse,0.619454026222229
1.05,test,forecast/rmse,0.7870540173471126
1.05,test,forecast/mae,0.5966888666152954
1.1,test,forecast/mse,0.6601219773292542
1.1,test,forecast/rmse,0.8124789088519493
1.1,test,forecast/mae,0.6145779490470886
1.15,test,forecast/mse,0.7005053162574768
1.15,test,forecast/rmse,0.836961956278466
1.15,test,forecast/mae,0.6319455504417419
1.2,test,forecast/mse,0.7403813004493713
1.2,test,forecast/rmse,0.8604541245466671
1.2,test,forecast/mae,0.6486716866493225
0.0,val,forecast/mse,0.3481074571609497
0.0,val,forecast/rmse,0.5900063195940783
0.0,val,forecast/mae,0.4433751106262207
0.05,val,forecast/mse,0.30943378806114197
0.05,val,forecast/rmse,0.5562677305588937
0.05,val,forecast/mae,0.4202699661254883
0.1,val,forecast/mse,0.2741416096687317
0.1,val,forecast/rmse,0.5235853413424899
0.1,val,forecast/mae,0.3985389769077301
0.15,val,forecast/mse,0.24266906082630157
0.15,val,forecast/rmse,0.4926145154441773
0.15,val,forecast/mae,0.3784673810005188
0.2,val,forecast/mse,0.21526551246643066
0.2,val,forecast/rmse,0.46396714589120497
0.2,val,forecast/mae,0.3606809973716736
0.25,val,forecast/mse,0.19209028780460358
0.25,val,forecast/rmse,0.4382810602850682
0.25,val,forecast/mae,0.3454543650150299
0.3,val,forecast/mse,0.17321278154850006
0.3,val,forecast/rmse,0.41618839670094127
0.3,val,forecast/mae,0.3326479494571686
0.35,val,forecast/mse,0.1584741473197937
0.35,val,forecast/rmse,0.3980881150195189
0.35,val,forecast/mae,0.32216978073120117
0.4,val,forecast/mse,0.14755474030971527
0.4,val,forecast/rmse,0.3841285465956875
0.4,val,forecast/mae,0.31410151720046997
0.45,val,forecast/mse,0.14011935889720917
0.45,val,forecast/rmse,0.3743252047314062
0.45,val,forecast/mae,0.30858805775642395
0.5,val,forecast/mse,0.13575321435928345
0.5,val,forecast/rmse,0.3684470306017996
0.5,val,forecast/mae,0.30580994486808777
0.55,val,forecast/mse,0.13406121730804443
0.55,val,forecast/rmse,0.36614371127747697
0.55,val,forecast/mae,0.30575019121170044
0.6,val,forecast/mse,0.13465027511119843
0.6,val,forecast/rmse,0.36694723750315716
0.6,val,forecast/mae,0.30797669291496277
0.65,val,forecast/mse,0.13718096911907196
0.65,val,forecast/rmse,0.3703794933835727
0.65,val,forecast/mae,0.31205201148986816
0.7,val,forecast/mse,0.14133907854557037
0.7,val,forecast/rmse,0.3759508991152573
0.7,val,forecast/mae,0.3174574375152588
0.75,val,forecast/mse,0.14684951305389404
0.75,val,forecast/rmse,0.383209489775363
0.75,val,forecast/mae,0.3238425552845001
0.8,val,forecast/mse,0.15350030362606049
0.8,val,forecast/rmse,0.39179114796797093
0.8,val,forecast/mae,0.33098894357681274
0.85,val,forecast/mse,0.16114027798175812
0.85,val,forecast/rmse,0.4014228169670455
0.85,val,forecast/mae,0.3386985957622528
0.9,val,forecast/mse,0.1696299910545349
0.9,val,forecast/rmse,0.4118616163889698
0.9,val,forecast/mae,0.3468274176120758
0.95,val,forecast/mse,0.17886827886104584
0.95,val,forecast/rmse,0.4229282195137206
0.95,val,forecast/mae,0.3553561270236969
1.0,val,forecast/mse,0.1887870877981186
1.0,val,forecast/rmse,0.4344963610873152
1.0,val,forecast/mae,0.36427605152130127
1.05,val,forecast/mse,0.19931767880916595
1.05,val,forecast/rmse,0.44645008546215553
1.05,val,forecast/mae,0.3735315501689911
1.1,val,forecast/mse,0.2104194611310959
1.1,val,forecast/rmse,0.4587150107976584
1.1,val,forecast/mae,0.3830246925354004
1.15,val,forecast/mse,0.22205761075019836
1.15,val,forecast/rmse,0.4712298916136352
1.15,val,forecast/mae,0.39267417788505554
1.2,val,forecast/mse,0.23419570922851562
1.2,val,forecast/rmse,0.4839377121371258
1.2,val,forecast/mae,0.402468204498291
