merge_scale,metric,value,selected
0.0,forecast/mse,0.3880251944065094,0
0.05,forecast/mse,0.3389127552509308,0
0.1,forecast/mse,0.29413825273513794,0
0.15,forecast/mse,0.2552573084831238,0
0.2,forecast/mse,0.2228284478187561,0
0.25,forecast/mse,0.19684858620166779,0
0.3,forecast/mse,0.17706294357776642,0
0.35,forecast/mse,0.1628313809633255,0
0.4,forecast/mse,0.15333706140518188,0
0.45,forecast/mse,0.14776906371116638,0
0.5,forecast/mse,0.14539198577404022,0
0.55,forecast/mse,0.14536109566688538,1
0.6,forecast/mse,0.14642736315727234,0
0.65,forecast/mse,0.14876271784305573,0
0.7,forecast/mse,0.1524423360824585,0
0.75,forecast/mse,0.15725837647914886,0
0.8,forecast/mse,0.16303949058055878,0
0.85,forecast/mse,0.16969408094882965,0
0.9,forecast/mse,0.17712686955928802,0
0.95,forecast/mse,0.1852913200855255,0
1.0,forecast/mse,0.194157212972641,0
1.05,forecast/mse,0.20368258655071259,0
1.1,forecast/mse,0.2138533592224121,0
1.15,forecast/mse,0.22467640042304993,0
1.2,forecast/mse,0.236134335398674,0
