merge_scale,split,metric,value,n_windows,eval_seed
0.0,test,forecast/mse,0.6131782531738281,3365,43
0.0,test,forecast/rmse,0.7830569922897235,3365,43
0.0,test,forecast/mae,0.5674749612808228,3365,43
0.1,test,forecast/mse,0.5379316210746765,3365,43
0.1,test,forecast/rmse,0.7334382189896274,3365,43
0.1,test,forecast/mae,0.5203191041946411,3365,43
0.2,test,forecast/mse,0.4855625033378601,3365,43
0.2,test,forecast/rmse,0.6968231506902308,3365,43
0.2,test,forecast/mae,0.4852917790412903,3365,43
0.3,test,forecast/mse,0.4518812298774719,3365,43
0.3,test,forecast/rmse,0.6722211168041896,3365,43
0.3,test,forecast/mae,0.4633500277996063,3365,43
0.4,test,forecast/mse,0.43241727352142334,3365,43
0.4,test,forecast/rmse,0.6575844231134306,3365,43
0.4,test,forecast/mae,0.4534552991390228,3365,43
0.5,test,forecast/mse,0.4235711097717285,3365,43
0.5,test,forecast/rmse,0.6508234090532765,3365,43
0.5,test,forecast/mae,0.45278093218803406,3365,43
0.6,test,forecast/mse,0.4228018522262573,3365,43
0.6,test,forecast/rmse,0.65023215256265,3365,43
0.6,test,forecast/mae,0.45803457498550415,3365,43
0.7,test,forecast/mse,0.42823874950408936,3365,43
0.7,test,forecast/rmse,0.6543995335451342,3365,43
0.7,test,forecast/mae,0.46685826778411865,3365,43
0.8,test,forecast/mse,0.438434362411499,3365,43
0.8,test,forecast/rmse,0.662143762646375,3365,43
0.8,test,forecast/mae,0.4779149293899536,3365,43
0.9,test,forecast/mse,0.4521501362323761,3365,43
0.9,test,forecast/rmse,0.6724211003771194,3365,43
0.9,test,forecast/mae,0.4902958273887634,3365,43
1.0,test,forecast/mse,0.4684334099292755,3365,43
1.0,test,forecast/rmse,0.6844219531321855,3365,43
1.0,test,forecast/mae,0.5034656524658203,3365,43
1.1,test,forecast/mse,0.486746609210968,3365,43
1.1,test,forecast/rmse,0.6976722792335726,3365,43
1.1,test,forecast/mae,0.5172387957572937,3365,43
1.2,test,forecast/mse,0.5067012906074524,3365,43
1.2,test,forecast/rmse,0.7118295376053542,3365,43
1.2,test,forecast/mae,0.5315161943435669,3365,43
1.3,test,forecast/mse,0.527988076210022,3365,43
1.3,test,forecast/rmse,0.7266278801491325,3365,43
1.3,test,forecast/mae,0.5462380647659302,3365,43
1.4,test,forecast/mse,0.5505473017692566,3365,43
1.4,test,forecast/rmse,0.7419887477376301,3365,43
1.4,test,forecast/mae,0.5614410042762756,3365,43
1.5,test,forecast/mse,0.574431300163269,3365,43
1.5,test,forecast/rmse,0.7579124620714909,3365,43
1.5,test,forecast/mae,0.5771597623825073,3365,43
