merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7023149728775024,3365,43
0.0,test,test,forecast/rmse,0.8380423455157278,3365,43
0.0,test,test,forecast/mae,0.6130709052085876,3365,43
0.0,val_0,val,forecast/mse,0.5467001795768738,229,43
0.0,val_0,val,forecast/rmse,0.7393917632600959,229,43
0.0,val_0,val,forecast/mae,0.5676957368850708,229,43
0.0,val_1,val,forecast/mse,0.350798100233078,229,43
0.0,val_1,val,forecast/rmse,0.5922821120319928,229,43
0.0,val_1,val,forecast/mae,0.40200671553611755,229,43
0.0,val_2,val,forecast/mse,0.5192742347717285,229,43
0.0,val_2,val,forecast/rmse,0.7206068517379838,229,43
0.0,val_2,val,forecast/mae,0.554483950138092,229,43
0.0,val_base,val,forecast/mse,0.32120075821876526,926,43
0.0,val_base,val,forecast/rmse,0.5667457615357747,926,43
0.0,val_base,val,forecast/mae,0.39565616846084595,926,43
0.1,test,test,forecast/mse,0.5997939705848694,3365,43
0.1,test,test,forecast/rmse,0.7744636664071913,3365,43
0.1,test,test,forecast/mae,0.5592087507247925,3365,43
0.1,val_0,val,forecast/mse,0.452166348695755,229,43
0.1,val_0,val,forecast/rmse,0.6724331555595359,229,43
0.1,val_0,val,forecast/mae,0.5056093335151672,229,43
0.1,val_1,val,forecast/mse,0.29113832116127014,229,43
0.1,val_1,val,forecast/rmse,0.5395723502564509,229,43
0.1,val_1,val,forecast/mae,0.3684420585632324,229,43
0.1,val_2,val,forecast/mse,0.45483535528182983,229,43
0.1,val_2,val,forecast/rmse,0.6744148243342741,229,43
0.1,val_2,val,forecast/mae,0.511391282081604,229,43
0.1,val_base,val,forecast/mse,0.30758243799209595,926,43
0.1,val_base,val,forecast/rmse,0.5546011521734299,926,43
0.1,val_base,val,forecast/mae,0.3891145586967468,926,43
0.2,test,test,forecast/mse,0.5305632948875427,3365,43
0.2,test,test,forecast/rmse,0.7283977587057382,3365,43
0.2,test,test,forecast/mae,0.5188384056091309,3365,43
0.2,val_0,val,forecast/mse,0.3981826901435852,229,43
0.2,val_0,val,forecast/rmse,0.6310171868844661,229,43
