merge_scale,split,metric,value,n_windows,eval_seed
0.0,test,window_auroc,0.7740337839641855,87742,43
0.0,test,window_auprc,0.6378703390718655,87742,43
0.0,test,window_f1,0.6360834796177102,87742,43
0.0,test,window_precision,0.516208686843105,87742,43
0.0,test,window_recall,0.8284727161873793,87742,43
0.0,test,point_auroc,0.7711498688596963,87742,43
0.0,test,point_auprc,0.5629997286698493,87742,43
0.0,test,point_f1,0.5817096662140399,87742,43
0.0,test,point_precision,0.47286682410925146,87742,43
0.0,test,point_recall,0.7556403314463861,87742,43
0.0,test,pa_f1,0.8066701655613341,87742,43
0.0,test,pa_precision,0.9639110604332953,87742,43
0.0,test,pa_recall,0.6935351546476332,87742,43
0.0,test,event_f1,0.22943722943722944,87742,43
0.0,test,event_precision,0.13554987212276215,87742,43
0.0,test,event_recall,0.7464788732394366,87742,43
0.0,test,event_tp,53.0,87742,43
0.0,test,event_fp,338.0,87742,43
0.0,test,event_fn,18.0,87742,43
0.25,test,window_auroc,0.7877869611038881,87742,43
0.25,test,window_auprc,0.6398064701041015,87742,43
0.25,test,window_f1,0.6465538016628509,87742,43
0.25,test,window_precision,0.5821421790664244,87742,43
0.25,test,window_recall,0.7269925143108763,87742,43
0.25,test,point_auroc,0.7828640718439849,87742,43
0.25,test,point_auprc,0.5588266902223422,87742,43
0.25,test,point_f1,0.5919989553919729,87742,43
0.25,test,point_precision,0.4916099650302258,87742,43
0.25,test,point_recall,0.7439084420379031,87742,43
0.25,test,pa_f1,0.7667198004019683,87742,43
0.25,test,pa_precision,0.6636870838082668,87742,43
0.25,test,pa_recall,0.9076216260562803,87742,43
0.25,test,event_f1,0.27586206896551724,87742,43
0.25,test,event_precision,0.16716417910447762,87742,43
0.25,test,event_recall,0.7887323943661971,87742,43
0.25,test,event_tp,56.0,87742,43
0.25,test,event_fp,279.0,87742,43
0.25,test,event_fn,15.0,87742,43
0.5,test,window_auroc,0.7973103756427182,87742,43
0.5,test,window_auprc,0.6435135650193626,87742,43
0.5,test,window_f1,0.6620227395477019,87742,43
0.5,test,window_precision,0.5599493979290634,87742,43
0.5,test,window_recall,0.8096060698438505,87742,43
0.5,test,point_auroc,0.7940676078143833,87742,43
0.5,test,point_auprc,0.5601235822856695,87742,43
0.5,test,point_f1,0.6037570249571779,87742,43
0.5,test,point_precision,0.46095151633054493,87742,43
0.5,test,point_recall,0.8747641315940602,87742,43
0.5,test,pa_f1,0.7699003086888315,87742,43
0.5,test,pa_precision,0.6538031800601632,87742,43
0.5,test,pa_recall,0.9361309377307409,87742,43
0.5,test,event_f1,0.20701168614357263,87742,43
0.5,test,event_precision,0.11742424242424243,87742,43
0.5,test,event_recall,0.8732394366197183,87742,43
0.5,test,event_tp,62.0,87742,43
0.5,test,event_fp,466.0,87742,43
0.5,test,event_fn,9.0,87742,43
0.75,test,window_auroc,0.8018151461719879,87742,43
0.75,test,window_auprc,0.6472953861673376,87742,43
0.75,test,window_f1,0.6801927466396145,87742,43
0.75,test,window_precision,0.56128563246244,87742,43
0.75,test,window_recall,0.8630220506046133,87742,43
0.75,test,point_auroc,0.8015810769197917,87742,43
0.75,test,point_auprc,0.5646174432215838,87742,43
0.75,test,point_f1,0.6259047894242578,87742,43
0.75,test,point_precision,0.4831054709280282,87742,43
0.75,test,point_recall,0.888547050619411,87742,43
0.75,test,pa_f1,0.772401888612479,87742,43
0.75,test,pa_precision,0.6574194105954542,87742,43
0.75,test,pa_recall,0.9361309377307409,87742,43
0.75,test,event_f1,0.2016528925619835,87742,43
0.75,test,event_precision,0.11423220973782772,87742,43
0.75,test,event_recall,0.8591549295774648,87742,43
0.75,test,event_tp,61.0,87742,43
0.75,test,event_fp,473.0,87742,43
0.75,test,event_fn,10.0,87742,43
1.0,test,window_auroc,0.7991055934290724,87742,43
1.0,test,window_auprc,0.6466631845838908,87742,43
1.0,test,window_f1,0.6789974569383636,87742,43
1.0,test,window_precision,0.5538352971366252,87742,43
1.0,test,window_recall,0.8772482471293568,87742,43
1.0,test,point_auroc,0.8019004505604911,87742,43
1.0,test,point_auprc,0.5662873963009494,87742,43
1.0,test,point_f1,0.6288667152013475,87742,43
1.0,test,point_precision,0.4822550629447181,87742,43
1.0,test,point_recall,0.9035605874148823,87742,43
1.0,test,pa_f1,0.771621781943291,87742,43
1.0,test,pa_precision,0.6574440433212997,87742,43
1.0,test,pa_recall,0.9337927639675117,87742,43
1.0,test,event_f1,0.27488151658767773,87742,43
1.0,test,event_precision,0.16524216524216523,87742,43
1.0,test,event_recall,0.8169014084507042,87742,43
1.0,test,event_tp,58.0,87742,43
1.0,test,event_fp,293.0,87742,43
