model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.16291104810693174,1.0,9837,43
ft_0,val_base,val,reconstruction/score_mean,0.16931301766026247,1.0392973320577288,9837,43
ft_1,val_base,val,reconstruction/score_mean,0.18326985694243073,1.1249688653536611,9837,43
ft_2,val_base,val,reconstruction/score_mean,0.1776380866612223,1.0903992622073366,9837,43
merged,val_base,val,reconstruction/score_mean,0.2688304827206501,1.6501672897236215,9837,43
base,val_base,val,reconstruction/score_p50,0.0915706604719162,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p50,0.10098262876272202,1.1027836671953717,9837,43
ft_1,val_base,val,reconstruction/score_p50,0.11796052753925323,1.2881912932737942,9837,43
ft_2,val_base,val,reconstruction/score_p50,0.11041426658630371,1.2057821360824044,9837,43
merged,val_base,val,reconstruction/score_p50,0.2079268991947174,2.2706716116619745,9837,43
base,val_base,val,reconstruction/score_p95,0.37183663845062254,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p95,0.37348729968070926,1.0044392108237767,9837,43
ft_1,val_base,val,reconstruction/score_p95,0.3908184051513671,1.0510486722874814,9837,43
ft_2,val_base,val,reconstruction/score_p95,0.38631932139396646,1.0389490476347105,9837,43
merged,val_base,val,reconstruction/score_p95,0.49018954038619894,1.3182927385228416,9837,43
base,val_base,val,reconstruction/score_p99,1.6528271102905272,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p99,1.6597394180297846,1.00418211178666,9837,43
ft_1,val_base,val,reconstruction/score_p99,1.6713619232177728,1.0112140058762635,9837,43
ft_2,val_base,val,reconstruction/score_p99,1.6153596210479733,0.977331271365722,9837,43
merged,val_base,val,reconstruction/score_p99,1.739955239295959,1.052714605455689,9837,43
base,val_base,val,reconstruction/score_std,0.26682087790278747,1.0,9837,43
ft_0,val_base,val,reconstruction/score_std,0.2684946660023271,1.0062730777017734,9837,43
ft_1,val_base,val,reconstruction/score_std,0.2642053633252317,0.9901974890491564,9837,43
ft_2,val_base,val,reconstruction/score_std,0.25915703444887195,0.9712771972187734,9837,43
merged,val_base,val,reconstruction/score_std,0.2625010620043195,0.9838100528998266,9837,43
base,val_0,val,reconstruction/score_mean,0.2828974760616638,1.0,3213,43
ft_0,val_0,val,reconstruction/score_mean,0.21895790658949174,0.7739832452296781,3213,43
ft_1,val_0,val,reconstruction/score_mean,0.21597270635088545,0.7634310116779175,3213,43
ft_2,val_0,val,reconstruction/score_mean,0.2686474460110166,0.9496282884915483,3213,43
merged,val_0,val,reconstruction/score_mean,0.2430371537855619,0.8590997599872066,3213,43
base,val_0,val,reconstruction/score_p50,0.2576063573360443,1.0,3213,43
ft_0,val_0,val,reconstruction/score_p50,0.1975986808538437,0.7670566941641066,3213,43
ft_1,val_0,val,reconstruction/score_p50,0.19312942028045654,0.7497075082992676,3213,43
ft_2,val_0,val,reconstruction/score_p50,0.2455248087644577,0.9531007359580557,3213,43
merged,val_0,val,reconstruction/score_p50,0.21549277007579803,0.8365196119546474,3213,43
base,val_0,val,reconstruction/score_p95,0.6416945338249203,1.0,3213,43
ft_0,val_0,val,reconstruction/score_p95,0.5092880964279172,0.7936612665098238,3213,43
ft_1,val_0,val,reconstruction/score_p95,0.49043663144111616,0.7642836358879235,3213,43
ft_2,val_0,val,reconstruction/score_p95,0.602254593372345,0.9385378269977035,3213,43
merged,val_0,val,reconstruction/score_p95,0.4939872622489927,0.7698168461939432,3213,43
base,val_0,val,reconstruction/score_p99,0.883561043739319,1.0,3213,43
ft_0,val_0,val,reconstruction/score_p99,0.8032687878608704,0.9091265324027373,3213,43
ft_1,val_0,val,reconstruction/score_p99,0.8028222489356996,0.9086211469193746,3213,43
ft_2,val_0,val,reconstruction/score_p99,0.8806444239616399,0.9966990172344679,3213,43
merged,val_0,val,reconstruction/score_p99,0.7971001219749456,0.9021449368133502,3213,43
base,val_0,val,reconstruction/score_std,0.15429144208006954,1.0,3213,43
ft_0,val_0,val,reconstruction/score_std,0.12993861615527436,0.8421634693636652,3213,43
