model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.040930658312566266,1.0,37026,43
ft_0,val_base,val,reconstruction/score_mean,0.042000751297694365,1.0261440453011128,37026,43
ft_1,val_base,val,reconstruction/score_mean,0.05055359699019577,1.2351034426112597,37026,43
ft_2,val_base,val,reconstruction/score_mean,0.05783686718941161,1.413045124946229,37026,43
merged,val_base,val,reconstruction/score_mean,0.20962626866246523,5.121497608507975,37026,43
base,val_base,val,reconstruction/score_p50,0.006717622745782137,1.0,37026,43
ft_0,val_base,val,reconstruction/score_p50,0.010037566535174847,1.4942140865944336,37026,43
ft_1,val_base,val,reconstruction/score_p50,0.018985864706337452,2.826277304461359,37026,43
ft_2,val_base,val,reconstruction/score_p50,0.02643020823597908,3.9344585482377807,37026,43
merged,val_base,val,reconstruction/score_p50,0.17986464500427246,26.775044061116105,37026,43
base,val_base,val,reconstruction/score_p95,0.24210871383547783,1.0,37026,43
ft_0,val_base,val,reconstruction/score_p95,0.241754200309515,0.9985357258714623,37026,43
ft_1,val_base,val,reconstruction/score_p95,0.25045283138751984,1.0344643421537985,37026,43
ft_2,val_base,val,reconstruction/score_p95,0.2586526423692703,1.0683326439255496,37026,43
merged,val_base,val,reconstruction/score_p95,0.43634843826293945,1.8022830791602775,37026,43
base,val_base,val,reconstruction/score_p99,0.5962883532047272,1.0,37026,43
ft_0,val_base,val,reconstruction/score_p99,0.581207200884819,0.9747082896406494,37026,43
ft_1,val_base,val,reconstruction/score_p99,0.5888828933238983,0.9875807403565263,37026,43
ft_2,val_base,val,reconstruction/score_p99,0.5836737900972366,0.978844860813239,37026,43
merged,val_base,val,reconstruction/score_p99,0.8827880769968033,1.4804717755299013,37026,43
base,val_base,val,reconstruction/score_std,0.10618744771625621,1.0,37026,43
ft_0,val_base,val,reconstruction/score_std,0.10254117019588908,0.9656618781335591,37026,43
ft_1,val_base,val,reconstruction/score_std,0.10313349550240769,0.9712399885341534,37026,43
ft_2,val_base,val,reconstruction/score_std,0.10178934924433447,0.9585817479701187,37026,43
merged,val_base,val,reconstruction/score_std,0.12863452279907273,1.2113910407075363,37026,43
base,val_0,val,reconstruction/score_mean,0.05250798562315829,1.0,12276,43
ft_0,val_0,val,reconstruction/score_mean,0.038873971414862464,0.7403439867957411,12276,43
ft_1,val_0,val,reconstruction/score_mean,0.040448846046410136,0.7703370366691509,12276,43
ft_2,val_0,val,reconstruction/score_mean,0.04518463273595505,0.8605287786173742,12276,43
merged,val_0,val,reconstruction/score_mean,0.16698959762938795,3.1802704988122477,12276,43
base,val_0,val,reconstruction/score_p50,0.019688566215336323,1.0,12276,43
ft_0,val_0,val,reconstruction/score_p50,0.007379032671451569,0.37478771134201244,12276,43
ft_1,val_0,val,reconstruction/score_p50,0.008981185965240002,0.45616251925161244,12276,43
ft_2,val_0,val,reconstruction/score_p50,0.014026281423866749,0.7124074587483693,12276,43
merged,val_0,val,reconstruction/score_p50,0.13633668422698975,6.924662910232177,12276,43
base,val_0,val,reconstruction/score_p95,0.24639993160963058,1.0,12276,43
