merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.8004706378186169,449820,43
0.0,test,test,window_auprc,0.7035060501343087,449820,43
0.0,test,test,window_f1,0.7508107295492129,449820,43
0.0,test,test,window_precision,0.9953308279239267,449820,43
0.0,test,test,window_recall,0.6027378366263232,449820,43
0.0,test,test,point_auroc,0.8158857541850486,449820,43
0.0,test,test,point_auprc,0.7085957398240017,449820,43
0.0,test,test,point_f1,0.767294896514829,449820,43
0.0,test,test,point_precision,0.9806278844510284,449820,43
0.0,test,test,point_recall,0.6301971769099797,449820,43
0.0,test,test,pa_f1,0.8372952557914083,449820,43
0.0,test,test,pa_precision,0.9336110798333521,449820,43
0.0,test,test,pa_recall,0.7589937935958697,449820,43
0.0,test,test,event_f1,0.34782608695652173,449820,43
0.0,test,test,event_precision,0.7272727272727273,449820,43
0.0,test,test,event_recall,0.22857142857142856,449820,43
0.0,test,test,event_tp,8.0,449820,43
0.0,test,test,event_fp,3.0,449820,43
0.0,test,test,event_fn,27.0,449820,43
0.0,val_0,val,reconstruction/score_mean,0.05250798562315829,12276,43
0.0,val_0,val,reconstruction/score_std,0.11184620085261597,12276,43
0.0,val_0,val,reconstruction/score_p50,0.019688566215336323,12276,43
0.0,val_0,val,reconstruction/score_p95,0.24639993160963058,12276,43
0.0,val_0,val,reconstruction/score_p99,0.6514112204313278,12276,43
0.0,val_1,val,reconstruction/score_mean,0.062309424901783525,12276,43
0.0,val_1,val,reconstruction/score_std,0.11506448428249921,12276,43
0.0,val_1,val,reconstruction/score_p50,0.026582972146570683,12276,43
0.0,val_1,val,reconstruction/score_p95,0.2717408537864685,12276,43
0.0,val_1,val,reconstruction/score_p99,0.675940066576004,12276,43
0.0,val_2,val,reconstruction/score_mean,0.08645009454527888,12276,43
0.0,val_2,val,reconstruction/score_std,0.11908225788435968,12276,43
0.0,val_2,val,reconstruction/score_p50,0.05011618509888649,12276,43
0.0,val_2,val,reconstruction/score_p95,0.3067878484725952,12276,43
0.0,val_2,val,reconstruction/score_p99,0.7231767028570175,12276,43
0.0,val_base,val,reconstruction/score_mean,0.040930658312566266,37026,43
0.0,val_base,val,reconstruction/score_std,0.10618744771625621,37026,43
0.0,val_base,val,reconstruction/score_p50,0.006717622745782137,37026,43
0.0,val_base,val,reconstruction/score_p95,0.24210871383547783,37026,43
