trial,params,seed,extra_args,job_id,script_path
0,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59065,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_0.sh
1,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59066,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_1.sh
2,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59067,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_2.sh
3,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59068,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_3.sh
4,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59069,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_4.sh
5,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""0.5""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59070,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_5.sh
6,"{""finetune_trainer_reg_lambda"": ""0.0"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59071,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_6.sh
7,"{""finetune_trainer_reg_lambda"": ""1e-3"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59072,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_7.sh
8,"{""finetune_trainer_reg_lambda"": ""1e-2"", ""pipeline_merge_scale"": ""1.0""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59073,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_8.sh
9,"{""dataset_baseline_fraction"": ""0.3""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59074,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_9.sh
10,"{""dataset_baseline_fraction"": ""0.7""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59075,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_10.sh
11,"{""dataset_val_fraction"": ""0.05""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59076,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_11.sh
12,"{""dataset_val_fraction"": ""0.15""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59077,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_12.sh
13,"{""dataset_n_finetune_segments"": ""2""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59078,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_13.sh
14,"{""dataset_n_finetune_segments"": ""5""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59079,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_14.sh
0,"{""dataset_n_finetune_segments"": ""2"", ""dataset_val_fraction"": ""0.05""}",42,"[""--mae_tx_patch_len"", ""4"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_encoder_layers"", ""3"", ""--mae_tx_encoder_heads"", ""4"", ""--mae_tx_decoder_embed_dim"", ""64"", ""--mae_tx_decoder_layers"", ""2"", ""--mae_tx_decoder_heads"", ""4"", ""--mae_tx_mask_ratio"", ""0.5""]",59110,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/etth_forecast_train_incremental_trial_0.sh
