trial,params,seed,extra_args,job_id,script_path
0,"{""mae_tx_mask_ratio"": ""0.5"", ""mae_tx_patch_len"": ""5""}",42,[],58325,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_0.sh
1,"{""mae_tx_mask_ratio"": ""0.65"", ""mae_tx_patch_len"": ""5""}",42,[],58326,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_1.sh
2,"{""mae_tx_mask_ratio"": ""0.8"", ""mae_tx_patch_len"": ""5""}",42,[],58327,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_2.sh
3,"{""mae_tx_mask_ratio"": ""0.5"", ""mae_tx_patch_len"": ""10""}",42,[],58328,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_3.sh
4,"{""mae_tx_mask_ratio"": ""0.65"", ""mae_tx_patch_len"": ""10""}",42,[],58329,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_4.sh
5,"{""mae_tx_mask_ratio"": ""0.8"", ""mae_tx_patch_len"": ""10""}",42,[],58330,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_5.sh
6,"{""mae_tx_mask_ratio"": ""0.5"", ""mae_tx_patch_len"": ""20""}",42,[],58331,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_6.sh
7,"{""mae_tx_mask_ratio"": ""0.65"", ""mae_tx_patch_len"": ""20""}",42,[],58332,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_7.sh
8,"{""mae_tx_mask_ratio"": ""0.8"", ""mae_tx_patch_len"": ""20""}",42,[],58333,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_8.sh
9,"{""mae_tx_encoder_layers"": ""3""}",42,[],58334,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_9.sh
10,"{""mae_tx_encoder_layers"": ""4""}",42,[],58335,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_10.sh
11,"{""mae_tx_encoder_heads"": ""4""}",42,[],58336,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_11.sh
12,"{""mae_tx_encoder_embed_dim"": ""128""}",42,[],58337,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_12.sh
13,"{""mae_tx_encoder_embed_dim"": ""512""}",42,[],58338,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_13.sh
14,"{""mae_tx_decoder_layers"": ""2""}",42,[],58339,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_14.sh
15,"{""mae_tx_decoder_heads"": ""4""}",42,[],58340,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_15.sh
16,"{""mae_tx_decoder_embed_dim"": ""64""}",42,[],58341,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_16.sh
17,"{""mae_tx_decoder_embed_dim"": ""256""}",42,[],58342,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_17.sh
0,"{""mae_tx_mask_ratio"": ""0.5"", ""mae_tx_patch_len"": ""25""}",42,[],58829,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_0.sh
1,"{""mae_tx_mask_ratio"": ""0.65"", ""mae_tx_patch_len"": ""25""}",42,[],58830,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_1.sh
2,"{""mae_tx_mask_ratio"": ""0.8"", ""mae_tx_patch_len"": ""25""}",42,[],58831,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_2.sh
3,"{""mae_tx_mask_ratio"": ""0.5"", ""mae_tx_patch_len"": ""50""}",42,[],58832,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_3.sh
4,"{""mae_tx_mask_ratio"": ""0.65"", ""mae_tx_patch_len"": ""50""}",42,[],58833,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_4.sh
5,"{""mae_tx_mask_ratio"": ""0.8"", ""mae_tx_patch_len"": ""50""}",42,[],58834,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_model_trial_5.sh
