trial,params,seed,extra_args,job_id,script_path
0,"{""dataset_val_fraction"": ""0.10"", ""trainer_learning_rate"": ""1e-4""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58950,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_0.sh
1,"{""dataset_val_fraction"": ""0.10"", ""trainer_learning_rate"": ""3e-4""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58951,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_1.sh
2,"{""dataset_val_fraction"": ""0.15"", ""trainer_learning_rate"": ""1e-4""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58952,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_2.sh
3,"{""dataset_val_fraction"": ""0.15"", ""trainer_learning_rate"": ""3e-4""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58953,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_3.sh
4,"{""dataset_val_fraction"": ""0.20"", ""trainer_learning_rate"": ""1e-4""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58954,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_4.sh
5,"{""dataset_val_fraction"": ""0.20"", ""trainer_learning_rate"": ""3e-4""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58955,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_5.sh
6,"{""trainer_weight_decay"": ""1e-3""}",42,"[""--mae_tx_patch_len"", ""25"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""256"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",58956,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_6.sh
0,"{""dataset_val_fraction"": ""0.10"", ""trainer_learning_rate"": ""1e-4""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",59088,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_0.sh
1,"{""dataset_val_fraction"": ""0.10"", ""trainer_learning_rate"": ""3e-4""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",59089,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_1.sh
2,"{""dataset_val_fraction"": ""0.15"", ""trainer_learning_rate"": ""1e-4""}",42,"[""--mae_tx_patch_len"", ""5"", ""--mae_tx_mask_ratio"", ""0.8"", ""--mae_tx_encoder_layers"", ""2"", ""--mae_tx_encoder_heads"", ""2"", ""--mae_tx_encoder_embed_dim"", ""128"", ""--mae_tx_decoder_layers"", ""1"", ""--mae_tx_decoder_heads"", ""2"", ""--mae_tx_decoder_embed_dim"", ""128""]",59090,/work/tesi_ddellacasaventurelli01/incremental-ad/slurm_grid_search/_generated_sbatch/psm_train_standard_trial_2.sh
