run_id,seed,status,model,dataset,task,pipeline,eval_seed,experiment_name,mae_tx_patch_len,mae_tx_encoder_embed_dim,mae_tx_encoder_layers,mae_tx_encoder_heads,mae_tx_decoder_embed_dim,mae_tx_decoder_layers,mae_tx_decoder_heads,mae_tx_mask_ratio,mae_tx_n_eval_passes,mae_tx_training_mode,mae_tx_patch_norm,mae_tx_instance_norm,dataset_baseline_fraction,dataset_baseline_use_fraction,dataset_n_finetune_segments,dataset_val_fraction,dataset_window_len,dataset_stride,dataset_normalization,loader_batch_size,loader_num_workers,trainer_n_epochs,trainer_patience,trainer_optimizer,trainer_weight_decay,trainer_learning_rate,trainer_grad_clip,trainer_scheduler,trainer_warmup_ratio,trainer_device,trainer_checkpoint_interval,trainer_reg_lambda,trainer_reg_exclude,configurator_threshold_strategy,configurator_threshold_percentile,configurator_debug,train_test_window_auroc,train_test_window_auprc,train_test_window_f1,train_test_window_precision,train_test_window_recall,train_test_point_auroc,train_test_point_auprc,train_test_point_f1,train_test_point_precision,train_test_point_recall,train_test_pa_f1,train_test_pa_precision,train_test_pa_recall,train_test_event_f1,train_test_event_precision,train_test_event_recall,train_test_event_tp,train_test_event_fp,train_test_event_fn,train_val_reconstruction/score_mean,train_val_reconstruction/score_std,train_val_reconstruction/score_p50,train_val_reconstruction/score_p95,train_val_reconstruction/score_p99
58950,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.1,100,50,standard,64,4,300,30,adamw,0.01,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8173462191245634,0.6691269679883446,0.7074031874639547,0.6049124326404927,0.8517088371777936,0.8151584870761364,0.582415787397341,0.655193171469585,0.5252295280754288,0.8706210517679875,0.7729360560133496,0.6656099078545821,0.921527606858643,0.14403778040141677,0.07860824742268041,0.8591549295774648,61.0,715.0,10.0,0.2535265740093573,0.1905397638524321,0.21203315258026123,0.4923641145229338,1.4074035835266114
58951,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.1,100,50,standard,64,4,300,30,adamw,0.01,0.0003,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8080620500539499,0.650942772534045,0.6880717030902103,0.5918272749451086,0.8216983368898825,0.8058750309428263,0.5602222084141185,0.6364095423176386,0.5075293485954165,0.8530232176552629,0.7723976768961133,0.6645771732702543,0.9219788333743539,0.1507024265644955,0.08286516853932584,0.8309859154929577,59.0,653.0,12.0,0.25228799865951884,0.18721537454640635,0.20904992520809174,0.4850534081459041,1.391198444366458
58952,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.15,100,50,standard,64,4,300,30,adamw,0.01,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8205198795093694,0.6631450603897032,0.7191197418529608,0.6298408656906429,0.8378891034109,0.8192731109864447,0.5753482081100492,0.6696841142424577,0.5439778637493274,0.8709492165066863,0.7724747994239868,0.6635447959003358,0.924193945360571,0.1878980891719745,0.1059245960502693,0.8309859154929577,59.0,498.0,12.0,0.28559370016446395,0.20960225437036914,0.22596383094787598,0.5954713106155394,1.3108314228057831
58953,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.15,100,50,standard,64,4,300,30,adamw,0.01,0.0003,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8058560123989608,0.6503353575338885,0.690171514597559,0.5721257771934125,0.8695931985231853,0.8065277202019502,0.5597232339641851,0.6372056331443932,0.49482688206198666,0.8946180982853392,0.7713741571298663,0.6629995575873765,0.922101895151366,0.20654044750430292,0.11764705882352941,0.8450704225352113,60.0,450.0,11.0,0.28589046155849335,0.2015864478882941,0.23035389184951782,0.6202189207077015,1.2529872894287108
58954,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.2,100,50,standard,64,4,300,30,adamw,0.01,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8184967959995443,0.6690862233335382,0.7158926682459512,0.6390307479519097,0.8137723131118111,0.8170831536011975,0.5801684154127291,0.6681565693371553,0.5520055658130636,0.8462137993272623,0.8141413396282089,0.7395630905313945,0.9054475346624006,0.1891025641025641,0.10669077757685352,0.8309859154929577,59.0,494.0,12.0,0.39887472308897526,0.333518215216506,0.2889893054962158,1.191605973243712,1.7621714496612595
58955,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.2,100,50,standard,64,4,300,30,adamw,0.01,0.0003,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8087172078985729,0.6594474069775698,0.689721721608083,0.5935134079030919,0.8231548284388442,0.8065095634561168,0.5661085884555694,0.6358295253194068,0.5118618618618619,0.8390351956682255,0.7726366448951529,0.6649310691675049,0.9219788333743539,0.1680216802168022,0.09295352323838081,0.8732394366197183,62.0,605.0,9.0,0.364681155863233,0.2664943469339836,0.2825128436088562,1.0080883026123024,1.5171461486816407
58956,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,25,256,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.15,100,50,standard,64,4,300,30,adamw,0.001,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8197192256399822,0.6618970095042758,0.7172287634837904,0.6276298404309381,0.8366697151373506,0.8182788096092896,0.5738487153772426,0.6673965820916837,0.5442124058691096,0.862663056854541,0.7724483148764014,0.6635057132760043,0.924193945360571,0.19344262295081968,0.10946196660482375,0.8309859154929577,59.0,480.0,12.0,0.28499450614691046,0.20894858958495555,0.2253016233444214,0.5940407156944275,1.3132605171203593
59088,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.1,100,50,standard,64,4,300,30,adamw,0.01,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8045996934079929,0.6521452921275968,0.694812250975973,0.5752365720378515,0.8771466314398944,0.8019929411072786,0.5620057740063955,0.6452574367366022,0.5011119684110198,0.9058167199934367,0.765272422319437,0.6614556867433866,0.9077446878332923,0.36538461538461536,0.23651452282157676,0.8028169014084507,57.0,184.0,14.0,0.16980989360402035,0.12890116237363877,0.13162170350551605,0.40921583175659115,0.8068474721908571
59089,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.1,100,50,standard,64,4,300,30,adamw,0.01,0.0003,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.803168705123988,0.6539910455002423,0.6745129330407607,0.5552636188474339,0.8589912949226027,0.7993897033905869,0.5624981891010375,0.6186063857253506,0.47560652845169826,0.8845680531626877,0.7664143819602002,0.663229519498816,0.9076216260562803,0.22429906542056077,0.12931034482758622,0.8450704225352113,60.0,404.0,11.0,0.15669081217906614,0.10671675530093452,0.13070710003376007,0.31377754807472197,0.6739987874031067
59090,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.15,100,50,standard,64,4,300,30,adamw,0.01,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8002014195911434,0.6532203262585817,0.6918083624609077,0.5651473840142553,0.8916438031365376,0.7976699954614511,0.564328285446384,0.639067022302934,0.48848306077300135,0.9238657806218722,0.7676153537047714,0.6685535165403694,0.9011403724669784,0.39597315436241615,0.2599118942731278,0.8309859154929577,59.0,168.0,12.0,0.2006463802895367,0.15018477453659068,0.14538130164146423,0.4941033542156217,0.8147206783294677
59091,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.15,100,50,standard,64,4,300,30,adamw,0.01,0.0003,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8011489425366305,0.6567023764092091,0.6825728307403154,0.555241755674941,0.8856823493547403,0.7979303273901095,0.5613147069952236,0.6278021838317348,0.47876763977162556,0.9115596029206662,0.7798717209570482,0.6953350896356744,0.8878086799573386,0.30123456790123454,0.18263473053892215,0.8591549295774648,61.0,273.0,10.0,0.1937647645535005,0.1392930926088478,0.14303413033485413,0.4580874979496,0.7758016204833984
59092,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.2,100,50,standard,64,4,300,30,adamw,0.01,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.7996474957742555,0.6509332197961268,0.6857157782014783,0.5579902658817029,0.8892727703824137,0.7958194882684084,0.5585286913042172,0.6311153635097297,0.4803075407448654,0.9199688243498236,0.7726792133643476,0.6772937905468026,0.8993354664041349,0.3287671232876712,0.20408163265306123,0.8450704225352113,60.0,234.0,11.0,0.2844549898198878,0.23656245935015413,0.20820048451423645,0.8701881170272823,1.1858992624282845
59093,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.2,100,50,standard,64,4,300,30,adamw,0.01,0.0003,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8032658042890781,0.6570861628064539,0.6681015481160698,0.5412263932945403,0.8726755411035464,0.7980139349109241,0.5607136203786164,0.6190140481799268,0.5328754551644513,0.7383706620723604,0.8035140506305604,0.7341750670332281,0.8873164328492903,0.25821596244131456,0.15492957746478872,0.7746478873239436,55.0,300.0,16.0,0.26429328492636184,0.2118191807288432,0.2013683170080185,0.7812619805335997,1.106151947975159
59094,42,complete,MaeTx,Psm,ad,StandardPipeline,,slurm_grid_psm_train_standard,5,128,2,2,128,1,2,0.8,30,random_mask,False,True,1.0,1.0,0,0.15,100,50,standard,64,4,300,30,adamw,0.001,0.0001,0.5,cosine,0.1,auto,0,0.0,"['norm', 'bias']",oracle,72.0,False,0.8002052647166846,0.65324023280347,0.6918457191668309,0.5652108563085115,0.8916099312400502,0.7976611198803492,0.564278580039782,0.639139259911144,0.4886593015432032,0.9235376158831734,0.7677629049732639,0.6687773989283975,0.9011403724669784,0.40273037542662116,0.26576576576576577,0.8309859154929577,59.0,163.0,12.0,0.20055193990334835,0.1500634022319527,0.14532212913036346,0.49412322640419,0.8127497577667229
